brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
496510,2386p300,3138,SER,238.655475702194,30.10528989811906,97.52001,183.38551,0.0,303.86917,39.88451,13.427197,0.0,1.9220037
496510,2386p300,4681,DUP,238.6554753137198,30.10530962117303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497758,2387p302,356,EXP,238.6699794490489,30.134900554089,0.52562433,0.6667916,0.0,0.6329002,862.96875,301.18073,0.0,49.777138
497758,2387p302,397,PSF,238.6720449416152,30.13489053154022,0.42087108,0.4802171,0.0,0.20904928,1167.1682,431.4725,0.0,87.3942
497758,2387p302,382,SER,238.6710601149368,30.13499826326378,101.76126,154.69403,0.0,205.92807,20.91536,7.2743397,0.0,0.9676375
496510,2386p300,3213,SER,238.6597598511432,30.12442960864697,161.99564,238.18253,0.0,334.72525,13.104,5.3292527,0.0,1.024617
496510,2386p300,3216,REX,238.6599774540272,30.12447643165984,54.019337,76.033394,0.0,95.95035,119.49254,51.403927,0.0,10.797614
480028,2410p267,3829,SER,241.1470961474443,26.63069236201361,47.19155,69.36789,0.0,98.74306,99.8697,31.56395,0.0,10.973131
480028,2410p267,3839,SER,241.147582856729,26.6308914615503,4.324821,5.136219,0.0,6.9003944,454.6611,151.26544,0.0,62.48147
480028,2410p267,4311,EXP,241.1721155608222,26.62555094958003,0.78098655,0.6221435,0.0,0.30254745,730.11,270.59393,0.0,60.703056
480028,2410p267,4322,SER,241.1727961533396,26.62605726066442,50.792492,78.71436,0.0,115.10821,86.73175,35.892212,0.0,6.704553
480028,2410p267,4338,EXP,241.1734829672439,26.62596639850366,2.4049284,3.3230543,0.0,3.72133,465.0027,175.34804,0.0,41.032204
478739,2411p265,3136,SER,241.1895838811569,26.62182389863917,83.62795,162.13318,0.0,281.6826,112.99247,45.25155,0.0,12.461725
478739,2411p265,2485,REX,241.1574534731876,26.61639929340883,1.9116503,0.92599154,0.0,-2.8034573,372.6427,139.09026,0.0,28.732252
478739,2411p265,2510,SER,241.1583836351159,26.61643875074898,129.08614,264.81363,0.0,456.9925,49.436375,18.923971,0.0,5.4014754
81926,3123m490,8167,SER,312.4737519075081,-48.89616855029272,11.539451,9.878563,10.747385,9.929814,392.8477,288.8398,88.68331,29.15665
81926,3123m490,8169,PSF,312.4737664614868,-48.89693887045006,0.7814883,2.2125142,6.1060014,9.508129,1917.7161,1148.1097,221.90668,69.048874
81926,3123m490,8183,SER,312.4743758264021,-48.89632833344687,74.13237,122.60725,172.32593,194.74825,127.5788,74.56728,19.178871,6.6619234
81926,3123m490,8211,PSF,312.4754214584581,-48.89691216336871,2.7661452,2.2391024,1.6591804,0.6258668,1049.8674,820.444,292.77988,69.56204
81926,3123m490,9054,SER,312.5089821972363,-48.89882064873932,1.7438095,2.0376244,1.975763,1.6127192,892.4907,508.5173,121.60835,30.327255
81926,3123m490,9073,SER,312.5096419987884,-48.89807021969206,51.979687,75.879036,94.55214,101.86128,133.52478,74.63143,18.584492,5.750823
81926,3123m490,7799,SER,312.4589945750402,-48.91025550988637,8.300099,8.937048,6.494804,7.2826986,497.8638,412.84027,140.56383,62.67334
81926,3123m490,7847,SER,312.4605506802679,-48.90890104163672,3.9730225,4.1968107,3.5562198,3.3799553,717.5829,531.97034,219.60315,78.26521
81926,3123m490,7815,PSF,312.4596227357126,-48.91031220671314,1.911743,1.3511976,0.61755717,0.70382553,1448.8734,1339.0808,467.5008,163.0826
81926,3123m490,7819,SER,312.4597627874764,-48.90955213886949,178.76605,240.71158,266.78186,293.05692,77.8075,49.796482,14.135728,6.590482
81926,3123m490,8884,SER,312.5027975457372,-48.91636992468332,303.7383,497.60422,635.3414,724.55096,53.586433,26.266384,5.94736,3.3257024
191940,3144m250,3576,SER,314.4895706185349,-24.94810710824377,85.462425,0.0,246.07549,284.83264,17.138494,0.0,12.534973,2.8368392
191940,3144m250,3581,SER,314.4897722824323,-24.94765281425176,0.37014738,0.0,6.390361,8.888668,12.785292,0.0,7.062124,1.1942387
191940,3144m250,5428,DUP,314.4728289457507,-24.96227174431888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191940,3144m250,3253,REX,314.472846415685,-24.96240135644899,86.610825,0.0,245.81271,311.40714,17.98447,0.0,5.499079,0.54626375
191940,3144m250,3256,PSF,314.4728868080033,-24.96223420654833,5.241655,0.0,17.387024,21.699532,272.50787,0.0,140.5983,20.414238
191940,3144m250,3677,SER,314.4941688273316,-24.96287790106267,72.16127,0.0,158.19318,174.23877,56.31263,0.0,27.328512,3.4050112
191940,3144m250,3676,EXP,314.4941301691946,-24.96247221282742,3.4216602,0.0,6.368564,6.575924,167.58424,0.0,101.8756,14.11963
191940,3144m250,3698,EXP,314.4951634903616,-24.96265585727825,1.648444,0.0,6.311906,7.8774014,124.80779,0.0,39.432453,3.9703243
42801,3150m607,2537,SER,314.8642615195651,-60.67908880211473,16.140814,26.463062,31.608667,34.76852,179.90381,104.90584,30.634052,11.207533
42801,3150m607,2567,SER,314.8658029127148,-60.67951356115095,258.73422,414.68243,485.69485,559.3475,66.541466,40.41445,13.841855,6.158946
