Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
155,1,0.059665,213.2155820397195,23.33220155204234,0.26323145779322665,0.19192170554157073,21.9795,1.0247,21.863,1.2175,0.0,0.0,21.6315,1.6005,0.047,0.0038,0.0448,0.0037,0.0,0.0,0.1141,0.0099,17.834064557945414,17.392278581096154,,17.054552733510093,0.02020742,0.0018730313576690207,0.0022378732942651487,Infinity,0.0031081928917930275,20.17730557880972,19.435397289812894
155,4,0.05979,213.2378299669402,23.31804334397334,0.3124491313368356,0.2580340399855974,7.7469,1.2775,7.3299,1.2979,0.0,0.0,6.5013,1.3384,0.0144,0.0047,0.01,0.0032,0.0,0.0,0.0181,0.007,17.998927299629614,17.29269568653298,,16.771665696151526,0.020281145,0.0019490453463361784,0.001887722495641139,Infinity,0.002111436743191391,19.824034767481628,19.52776889146433
156,3,0.036572,215.1641808360584,26.86332001788377,,0.8532072991975124,4.3523,0.5659,4.4135,0.6161,0.0,0.0,4.535,0.7157,0.0136,0.0081,0.0095,0.0054,0.0,0.0,0.0166,0.0113,,,,,0.020213831,Infinity,Infinity,Infinity,Infinity,17.268702407830393,
156,1,0.071671,215.1428099418681,26.84385013969821,0.6035751804328378,0.6220467150426003,19.3228,0.9863,19.6913,1.1252,0.0,0.0,20.4235,1.4013,0.1925,0.0127,0.1597,0.0096,0.0,0.0,0.3942,0.024,17.199855315797645,16.600996145769354,,16.129842844941358,0.019579655,0.0015518255665944458,0.001597936739341819,Infinity,0.002095321185041039,19.44509435885463,19.293391706805274
156,4,0.036572,215.1702238065393,26.85853773486611,0.03426461694191829,0.10657102565842536,64.6027,2.4961,60.886,2.5628,0.0,0.0,53.5011,2.6954,0.3716,0.0171,0.262,0.0123,0.0,0.0,0.43,0.0265,18.820591099649178,18.665405409439032,,18.962041791991407,0.020153256,0.007907544493826161,0.011747261747272674,Infinity,0.03402990803714025,18.623849598036006,18.85526499766409
157,1,0.029579,215.4999678224083,28.86918226815317,-0.06572007212072783,-0.21529956459402833,38.6656,1.1438,39.5687,1.4042,0.0,0.0,41.3631,1.9215,0.1088,0.0039,0.1229,0.0043,0.0,0.0,0.34,0.0124,16.832644170376525,16.285028602166516,,15.882533984175776,0.014183112,0.002130572170787164,0.0029593841352845707,Infinity,0.004649871289331555,19.479143448737567,18.944966569915117
157,3,0.029579,215.5025057406916,28.863960761391,-0.33301236654370925,-0.4093446957370226,33.9885,0.5933,33.305,0.7855,0.0,0.0,31.947,1.1672,0.0455,0.0026,0.0534,0.0029,0.0,0.0,0.1446,0.0088,17.716369230923807,17.338550364786336,,16.999485971306793,0.014094932,0.00185238029577194,0.0027138578694950906,Infinity,0.004184668714276854,19.8000381996342,19.219797032737773
157,4,0.0354,215.5173209036256,28.86660178776914,-0.14503497950955868,-0.06095788228767951,3.016,1.4094,3.1694,1.5521,0.0,0.0,3.4741,1.8356,0.007,0.0158,0.0071,0.015,0.0,0.0,0.0204,0.0394,18.55612100011783,18.429243036610334,,18.306947250229555,0.014121515,0.0020397508474568394,0.0030939976475774515,Infinity,0.004842167929097788,19.483388116193,19.533352711608497
158,4,0.058862,216.5532729623645,29.69492654057706,0.896075819896808,0.8935463615370001,21.881,0.9217,22.1395,1.4243,0.0,0.0,22.6532,2.423,0.0152,0.0012,0.0193,0.0016,0.0,0.0,0.0534,0.0048,16.37726164523179,15.625308521046417,,14.989573075174293,0.016812883,7.270598112623295E-4,9.207975946979624E-4,Infinity,0.0011097774958024678,18.64682220446337,18.23330048969134
158,1,0.059246,216.5356359016363,29.72669130498612,0.47822320899716253,0.4158842461774075,15.5424,1.3008,15.9139,1.3041,0.0,0.0,16.6519,1.3106,0.0299,0.0032,0.0251,0.0024,0.0,0.0,0.0617,0.0056,17.143881820849092,16.642530213805177,,16.27109025996081,0.017221302,0.0016591481425168814,0.0018651189789619862,Infinity,0.0026920346401124316,19.409561656069933,19.09348610138134
