Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
34,1,0.068968,24.59397860042316,-40.01277573056711,0.16171484525218638,13.9062,0.7614,14.1705,0.8408,14.4228,0.9166,14.6958,0.9986,0.032,0.0048,0.0238,0.0024,0.0391,0.0044,0.0641,0.0081,17.707802,17.002125,16.668352,16.426603,0.014104888
36,2,0.0425,26.8952270149351,-30.26768591844592,0.12803744118288662,12.7935,1.6745,12.2872,1.7504,11.8041,1.8229,11.2811,1.9013,0.0067,0.0012,0.0038,0.0007,0.006,0.001,0.0106,0.0018,18.46962,18.209463,18.155901,18.063763,0.016626108
36,1,0.0428,26.88918569427224,-30.2617488125907,0.8272271191086134,3.9111,3.6666,4.5501,3.4877,5.1599,3.317,5.8199,3.1321,0.0232,0.0286,0.018,0.0178,0.0319,0.0208,0.0525,0.0347,16.238873,15.892893,15.826542,15.682822,0.01652258
36,4,0.0428,26.91354851874674,-30.24911880652262,-0.06537288089138471,9.6617,1.151,9.6903,1.176,9.7175,1.2,9.747,1.2259,0.0048,0.0013,0.0029,0.0008,0.004,0.001,0.0071,0.0018,18.68871,18.52744,18.5606,18.513231,0.016972756
36,3,0.0425,26.90490354802899,-30.25425529877529,0.2316774411828888,11.3676,0.5438,10.9358,0.5376,10.5239,0.5316,10.0779,0.5251,0.0119,0.003,0.0069,0.0015,0.0109,0.0025,0.0193,0.0047,16.862362,16.406258,16.2308,16.084833,0.016820092
39,1,0.157394,29.6593525435057,-33.77359425372538,0.7523559263715889,9.963,0.8404,9.7964,1.4029,9.6375,1.9397,9.4655,2.5207,0.0148,0.0029,0.01,0.0022,0.0167,0.004,0.0281,0.0066,18.234074,17.385977,17.0279,16.786333,0.01881649
39,3,0.157394,29.6653533612545,-33.7557267984171,1.335915926371591,8.0183,0.8596,7.7929,0.9298,7.5778,0.9969,7.345,1.0694,0.0027,0.0009,0.0018,0.0006,0.0022,0.0008,0.0036,0.0013,17.722807,17.485285,17.317339,17.350372,0.019086022
39,2,0.157394,29.66166257692671,-33.74332914844585,1.563835926371592,14.6342,0.5795,14.7095,0.6601,14.7814,0.737,14.8592,0.8203,0.0105,0.0017,0.008,0.001,0.0131,0.0017,0.0213,0.0031,16.615097,16.108086,15.890408,15.722696,0.019050054
39,4,0.062604,29.68659056847958,-33.75728046432995,0.3333837466222658,5.3664,1.4028,5.4623,1.6308,5.5537,1.8484,5.6527,2.0839,0.0052,0.0034,0.0036,0.0023,0.0057,0.0034,0.0095,0.0056,17.857716,17.457779,17.31506,17.188375,0.019105537
40,4,0.0665,30.97886528617959,-31.15557516968853,0.25814287168847727,14.8916,0.5343,14.5148,0.6172,14.1552,0.6963,13.766,0.782,0.0038,0.0005,0.0028,0.0003,0.0038,0.0005,0.0059,0.0008,18.113132,17.627563,17.402868,17.317558,0.022416946
