Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,Group_2,Gal_2,zmemb
32,4,8288,23.45944951864787,-69.33398403722262,SER,0.624711812844562,532.8176,0.0088,513.7808,0.0051,20.0133,0.0719,16.8629,0.0029,1.5500,0.0075,0.4361,0.0005,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.6959,0.0365,16.3654,0.0015,1.7384,0.0038,0.4361,0.0005,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.3931,0.0621,16.1849,0.0026,1.9181,0.0068,0.4361,0.0005,59.8123,0.0604,532.8176,0.0088,513.7808,0.0051,19.0653,0.1158,16.045,0.0045,2.1127,0.0126,0.4361,0.0005,59.8123,0.0604,21507,0234m692,8288,0.022333538,16.90027,16.39398,16.192078,16.028032,16.307718,16.737568,14.807714,14.363768,32,4,0.0
32,2,7374,23.4191639383167,-69.30994700675836,PSF,0.624711812844562,727.4753,0.0235,844.1869,0.0267,28.0791,0.1988,17.09,0.0062,1.3552,0.0111,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,27.6093,0.0987,16.6148,0.0031,1.4884,0.0054,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,27.1610,0.1833,16.4521,0.0061,1.6155,0.0106,0.8591,0.0021,-2.0218,0.6679,727.4753,0.0235,844.1869,0.0267,26.6758,0.3420,16.3694,0.0112,1.7531,0.0199,0.8591,0.0021,-2.0218,0.6679,21507,0234m692,7374,0.023159832,22.098518,21.206976,20.752361,20.29051,20.017498,20.61484,17.561365,,32,2,0.0
32,1,6556,23.38287520992754,-69.31228126334031,SER,0.624711812844562,903.4767,0.0167,813.0307,0.0214,16.4178,0.0781,17.5442,0.0044,0.9633,0.0068,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,16.6225,0.0454,17.1218,0.0025,1.0551,0.0038,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,16.8178,0.0848,16.9771,0.0052,1.1427,0.0074,0.7593,0.0017,-18.3234,0.3447,903.4767,0.0167,813.0307,0.0214,17.0293,0.1505,16.8912,0.0089,1.2375,0.0134,0.7593,0.0017,-18.3234,0.3447,21507,0234m692,6556,0.02279285,17.55592,17.149649,17.009956,16.916225,17.694866,18.491804,19.555277,,32,1,0.0
32,3,8067,23.44873690246612,-69.32935004777504,EXP,0.624711812844562,585.2216,0.0209,580.2457,0.0299,12.8365,0.0644,18.3204,0.0046,0.8079,0.0095,0.6745,0.0019,-6.0149,0.3268,585.2216,0.0209,580.2457,0.0299,12.4028,0.0427,17.9151,0.0028,0.6676,0.0053,0.6745,0.0019,-6.0149,0.3268,585.2216,0.0209,580.2457,0.0299,11.9889,0.0470,17.7324,0.0047,0.5337,0.0063,0.6745,0.0019,-6.0149,0.3268,585.2216,0.0209,580.2457,0.0299,11.5408,0.0741,17.6476,0.0073,0.3889,0.0116,0.6745,0.0019,-6.0149,0.3268,21507,0234m692,8067,0.022504775,18.363464,18.039597,17.969421,17.91553,18.372047,18.511602,16.19956,,32,3,0.0
36,1,682,26.88918569427224,-30.2617488125907,REX,0.65055925365526,824.3058,0.0013,639.5767,0.0012,12.7935,0.0067,16.0208,4.0E-4,1.6745,0.0012,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,12.2872,0.0038,15.6788,3.0E-4,1.7504,0.0007,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.8041,0.0060,15.6437,4.0E-4,1.8229,0.0010,0.9222,0.0002,76.3119,0.1208,824.3058,0.0013,639.5767,0.0012,11.2811,0.0106,15.5605,7.0E-4,1.9013,0.0018,0.9222,0.0002,76.3119,0.1208,164091,0270m302,682,0.01652258,16.238873,15.892893,15.826542,15.682822,16.327017,16.744072,14.403498,,36,1,0.0428
36,4,1575,26.91354851874674,-30.24911880652262,SER,0.65055925365526,534.4253,0.0024,812.6782,0.0022,3.9111,0.0232,18.6966,0.003,3.6667,0.0286,0.6099,0.0017,50.0806,0.1714,534.4253,0.0024,812.6782,0.0022,4.5503,0.0180,18.3956,0.0022,3.4878,0.0178,0.6099,0.0017,50.0806,0.1714,534.4253,0.0024,812.6782,0.0022,5.1602,0.0319,18.3529,0.0034,3.3172,0.0208,0.6099,0.0017,50.0806,0.1714,534.4253,0.0024,812.6782,0.0022,5.8204,0.0525,18.2158,0.0054,3.1324,0.0347,0.6099,0.0017,50.0806,0.1714,164091,0270m302,1575,0.016972756,18.68871,18.52744,18.5606,18.513231,19.210167,19.5645,,14.275536,36,4,0.0428
36,3,1259,26.90490354802899,-30.25425529877529,SER,0.65055925365526,637.0378,0.0018,741.574,0.0011,9.6617,0.0048,16.8548,4.0E-4,1.1510,0.0013,0.5500,0.0001,-78.1637,0.0203,637.0378,0.0018,741.574,0.0011,9.6903,0.0029,16.3701,3.0E-4,1.1761,0.0008,0.5500,0.0001,-78.1637,0.0203,637.0378,0.0018,741.574,0.0011,9.7175,0.0040,16.1937,4.0E-4,1.2000,0.0010,0.5500,0.0001,-78.1637,0.0203,637.0378,0.0018,741.574,0.0011,9.7471,0.0071,16.0471,6.0E-4,1.2259,0.0018,0.5500,0.0001,-78.1637,0.0203,164091,0270m302,1259,0.016820092,16.862362,16.406258,16.2308,16.084833,16.63387,17.129385,16.11406,,36,3,0.0
36,2,896,26.8952270149351,-30.26768591844592,SER,0.65055925365526,751.9882,0.0022,559.5435,0.0074,11.3719,0.0120,18.4651,0.001,0.5448,0.0030,0.1853,0.0003,-4.6418,0.0199,751.9882,0.0022,559.5435,0.0074,10.9370,0.0069,18.2478,9.0E-4,0.5377,0.0015,0.1853,0.0003,-4.6418,0.0199,751.9882,0.0022,559.5435,0.0074,10.5222,0.0109,18.2677,0.0013,0.5309,0.0025,0.1853,0.0003,-4.6418,0.0199,751.9882,0.0022,559.5435,0.0074,10.0731,0.0193,18.2243,0.0022,0.5236,0.0047,0.1853,0.0003,-4.6418,0.0199,164091,0270m302,896,0.016626108,18.46962,18.209463,18.155901,18.063763,18.70128,19.499096,,14.158124,36,2,0.0425
39,1,10434,29.6593525435057,-33.77359425372538,SER,0.649148922635997,787.4147,0.0026,464.8951,0.0031,9.9631,0.0148,18.2177,0.0015,0.8404,0.0029,0.7871,0.0007,26.519,0.1394,787.4147,0.0026,464.8951,0.0031,9.7964,0.0100,17.3866,9.0E-4,1.4029,0.0022,0.7871,0.0007,26.519,0.1394,787.4147,0.0026,464.8951,0.0031,9.6372,0.0167,17.0436,0.0013,1.9396,0.0040,0.7871,0.0007,26.519,0.1394,787.4147,0.0026,464.8951,0.0031,9.4650,0.0281,16.839,0.002,2.5206,0.0066,0.7871,0.0007,26.519,0.1394,146988,0295m337,10434,0.01881649,18.234074,17.385977,17.0279,16.786333,16.942366,17.176037,15.381022,13.768613,39,1,0.157394
39,2,10524,29.66166257692671,-33.74332914844585,SER,0.649148922635997,760.3504,0.0013,880.6953,9.0E-4,8.0183,0.0027,16.5751,3.0E-4,0.8596,0.0009,0.6796,0.0001,-72.3657,0.0254,760.3504,0.0013,880.6953,9.0E-4,7.7929,0.0018,16.0864,2.0E-4,0.9299,0.0006,0.6796,0.0001,-72.3657,0.0254,760.3504,0.0013,880.6953,9.0E-4,7.5778,0.0022,15.9041,3.0E-4,0.9969,0.0008,0.6796,0.0001,-72.3657,0.0254,760.3504,0.0013,880.6953,9.0E-4,7.3450,0.0036,15.7631,4.0E-4,1.0695,0.0013,0.6796,0.0001,-72.3657,0.0254,146988,0295m337,10524,0.019050054,16.615097,16.108086,15.890408,15.722696,16.064335,16.489052,14.255844,13.043851,39,2,0.0
39,3,10652,29.6653533612545,-33.7557267984171,SER,0.649148922635997,719.3439,0.0049,710.8906,0.0046,14.6316,0.0105,17.7213,7.0E-4,0.5789,0.0017,0.2277,0.0002,-46.5814,0.0142,719.3439,0.0049,710.8906,0.0046,14.7083,0.0080,17.4988,7.0E-4,0.6599,0.0010,0.2277,0.0002,-46.5814,0.0142,719.3439,0.0049,710.8906,0.0046,14.7815,0.0131,17.4124,0.001,0.7371,0.0017,0.2277,0.0002,-46.5814,0.0142,719.3439,0.0049,710.8906,0.0046,14.8607,0.0214,17.3466,0.0015,0.8207,0.0031,0.2277,0.0002,-46.5814,0.0142,146988,0295m337,10652,0.019086022,17.722807,17.485285,17.317339,17.350372,18.020958,18.527159,17.171888,14.712886,39,3,0.0
39,4,11421,29.68659056847958,-33.75728046432995,SER,0.649148922635997,476.4481,0.0011,689.1457,0.0017,5.3664,0.0052,17.8526,7.0E-4,1.4028,0.0034,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.4623,0.0036,17.4385,5.0E-4,1.6308,0.0023,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.5537,0.0057,17.2848,8.0E-4,1.8484,0.0034,0.4971,0.0004,22.3795,0.0381,476.4481,0.0011,689.1457,0.0017,5.6527,0.0095,17.1332,0.0012,2.0839,0.0056,0.4971,0.0004,22.3795,0.0381,146988,0295m337,11421,0.019105537,17.857716,17.457779,17.31506,17.188375,17.49315,17.86921,15.825962,13.559594,39,4,0.062604
40,3,1498,30.96466705372731,-31.14377393611345,SER,0.658835898059633,663.5278,0.0014,795.6321,0.0025,14.8916,0.0038,16.3151,3.0E-4,0.5343,0.0005,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.5148,0.0028,16.0008,3.0E-4,0.6172,0.0003,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.1552,0.0038,15.915,3.0E-4,0.6963,0.0005,0.5162,0.0001,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,13.7660,0.0059,15.8152,4.0E-4,0.7820,0.0008,0.5162,0.0001,22.5412,0.0138,159150,0310m312,1498,0.022625748,16.379147,16.048225,15.939064,15.816108,16.357124,16.894632,15.20279,13.930923,40,3,0.0289
40,2,1257,30.95856931662525,-31.14696311824521,SER,0.658835898059633,735.8091,0.0021,751.5716,0.0052,12.0249,0.0073,17.8509,6.0E-4,0.4039,0.0014,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0586,0.0052,17.5579,6.0E-4,0.4513,0.0008,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0907,0.0074,17.4767,8.0E-4,0.4966,0.0012,0.3061,0.0002,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.1254,0.0121,17.3814,0.0011,0.5456,0.0022,0.3061,0.0002,10.3583,0.0178,159150,0310m312,1257,0.022556743,17.82233,17.55031,17.472832,17.379469,18.061316,17.817305,18.410275,,40,2,0.0
40,4,1972,30.97886528617959,-31.15557516968853,SER,0.658835898059633,496.9629,0.0046,633.5986,0.0018,10.1025,0.0086,18.0682,7.0E-4,0.7328,0.0025,0.3051,0.0002,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.2225,0.0052,17.5576,6.0E-4,0.7903,0.0015,0.3051,0.0002,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.3370,0.0073,17.3656,8.0E-4,0.8452,0.0019,0.3051,0.0002,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.4609,0.0127,17.2074,0.001,0.9047,0.0033,0.3051,0.0002,88.101,0.0202,159150,0310m312,1972,0.022416946,18.113132,17.627563,17.402868,17.317558,17.238876,17.60081,15.028274,12.674983,40,4,0.0665
40,1,878,30.9478588830863,-31.16082085071439,SER,0.658835898059633,861.2564,0.0019,561.6997,0.0012,13.7588,0.0430,17.5545,0.0017,3.8465,0.0116,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,12.3900,0.0265,16.9423,0.0012,3.6282,0.0072,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,11.0841,0.0220,16.7127,0.0012,3.4199,0.0067,0.4013,0.0003,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,9.6704,0.0346,16.5946,0.0021,3.1945,0.0109,0.4013,0.0003,71.8525,0.0289,159150,0310m312,878,0.022319773,17.952105,17.298689,17.001814,16.779049,16.902626,17.226221,15.276324,13.736371,40,1,0.0
48,1,1193,45.03859046574656,-36.38120277446424,SER,0.515515711500992,756.6358,0.0041,422.3932,0.0031,23.3312,0.0638,17.6143,0.0022,1.6755,0.0051,0.6832,0.0005,53.6006,0.0869,756.6358,0.0041,422.3932,0.0031,22.9052,0.0369,17.0048,0.0013,1.9756,0.0027,0.6832,0.0005,53.6006,0.0869,756.6358,0.0041,422.3932,0.0031,22.4987,0.0505,16.7437,0.0015,2.2620,0.0040,0.6832,0.0005,53.6006,0.0869,756.6358,0.0041,422.3932,0.0031,22.0588,0.0894,16.6041,0.0029,2.5720,0.0073,0.6832,0.0005,53.6006,0.0869,134069,0451m365,1193,0.017747942,17.603607,16.967686,16.672739,16.496552,16.96026,17.474342,15.765213,16.092117,48,1,0.0
48,2,6568,45.04357933448144,-36.35840573048463,SER,0.515515711500992,701.6655,0.0021,735.6796,0.0037,20.8846,0.0123,16.9407,6.0E-4,0.7379,0.0009,0.5171,0.0001,-0.3969,0.0177,701.6655,0.0021,735.6796,0.0037,20.3529,0.0078,16.2197,3.0E-4,0.8844,0.0006,0.5171,0.0001,-0.3969,0.0177,701.6655,0.0021,735.6796,0.0037,19.8456,0.0090,15.8726,3.0E-4,1.0242,0.0007,0.5171,0.0001,-0.3969,0.0177,701.6655,0.0021,735.6796,0.0037,19.2964,0.0149,15.6664,7.0E-4,1.1756,0.0012,0.5171,0.0001,-0.3969,0.0177,135229,0450m362,6568,0.017829526,16.95178,16.213886,15.861064,15.632906,15.794824,16.221594,14.736536,14.296562,48,2,0.0958
51,3,1777,47.55903036149267,-35.03027873839472,SER,0.539473610721392,564.8054,0.003,490.7216,0.0034,10.3129,0.0116,17.8373,0.0011,0.8383,0.0020,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,10.1070,0.0065,17.2492,6.0E-4,1.0347,0.0011,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,9.9104,0.0096,16.9524,8.0E-4,1.2221,0.0018,0.8336,0.0004,-14.327,0.1408,564.8054,0.003,490.7216,0.0034,9.6977,0.0172,16.8143,0.0016,1.4249,0.0031,0.8336,0.0004,-14.327,0.1408,141098,0476m350,1777,0.02127651,17.600779,16.985716,16.665747,16.485292,16.98383,17.380991,15.510228,14.796675,51,3,0.0
51,2,1216,47.54303848651573,-35.00839954500856,REX,0.539473610721392,744.7097,0.0017,791.2707,0.0016,16.6344,0.0103,16.5328,6.0E-4,1.0685,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5831,0.0061,15.9053,3.0E-4,1.4907,0.0007,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5342,0.0100,15.6439,5.0E-4,1.8935,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.4813,0.0177,15.4584,8.0E-4,2.3295,0.0020,0.9310,0.0002,64.4449,0.1594,141098,0476m350,1216,0.02121576,16.68324,16.069807,15.800499,15.579213,15.828189,16.277498,14.354404,13.789,51,2,0.0
51,1,673,47.52743081502302,-35.00661751239641,SER,0.539473610721392,920.3764,0.0058,815.7897,0.005,3.7358,0.0271,19.7087,0.0044,2.5242,0.0388,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.0957,0.0204,19.5214,0.0032,2.6317,0.0237,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.4391,0.0367,19.3108,0.005,2.7343,0.0365,0.6912,0.0030,-84.1167,0.405,920.3764,0.0058,815.7897,0.005,4.8108,0.0610,19.2808,0.0085,2.8454,0.0633,0.6912,0.0030,-84.1167,0.405,141098,0476m350,673,0.020973045,19.746286,19.608828,19.437428,19.475521,19.875286,20.08366,19.929283,,51,1,0.0
51,4,1927,47.56346908968972,-35.01856114450278,SER,0.539473610721392,514.8458,0.0039,651.5823,0.0057,9.9494,0.0113,18.4005,0.0011,0.5473,0.0023,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.8403,0.0068,17.8257,7.0E-4,0.6847,0.0013,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.7361,0.0095,17.5506,9.0E-4,0.8159,0.0020,0.6308,0.0004,-12.7634,0.073,514.8458,0.0039,651.5823,0.0057,9.6234,0.0165,17.4103,0.0016,0.9579,0.0035,0.6308,0.0004,-12.7634,0.073,141098,0476m350,1927,0.021541655,18.397072,17.829548,17.547411,17.402966,17.726961,18.21407,16.182932,14.658928,51,4,0.0
