brickid,brickname,objid,type,ra,dec,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
35433,0118m632,8629,SER,12.00294737230044,-63.13376969298704,100.2297,47.718155,26.11901,9.969277
226996,0122m182,9923,SER,12.31193151936059,-18.31619074095498,1553.7103,1039.087,437.84445,235.93073
226996,0122m182,9935,SER,12.31221568686366,-18.31617999953638,447.82816,239.56519,93.393745,50.784428
226996,0122m182,9928,SER,12.31207907811673,-18.31559212194966,1494.0931,899.0299,383.27826,192.31621
226996,0122m182,8354,SER,12.27960286169112,-18.28714661132486,276.04004,164.8954,79.777985,54.53318
226996,0122m182,8339,SER,12.27927560073106,-18.2866320671963,98.30592,52.583553,23.895723,16.963533
226996,0122m182,8981,SER,12.29210768898929,-18.30782467078325,1681.6088,1198.8938,452.3511,217.08838
226996,0122m182,9024,EXP,12.29300359619467,-18.3085724808052,2837.9092,1771.4724,495.33145,237.73715
226996,0122m182,9013,SER,12.29286562494236,-18.30786280759166,276.42557,160.54169,56.730373,27.92324
226996,0122m182,9152,SER,12.2954947848856,-18.27013099982027,102.42561,45.099964,20.703257,12.799253
226996,0122m182,9190,SER,12.29622951523847,-18.2698074468355,310.9192,149.08615,54.504158,26.833113
324660,0131m010,1471,SER,13.04012577583562,-1.119177251059751,40.7066,27.424826,14.405145,4.3172092
323220,0131m012,1903,REX,13.04578213805222,-1.128423215741425,1699.0781,1318.7251,610.3929,170.0401
323220,0131m012,1935,EXP,13.04660065707238,-1.128448197229796,493.17828,357.23486,154.53806,41.84144
324660,0131m010,1536,REX,13.04231588811046,-1.109083549669928,642.25525,429.7122,174.6395,50.559914
324660,0131m010,1904,SER,13.05099114252429,-1.111288683922806,109.21712,77.94089,44.25675,13.642564
137462,0142m357,11189,SER,14.39405519174368,-35.7386845437449,391.94196,182.44652,639.05493,15.569797
137462,0142m357,11457,REX,14.39984889090922,-35.76253109342078,123.88036,53.68996,113.16566,5.117508
137462,0142m357,13152,DUP,14.39986228328184,-35.76252380171717,0.0,0.0,0.0,0.0
137462,0142m357,12365,EXP,14.42173447172224,-35.76463392531684,2120.0398,1007.7339,1786.4175,80.44709
137462,0142m357,12382,EXP,14.42210331313963,-35.76380560490426,884.6957,446.5471,955.18286,42.910664
137462,0142m357,11762,SER,14.40623730680628,-35.76529492217725,149.79884,60.935143,142.96797,7.765719
232501,0155m172,6014,SER,15.55490269161658,-17.22199811019127,73.05261,45.389374,19.336525,7.638843
232501,0155m172,11213,DUP,15.55490610232443,-17.22199806180512,0.0,0.0,0.0,0.0
232501,0155m172,7690,SER,15.59466493930604,-17.18637238672964,667.22076,501.6192,248.95267,87.40455
232501,0155m172,7665,SER,15.59404648858646,-17.18606974187302,115.56477,81.79084,35.828712,14.933081
232501,0155m172,6261,SER,15.56111239970403,-17.20529215395111,43.43832,25.476028,10.378749,4.504042
232501,0155m172,11214,DUP,15.56111337095784,-17.2052903336089,0.0,0.0,0.0,0.0
73730,0160m510,6869,SER,16.06999899516408,-51.03289212005716,8.101734,2.7420251,1.1961211,0.6247908
73730,0160m510,10979,DUP,16.07003260679233,-51.03285878995118,0.0,0.0,0.0,0.0
73730,0160m510,10981,DUP,16.11515694368739,-51.00492400063066,0.0,0.0,0.0,0.0
73730,0160m510,8072,SER,16.11517399665176,-51.00492325440962,101.74532,38.36018,12.602547,4.999477
73730,0160m510,7455,SER,16.09284785540342,-51.02113168273863,39.126858,15.082686,5.753569,2.6708179
73730,0160m510,10980,DUP,16.09287142866929,-51.02112254740798,0.0,0.0,0.0,0.0
73730,0160m510,7482,PSF,16.09372519505535,-51.02086920505304,1674.3833,896.1112,451.68982,187.73436
73730,0160m510,7106,EXP,16.07893498282015,-51.02073208416003,2172.484,1067.5317,341.99896,109.30862
73730,0160m510,7095,SER,16.07865415737977,-51.01993933260395,175.1044,72.336266,20.170345,6.597581
151766,0167m327,7826,PSF,16.84736651548637,-32.82962410870187,0.0,0.0,0.0,0.0
151766,0167m327,7827,PSF,16.84736764468235,-32.82920655919401,443.35907,146.72931,104.43742,63.237656
151766,0167m327,7828,SER,16.84741713183292,-32.8290673708472,70.75279,24.599737,13.818472,7.068904
151766,0167m327,9565,DUP,16.84736426903939,-32.82905507077107,0.0,0.0,0.0,0.0
151766,0167m327,7836,PSF,16.84761461937523,-32.8288745246838,444.2717,169.3955,126.3613,80.062004
151766,0167m327,7835,PSF,16.8476032820659,-32.82867618494406,491.74066,190.57738,142.19997,89.76569
151766,0167m327,7358,PSF,16.83206740665366,-32.83215274549313,1086.5219,629.3491,406.55402,238.34253
151766,0167m327,9564,DUP,16.83293887916162,-32.8317691155815,0.0,0.0,0.0,0.0
151766,0167m327,7388,SER,16.83297057422453,-32.83174466720263,87.156006,37.299255,18.237978,8.510468
151766,0167m327,6448,SER,16.80283662705331,-32.83657504122726,2062.2083,1053.9731,386.4171,164.44756
151766,0167m327,6445,REX,16.80270840320432,-32.83567747715625,110.80128,47.35455,15.819068,6.191755
151766,0167m327,6943,EXP,16.81848437220866,-32.84351702194014,2726.1252,1357.0629,462.51968,169.49532
151766,0167m327,6928,EXP,16.81804207117206,-32.8427817921172,217.81352,93.9123,30.28289,10.416435
151766,0167m327,6951,SER,16.81866820941625,-32.84256177940384,1998.4509,890.1012,343.29736,127.15524
411766,0181p142,3497,SER,18.19596795359199,14.36086343322336,28.268272,7.9558334,0.0,4.9460487
411766,0181p142,5301,DUP,18.19595612054755,14.36088077656736,0.0,0.0,0.0,0.0
413164,0181p145,2083,PSF,18.15973390528716,14.39036406825723,1057.5786,419.0774,0.0,90.820206
413164,0181p145,2099,SER,18.16061455505786,14.39029019366459,67.88901,21.581692,0.0,6.22849
413164,0181p145,2109,SER,18.16117589517972,14.39056437910661,529.1964,193.86673,0.0,49.60862
413164,0181p145,2640,PSF,18.18904290932732,14.38362800529382,855.23315,271.80127,0.0,85.16274
413164,0181p145,2642,SER,18.18909008692755,14.38406382373882,74.111786,22.245361,0.0,7.16242
413164,0181p145,4894,DUP,18.18910015104305,14.38416692768072,0.0,0.0,0.0,0.0
411766,0181p142,3094,SER,18.17472436810189,14.37418413902567,381.69485,150.88533,0.0,34.38835
411766,0181p142,3107,SER,18.17538394148337,14.37477702837627,98.83129,48.29184,0.0,11.214742
155430,0201m320,10387,SER,20.29108124601455,-32.04061563232854,68.22637,45.81822,15.947699,11.895879
155430,0201m320,9974,SER,20.27788313772953,-32.05053215070465,501.99457,316.2408,83.84552,51.495373
155430,0201m320,9981,SER,20.27815691689498,-32.0500743178396,236.52972,162.97433,50.655724,35.47746
155430,0201m320,9983,PSF,20.27819123898271,-32.0499616567185,1649.1237,1552.6678,580.8831,350.8708
155430,0201m320,10011,SER,20.27891656264277,-32.05005790761092,335.6554,216.46216,68.49855,49.81596
155430,0201m320,9141,SER,20.2526136443005,-32.05851136884929,92.98958,50.73361,17.506073,11.784276
155430,0201m320,8839,REX,20.24447980811993,-32.06310390752344,1935.8977,1670.0095,639.6996,323.52893
155430,0201m320,8846,SER,20.24462727220963,-32.06282642816967,431.65588,309.0818,107.22498,61.56109
155430,0201m320,8877,EXP,20.24554160614263,-32.06245422850663,1146.5538,718.8169,178.33308,85.62444
155430,0201m320,8856,PSF,20.24483725435189,-32.06239537451123,1826.1627,1802.4922,691.563,338.1559
155430,0201m320,8830,EXP,20.24429440814605,-32.06188071920818,977.71674,625.09424,158.47299,75.66138
127104,0204m380,5418,REX,20.4128346561924,-38.10329642866298,2282.8525,1565.4313,565.0586,182.00142
127104,0204m380,5432,REX,20.41330839888735,-38.10274483052454,447.0223,254.17696,88.754364,28.59649
127104,0204m380,5446,SER,20.41367821281808,-38.10210012454829,1959.4723,1180.123,359.2205,103.11452
127104,0204m380,6097,SER,20.43451926412359,-38.06105280715363,200.95285,110.98595,41.218117,13.13811
127104,0204m380,4721,SER,20.38883402499979,-38.07292184701218,1519.2133,1162.9604,432.35028,120.07896
127104,0204m380,4728,SER,20.38887533531592,-38.07229220822765,197.04565,113.12494,40.94791,12.054353
127104,0204m380,4762,DEV,20.38984782361604,-38.07183346490884,661.61273,421.19296,162.48787,43.910023
127104,0204m380,5525,REX,20.41615785806097,-38.07899949208855,296.4586,167.57657,45.01938,13.361185
127104,0204m380,5526,SER,20.41619222635546,-38.07807236029036,302.7474,179.74101,69.298485,25.676239
118155,0245m400,9112,DUP,24.65484190517569,-40.01143096051686,0.0,0.0,0.0,0.0
118155,0245m400,6863,SER,24.65506647302333,-40.01126173808832,5.2624044,2.801972,1.3959986,0.58401406
118155,0245m400,5704,SER,24.61344207589009,-40.00632048453307,43.991737,28.067019,13.582574,4.751893
118155,0245m400,5240,SER,24.59397860042316,-40.01277573056711,111.66406,67.86536,25.523338,8.414391
118155,0245m400,5234,EXP,24.59363164473048,-40.01228583625484,97.92485,60.37215,18.804724,5.735876
118155,0245m400,6333,SER,24.6358900324604,-40.02196211047985,145.0132,105.53274,37.19004,15.458431
118155,0245m400,6339,SER,24.63614850196192,-40.02150338985651,824.58905,561.1137,186.53853,73.52713
118155,0245m400,6314,EXP,24.63483647549922,-40.02157484931141,1452.3188,1182.0536,462.315,190.47704
61533,0255m545,10875,DUP,25.5612075562337,-54.43857303940469,0.0,0.0,0.0,0.0
61533,0255m545,6889,SER,25.56122930076073,-54.43856753465764,127.32945,78.52214,19.606697,7.409475
61533,0255m545,7249,SER,25.57498420922888,-54.44891149825019,2109.9478,1550.5248,441.59167,132.64143
61533,0255m545,7179,EXP,25.57247040754909,-54.448526476642,566.5826,318.48395,68.84397,20.59108
61533,0255m545,7187,EXP,25.57269912335198,-54.44815530915309,2187.155,1595.3679,425.49756,129.11404
61533,0255m545,7226,SER,25.57396994166383,-54.44834918719977,321.8114,183.45595,48.192722,16.362604
164091,0270m302,682,REX,26.88918569427224,-30.2617488125907,72.14345,44.648308,24.313557,9.456338
164091,0270m302,680,SER,26.88911026403991,-30.26174172940476,235.91287,167.1903,109.54818,62.533638
164091,0270m302,1575,SER,26.91354851874674,-30.24911880652262,422.76672,296.61554,185.3196,60.10019
164091,0270m302,1257,SER,26.90484887341077,-30.25458049951018,303.4875,165.84557,115.73949,43.206474
164091,0270m302,1259,SER,26.90490354802899,-30.25425529877529,129.0232,62.393604,40.845455,13.741634
164091,0270m302,896,SER,26.8952270149351,-30.26768591844592,255.28888,176.70746,78.574974,25.856794
164091,0270m302,894,REX,26.8952098415253,-30.26699169777663,973.24835,793.8981,391.75378,138.67596
409003,0271p137,3791,SER,27.18040754077236,13.6878092928015,434.8179,178.4418,0.0,35.089146
409003,0271p137,3811,SER,27.18138553326402,13.68754653128461,41.38229,17.108036,0.0,2.9971042
409003,0271p137,3875,SER,27.18433339919904,13.69942507557517,8.786495,4.2037754,0.0,1.313465
409003,0271p137,3986,SER,27.18947930893261,13.71669923697014,32.291397,14.653893,0.0,4.6840463
409003,0271p137,3978,SER,27.18910010373019,13.71705472891619,377.78085,185.38115,0.0,74.41507
409003,0271p137,4033,SER,27.19147881726156,13.72603513954828,302.75876,142.25407,0.0,47.327972
409003,0271p137,4053,SER,27.19234414037269,13.72650684187296,39.294044,18.180338,0.0,5.2796073
409003,0271p137,4065,DEV,27.19297266697601,13.72679931049726,233.6615,114.93582,0.0,32.932076
146988,0295m337,10434,SER,29.6593525435057,-33.77359425372538,193.27498,91.50809,36.689247,12.367946
