Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV
45,1,5289,40.44927762952605,-20.79883391234892,SER,1.07623766886132,811.752,0.0074,846.3535,0.0094,60.4371,0.0535,15.6228,8.0E-4,1.0373,0.0011,0.7155,0.0003,38.0706,0.0525,811.752,0.0074,846.3535,0.0094,59.3466,0.0360,15.1959,6.0E-4,1.1265,0.0007,0.7155,0.0003,38.0706,0.0525,811.752,0.0074,846.3535,0.0094,58.3062,0.0422,15.045,7.0E-4,1.2117,0.0008,0.7155,0.0003,38.0706,0.0525,811.752,0.0074,846.3535,0.0094,57.1799,0.0669,14.9596,0.0010,1.3038,0.0014,0.7155,0.0003,38.0706,0.0525,213515,0404m207,5289,0.028452681,489.68082,760.2625,932.8359,1005.1548,1.355604,1.2195814,1.0803454,1.2888482,1.1633317,2134564.2,14.149183,121856.63,0.028267102,1.1597059E7,0.11717063,2.6964946E7,15.775217,15.297591,15.075487,14.994417,15.857977,16.547857,,15.598696,0.47762585,0.22210407,0.30317402,0.08106995,40.4490833,-20.7986944,02 41 47.78,-20 47 55.3,0.01016,,17.2533,17.1131
45,2,5554,40.45548347271463,-20.81498328999302,SER,1.07623766886132,670.6317,0.0025,662.4083,0.0011,38.4525,0.0434,15.7458,8.0E-4,2.4608,0.0025,0.2064,0.0001,65.5142,0.0048,670.6317,0.0025,662.4083,0.0011,38.0174,0.0294,15.3436,5.0E-4,2.3254,0.0016,0.2064,0.0001,65.5142,0.0048,670.6317,0.0025,662.4083,0.0011,37.6023,0.0280,15.2484,6.0E-4,2.1961,0.0014,0.2064,0.0001,65.5142,0.0048,670.6317,0.0025,662.4083,0.0011,37.1529,0.0411,15.0968,0.0008,2.0562,0.0020,0.2064,0.0001,65.5142,0.0048,213515,0404m207,5554,0.028673038,854.0499,1296.8607,1558.441,1617.1022,1.3767227,1.1945624,1.1399301,1.2889132,2.27736,3726817.0,4.092132,9765600.0,-0.06831116,1.8148629E8,-0.019068811,1.1327873E8,15.171292,14.717767,14.518274,14.478156,14.925564,15.39538,13.364133,12.289783,0.45352554,0.19949245,0.23961067,0.040118217,40.4549167,-20.8151944,02 41 49.18,-20 48 54.7,0.025821,,17.1381,16.6727
45,3,5775,40.46024699097511,-20.81220742929486,SER,1.07623766886132,518.2244,0.0143,618.7555,0.0081,29.1625,0.0784,17.459,0.0022,1.3374,0.0038,0.5296,0.0005,-71.077,0.0684,518.2244,0.0143,618.7555,0.0081,29.8608,0.0532,17.0537,0.0015,1.3000,0.0024,0.5296,0.0005,-71.077,0.0684,518.2244,0.0143,618.7555,0.0081,30.5271,0.0602,16.8816,0.0019,1.2644,0.0025,0.5296,0.0005,-71.077,0.0684,518.2244,0.0143,618.7555,0.0081,31.2483,0.0941,16.7683,0.0026,1.2259,0.0041,0.5296,0.0005,-71.077,0.0684,213515,0404m207,5775,0.028742889,423.6793,624.7974,755.8292,794.38965,1.3528141,1.1857935,1.1325254,1.2846131,2.0396678,1631881.0,8.533699,1416247.6,-0.42446798,1.1076556E8,0.50868905,1.30046784E8,15.932407,15.510652,15.303941,15.249916,15.468218,15.819791,13.573606,11.854317,0.4217558,0.20671082,0.2607355,0.054024696,40.4600833,-20.8121944,02 41 50.42,-20 48 43.9,0.0,,17.9027,17.3259
46,2,1790,41.46735623610536,-5.564502301756013,SER,0.671639105889075,674.6011,0.005,523.9255,0.0025,36.6053,0.0163,15.8539,4.0E-4,0.8855,0.0007,0.3822,0.0001,-63.4843,0.0104,674.6011,0.005,523.9255,0.0025,36.3535,0.0133,15.4218,4.0E-4,1.1115,0.0005,0.3822,0.0001,-63.4843,0.0104,674.6011,0.005,523.9255,0.0025,36.1133,0.0228,15.2868,6.0E-4,1.3270,0.0009,0.3822,0.0001,-63.4843,0.0104,674.6011,0.005,523.9255,0.0025,35.8532,0.0369,15.1649,0.0009,1.5604,0.0015,0.3822,0.0001,-63.4843,0.0104,298885,0415m055,1790,0.037127886,46.918526,68.39719,87.09492,92.486565,1.3362315,1.13147,1.1871356,1.2082974,1.2083542,74628.945,1.8436246,401654.25,0.036859132,1207551.8,-0.16070536,2300233.5,18.32164,17.912405,17.650019,17.584803,17.811182,18.134802,16.245905,,0.409235,0.26238632,0.3276024,0.065216064,41.4672917,-5.5646667,02 45 52.15,-05 33 52.8,0.0,,19.9596,19.666
46,4,2458,41.48325906603304,-5.579090490000941,SER,0.671639105889075,715.5924,0.0025,852.9387,0.0031,6.9003,0.0117,18.3118,0.0013,1.2297,0.0039,0.7094,0.0007,-38.642,0.1233,715.5924,0.0025,852.9387,0.0031,6.9991,0.0076,17.8853,0.001,1.2507,0.0024,0.7094,0.0007,-38.642,0.1233,715.5924,0.0025,852.9387,0.0031,7.0933,0.0118,17.6213,0.0016,1.2707,0.0035,0.7094,0.0007,-38.642,0.1233,715.5924,0.0025,852.9387,0.0031,7.1954,0.0200,17.5746,0.0024,1.2923,0.0061,0.7094,0.0007,-38.642,0.1233,298885,0415m055,2458,0.037124198,0.6331397,0.5559345,0.2353304,0.292002,1.4448652,1.2656353,1.3039134,1.1994917,0.5,21.527462,0.9182351,536.4405,0.55846316,134.31255,0.48786026,150.56635,22.99625,23.137442,24.070805,23.836536,22.737324,19.600903,16.418839,14.905098,-0.14119148,-0.93336296,-0.6990948,0.23426819,41.4837917,-5.5791944,02 45 56.11,-05 34 45.1,0.0,,20.1724,20.0092
46,1,1375,41.45616734098509,-5.573747324903086,SER,0.671639105889075,868.6056,0.0023,725.9287,0.0028,8.6990,0.0077,18.0622,8.0E-4,0.7964,0.0021,0.5236,0.0003,-38.8482,0.0409,868.6056,0.0023,725.9287,0.0028,8.5277,0.0052,17.6124,6.0E-4,0.9100,0.0011,0.5236,0.0003,-38.8482,0.0409,868.6056,0.0023,725.9287,0.0028,8.3643,0.0079,17.3263,0.001,1.0184,0.0020,0.5236,0.0003,-38.8482,0.0409,868.6056,0.0023,725.9287,0.0028,8.1874,0.0132,17.2394,0.0014,1.1358,0.0036,0.5236,0.0003,-38.8482,0.0409,298885,0415m055,1375,0.037248988,59.39156,90.09455,117.15965,128.3917,1.4031439,1.2063607,1.3022223,1.2156343,0.9517279,176733.58,2.2107072,627661.0,0.06738483,2944315.8,-0.30691966,5182041.5,18.06569,17.613255,17.328054,17.228657,17.388437,17.804642,15.655073,15.027213,0.45243454,0.28520012,0.38459778,0.09939766,41.45575,-5.5735278,02 45 49.38,-05 34 24.7,0.0,,20.0841,19.5913
46,3,1908,41.47037574264144,-5.588449183349343,SER,0.671639105889075,494.042,0.0111,642.6372,0.0181,14.8270,0.0408,18.8803,0.0025,0.8026,0.0042,0.5752,0.0009,16.7079,0.1342,494.042,0.0111,642.6372,0.0181,15.1484,0.0290,18.4613,0.0019,0.8032,0.0024,0.5752,0.0009,16.7079,0.1342,494.042,0.0111,642.6372,0.0181,15.4550,0.0447,18.266,0.0035,0.8038,0.0040,0.5752,0.0009,16.7079,0.1342,494.042,0.0111,642.6372,0.0181,15.7870,0.0735,18.1372,0.0050,0.8045,0.0071,0.5752,0.0009,16.7079,0.1342,298885,0415m055,1908,0.037206307,444.7525,656.20044,803.32275,862.31903,1.3577118,1.1526327,1.2770841,1.1891935,1.0608757,1744574.8,9.508479,1029196.0,-0.27913916,2.9340438E7,-0.3567868,3.4847084E7,15.879704,15.457409,15.237775,15.16083,15.60941,16.06309,14.3393,13.411748,0.42229557,0.21963406,0.2965784,0.07694435,41.470625,-5.5886944,02 45 52.95,-05 35 19.3,0.0,,17.5032,17.0847
47,2,6610,43.45328850894474,-41.96649072958697,SER,0.583651388201831,654.1645,0.0111,876.6087,0.015,14.7746,0.0198,18.5048,0.0013,0.3857,0.0021,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.015,14.9171,0.0168,18.1937,0.0013,0.4442,0.0014,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.015,15.0531,0.0247,18.0569,0.0019,0.5001,0.0024,0.7257,0.0008,-22.7984,0.1572,654.1645,0.0111,876.6087,0.015,15.2003,0.0381,17.9714,0.0032,0.5605,0.0042,0.7257,0.0008,-22.7984,0.1572,109505,0434m420,6610,0.014057335,25.17652,32.2253,35.312145,37.251266,1.4991484,1.1813755,1.3707391,1.2177883,0.5977842,59357.15,2.4247231,119503.91,0.0059752422,410213.1,-0.16448008,985253.2,18.99751,18.729507,18.63019,18.572147,19.260033,19.869776,17.27247,,0.26800346,0.09931755,0.15736008,0.058042526,43.4530833,-41.9665,02 53 48.74,-41 57 59.4,0.0,,20.0928,20.1872
47,3,6651,43.45430953410411,-41.95596963694773,SER,0.583651388201831,663.117,0.0085,732.2668,0.0088,9.2386,0.0182,19.0215,0.0018,0.5126,0.0038,0.7221,0.0011,-44.0403,0.2143,663.117,0.0085,732.2668,0.0088,9.2759,0.0146,18.7254,0.0018,0.5939,0.0023,0.7221,0.0011,-44.0403,0.2143,663.117,0.0085,732.2668,0.0088,9.3115,0.0223,18.6283,0.0026,0.6715,0.0041,0.7221,0.0011,-44.0403,0.2143,663.117,0.0085,732.2668,0.0088,9.3501,0.0353,18.5674,0.0043,0.7556,0.0072,0.7221,0.0011,-44.0403,0.2143,109505,0434m420,6651,0.013942841,38.115734,50.015568,55.781418,59.89707,1.4696363,1.252606,1.3707391,1.1902815,0.5,158072.4,3.7300723,81884.51,0.13301949,1306686.8,-0.12263422,1165203.4,18.54724,18.252237,18.133776,18.056486,18.806341,19.492975,,,0.29500198,0.11846161,0.19575119,0.07728958,43.4537917,-41.9556944,02 53 48.91,-41 57 20.5,0.0,,19.7993,19.5954
47,4,6990,43.46510686074172,-41.97949312861047,SER,0.583651388201831,883.7509,0.0036,584.4421,0.0031,9.7277,0.0077,18.1156,7.0E-4,0.5217,0.0018,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.7946,0.0049,17.5931,5.0E-4,0.5695,0.0010,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.8584,0.0063,17.2845,6.0E-4,0.6150,0.0013,0.6468,0.0003,-49.9323,0.0577,883.7509,0.0036,584.4421,0.0031,9.9274,0.0105,17.1459,0.0011,0.6643,0.0023,0.6468,0.0003,-49.9323,0.0577,109505,0434m420,6990,0.014092954,139.63988,233.593,291.85815,342.09543,1.4800231,1.2747599,1.3573266,1.185931,0.8714347,1104803.1,3.339186,1105840.2,0.16219535,1.7501592E7,0.15188694,1.6098907E7,17.137476,16.57885,16.33707,16.16463,16.414543,16.84471,14.608186,12.77536,0.5586262,0.24177933,0.4142189,0.17243958,43.4652917,-41.9793889,02 53 51.67,-41 58 45.8,0.069815,,19.5092,19.0413
47,1,5871,43.43166948705896,-41.97722464626543,SER,0.583651388201831,541.0773,0.0019,553.9981,0.0027,12.3535,0.0057,17.1457,4.0E-4,0.6736,0.0009,0.6505,0.0002,20.141,0.0305,541.0773,0.0019,553.9981,0.0027,12.7015,0.0036,16.565,3.0E-4,0.8016,0.0006,0.6505,0.0002,20.141,0.0305,541.0773,0.0019,553.9981,0.0027,13.0336,0.0054,16.2951,4.0E-4,0.9237,0.0008,0.6505,0.0002,20.141,0.0305,541.0773,0.0019,553.9981,0.0027,13.3931,0.0092,16.1015,0.0006,1.0558,0.0014,0.6505,0.0002,20.141,0.0305,109505,0434m420,5871,0.013843811,57.873615,92.11478,121.01957,136.14496,1.4991484,1.2533303,1.3707391,1.1906564,0.57848746,545486.44,2.5496204,2004788.5,-0.036924087,4557819.0,-0.21172564,7625047.5,18.093798,17.589176,17.292862,17.164995,17.380716,17.913525,15.729275,,0.5046215,0.29631424,0.42418098,0.12786674,43.4315,-41.9773056,02 53 43.56,-41 58 38.3,0.0,,20.1271,19.9749
48,1,1193,45.03859046574656,-36.38120277446424,SER,0.52791442785483,756.6401,0.0042,422.3918,0.0031,22.8317,0.0607,17.6307,0.0021,1.6369,0.0049,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,22.2581,0.0355,17.0253,0.0012,1.9212,0.0026,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,21.7107,0.0476,16.768,0.0015,2.1925,0.0038,0.6867,0.0004,53.6555,0.0876,756.6401,0.0042,422.3918,0.0031,21.1183,0.0837,16.6341,0.0029,2.4861,0.0071,0.6867,0.0004,53.6555,0.0876,134069,0451m365,1193,0.017747942,90.89854,163.27734,214.24194,251.98769,1.332155,1.2051195,1.2789575,1.1935889,2.2129877,117664.64,6.7977953,96926.0,-0.06077047,1753098.9,0.20778853,3777180.0,17.603607,16.967686,16.672739,16.496552,16.96026,17.474342,15.765213,16.092117,0.6359215,0.29494667,0.4711342,0.17618752,45.0382083,-36.3808889,03 00 09.17,-36 22 51.2,0.0,,19.4241,19.5236
48,2,6568,45.04357933448144,-36.35840573048463,SER,0.52791442785483,646.443,0.0023,827.1642,0.0017,*0.3424*,*0.0241*,18.1355,6.0E-4,0.8026,0.2133,0.7728,0.0168,-25.6968,2.6331,646.443,0.0023,827.1642,0.0017,*0.2449*,*0.0184*,17.998,6.0E-4,1.9497,0.2447,0.7728,0.0168,-25.6968,2.6331,646.443,0.0023,827.1642,0.0017,*0.1519*,*0.0133*,17.7829,0.0021,3.0442,0.2797,0.7728,0.0168,-25.6968,2.6331,646.443,0.0023,827.1642,0.0017,*0.0512*,*0.0086*,17.6671,0.0146,4.2291,0.3211,0.7728,0.0168,-25.6968,2.6331,135229,0450m362,6568,0.017829526,165.68678,326.9228,452.4539,558.26135,1.3592769,1.2193097,1.2657617,1.1838666,0.93572074,1628107.2,5.4236326,622329.94,0.33011475,3.2698216E7,-0.004727669,1.3930766E7,16.95178,16.213886,15.861064,15.632906,15.794824,16.221594,14.736536,14.296562,0.73789406,0.3528223,0.5809803,0.228158,45.0434167,-36.3586111,03 00 10.42,-36 21 31.0,0.0958,,19.519,18.9998
48,3,6696,45.04855677433579,-36.35173681597946,PSF,0.52791442785483,701.6651,0.002,735.6829,0.0037,20.8823,0.0124,16.9392,6.0E-4,0.7446,0.0010,0.5186,0.0001,-0.4251,0.0178,701.6651,0.002,735.6829,0.0037,20.2916,0.0079,16.2211,4.0E-4,0.8835,0.0006,0.5186,0.0001,-0.4251,0.0178,701.6651,0.002,735.6829,0.0037,19.7280,0.0090,15.8773,3.0E-4,1.0160,0.0007,0.5186,0.0001,-0.4251,0.0178,701.6651,0.002,735.6829,0.0037,19.1180,0.0147,15.6745,0.0007,1.1595,0.0012,0.5186,0.0001,-0.4251,0.0178,135229,0450m362,6696,0.017802985,57.224815,65.07409,79.22684,83.22305,1.3526269,1.2127869,1.2751063,1.165638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10604,17.96648,17.75282,17.69939,17.091246,16.384937,14.991235,13.594778,0.13955879,0.2136612,0.26708984,0.05342865,45.0484167,-36.3516944,03 00 11.62,-36 21 06.1,0.0,,20.1719,18.9757
