Group_1,Gal_1,ID_1,ra_1,dec_1,type_1,CHI2NU_1,RE_g_1,e_RE_g_1,MAG_g_1,e_MAG_g_1,n_g_1,e_n_g_1,RE_r_1,e_RE_r_1,n_r_1,e_n_r_1,RE_i_1,e_RE_i_1,n_i_1,e_n_i_1,RE_z_1,e_RE_z_1,n_z_1,e_n_z_1,objid_1,ebv_1,mag_g_1a,mag_r_1a,mag_i_1a,mag_z_1a,objid_2,type_2a,_RAJ2000_2,_DEJ2000_2,Group_2,Gal_2,ID_2,CHI2NU_2,RE_r_2,e_RE_r_2,n_r_2,e_n_r_2,RE_g_2,e_RE_g_2,n_g_2,e_n_g_2,RE_i_2,e_RE_i_2,n_i_2,e_n_i_2,RE_z_2,e_RE_z_2,n_z_2,e_n_z_2
32,2,7374,23.4191639383167,-69.30994700675836,PSF,0.624711404673561,28.0793,0.1988,17.09,0.0062,1.3552,0.0111,27.6092,0.0987,1.4884,0.0054,27.1607,0.1833,1.6155,0.0106,26.6753,0.3420,1.7531,0.0199,7374,0.023159832,22.098518,21.206976,20.752361,20.29051,7374,PSF,23.419,-69.31,32,2,iDR4_3_MC0050_0037312,1.21635684263513,7.8376,0.0987,0.9845,0.0160,7.7354,0.1412,0.8741,0.0255,7.9347,0.1529,1.0894,0.0268,8.0121,0.2248,1.1730,0.0409
32,1,6556,23.38287520992754,-69.31228126334031,SER,0.624711404673561,16.4178,0.0781,17.5442,0.0044,0.9633,0.0068,16.6225,0.0454,1.0551,0.0038,16.8178,0.0848,1.1427,0.0074,17.0292,0.1505,1.2375,0.0134,6556,0.02279285,17.55592,17.149649,17.009956,16.916225,6556,SER,23.3835833,-69.3123056,32,1,iDR4_3_MC0050_0037845,1.21635684263513,9.7380,0.0970,1.8632,0.0190,10.1316,0.1646,1.7459,0.0328,9.3641,0.1368,1.9746,0.0292,9.0661,0.2106,2.0634,0.0454
32,3,8067,23.44873690246612,-69.32935004777504,EXP,0.624711404673561,12.8365,0.0644,18.3204,0.0046,0.8078,0.0095,12.4027,0.0427,0.6676,0.0053,11.9889,0.0470,0.5338,0.0063,11.5409,0.0741,0.3889,0.0116,8067,0.022504775,18.363464,18.039597,17.969421,17.91553,8067,EXP,23.4485833,-69.3293889,32,3,iDR4_3_MC0050_0038239,1.21635684263513,13.6138,0.2412,1.5050,0.0237,13.6900,0.3807,1.3338,0.0405,13.5415,0.3614,1.6676,0.0392,13.4839,0.5443,1.7972,0.0609
36,1,682,26.88918569427224,-30.2617488125907,REX,0.65056318019576,12.7935,0.0067,16.0208,4.0E-4,1.6745,0.0012,12.2872,0.0038,1.7504,0.0007,11.8041,0.0060,1.8229,0.0010,11.2811,0.0106,1.9013,0.0018,682,0.01652258,16.238873,15.892893,15.826542,15.682822,682,REX,26.8894167,-30.2618889,36,1,iDR4_3_SPLUS-s24s18_0046816,1.16271042542296,6.3150,0.0300,1.8089,0.0096,6.4877,0.0460,1.7600,0.0158,6.1509,0.0406,1.8554,0.0141,6.0201,0.0597,1.8925,0.0216
36,4,1575,26.91354851874674,-30.24911880652262,SER,0.65056318019576,3.9111,0.0232,18.6966,0.003,3.6666,0.0286,4.5501,0.0180,3.4877,0.0178,5.1599,0.0319,3.3170,0.0208,5.8199,0.0525,3.1321,0.0347,1575,0.016972756,18.68871,18.52744,18.5606,18.513231,1575,SER,26.9132917,-30.2491944,36,4,iDR4_3_SPLUS-s23s18_0001031,1.90752955489361,10.2652,4.0763,*15.2491*,*2.7541*,5.9749,2.3586,*17.8767*,*3.4630*,14.3420,5.9957,*12.7522*,*2.2937*,17.5904,7.5835,*10.7627*,*2.1700*
36,3,1259,26.90490354802899,-30.25425529877529,SER,0.65056318019576,9.6617,0.0048,16.8548,4.0E-4,1.1510,0.0013,9.6903,0.0029,1.1760,0.0008,9.7175,0.0040,1.2000,0.0010,9.7470,0.0071,1.2259,0.0018,1259,0.016820092,16.862362,16.406258,16.2308,16.084833,1259,SER,26.9049167,-30.2543056,36,3,iDR4_3_SPLUS-s24s18_0046552,1.16271042542296,4.9122,0.0229,1.3554,0.0106,4.7585,0.0350,1.2784,0.0184,5.0583,0.0308,1.4286,0.0140,5.1746,0.0453,1.4869,0.0217
36,2,896,26.8952270149351,-30.26768591844592,SER,0.65056318019576,11.3676,0.0119,18.4654,0.001,0.5438,0.0030,10.9358,0.0069,0.5376,0.0015,10.5239,0.0109,0.5316,0.0025,10.0779,0.0193,0.5251,0.0047,896,0.016626108,18.46962,18.209463,18.155901,18.063763,896,SER,26.895,-30.2676111,36,2,iDR4_3_SPLUS-s23s18_0000653,1.90752955489361,5.3517,0.0527,0.5619,0.0320,5.3847,0.0743,0.4873,0.0449,5.3204,0.0788,0.6328,0.0493,5.2954,0.1147,0.6893,0.0720
39,1,10434,29.6593525435057,-33.77359425372538,SER,0.649151824885837,9.9630,0.0148,18.2177,0.0015,0.8404,0.0029,9.7964,0.0100,1.4029,0.0022,9.6375,0.0167,1.9397,0.0040,9.4655,0.0281,2.5207,0.0066,10434,0.01881649,18.234074,17.385977,17.0279,16.786333,10434,SER,29.6595,-33.7735,39,1,iDR4_3_SPLUS-s26s19_0013732,2.04626937661984,7.2374,0.0643,0.6952,0.0181,7.1686,0.0800,0.5878,0.0252,7.3027,0.1014,0.7974,0.0300,7.3547,0.1447,0.8787,0.0442
39,2,10524,29.66166257692671,-33.74332914844585,SER,0.649151824885837,8.0183,0.0027,16.5751,3.0E-4,0.8596,0.0009,7.7929,0.0018,0.9298,0.0006,7.5778,0.0022,0.9969,0.0008,7.3450,0.0036,1.0694,0.0013,10524,0.019050054,16.615097,16.108086,15.890408,15.722696,10524,SER,29.6615833,-33.7433889,39,2,iDR4_3_SPLUS-s26s19_0014643,2.04626937661984,4.8587,0.0818,1.3745,0.0293,4.9136,0.1134,0.8315,0.0444,4.8065,0.1217,1.8905,0.0527,4.7650,0.1763,2.3016,0.0799
39,4,11421,29.68659056847958,-33.75728046432995,SER,0.649151824885837,5.3664,0.0052,17.8526,7.0E-4,1.4028,0.0034,5.4623,0.0036,1.6308,0.0023,5.5537,0.0057,1.8484,0.0034,5.6527,0.0095,2.0839,0.0056,11421,0.019105537,17.857716,17.457779,17.31506,17.188375,11421,SER,29.6864167,-33.7571111,39,4,iDR4_3_SPLUS-s26s19_0014340,2.04626937661984,4.2899,0.0160,1.2745,0.0072,4.3969,0.0244,1.1365,0.0132,4.1883,0.0218,1.4056,0.0117,4.1073,0.0322,1.5101,0.0185
