Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
523.0,523.0,4296.0,185.4596974727376,8.05505209234528,SER,1.26106317605434,344.5725,0.0019,344.4585,0.0026,85.1455,0.6134,15.3217,0.004,3.8518,0.0144,0.553,4.0E-4,-32.9484,0.0494,344.5725,0.0019,344.4585,0.0026,113.9763,0.8897,14.5833,0.004,6.3334,0.0177,0.553,4.0E-4,-32.9484,0.0494,344.5725,0.0019,344.4585,0.0026,141.4849,1.5315,14.2674,0.0047,8.7012,0.0288,0.553,4.0E-4,-32.9484,0.0494,344.5725,0.0019,344.4585,0.0026,171.2629,2.3025,14.0833,0.0049,11.2644,0.0429,0.553,4.0E-4,-32.9484,0.0494,0.0734,11.238,0.037,0.809,0.125
524.0,524.0,5177.0,214.8214688474493,16.30790348254756,SER,0.413263812992827,573.4022,0.0017,572.8095,0.0018,7.197,0.0599,17.7035,0.0038,6.9273,0.0562,0.6245,0.0013,-35.9423,0.1216,573.4022,0.0017,572.8095,0.0018,6.8435,0.0343,16.8908,0.0024,6.3895,0.0322,0.6245,0.0013,-35.9423,0.1216,573.4022,0.0017,572.8095,0.0018,6.5062,0.0225,16.4801,0.0018,5.8763,0.021,0.6245,0.0013,-35.9423,0.1216,573.4022,0.0017,572.8095,0.0018,6.1411,0.0397,16.3155,0.003,5.3209,0.0371,0.6245,0.0013,-35.9423,0.1216,0.1269,10.837,0.066,1.077,0.074
525.0,525.0,2413.0,142.4775436820962,8.128764903491858,REX,0.536532681645847,344.9177,0.0027,343.8350,0.0025,9.5464,0.0064,17.2573,6.0E-4,0.7718,0.0013,0.8938,4.0E-4,-84.5686,0.1682,344.9177,0.0027,343.8350,0.0025,9.2351,0.0044,16.6571,5.0E-4,0.9572,7.0E-4,0.8938,4.0E-4,-84.5686,0.1682,344.9177,0.0027,343.8350,0.0025,8.9381,0.0073,16.3875,8.0E-4,1.1341,0.0014,0.8938,4.0E-4,-84.5686,0.1682,344.9177,0.0027,343.8350,0.0025,8.6166,0.0123,16.2529,0.0013,1.3255,0.0025,0.8938,4.0E-4,-84.5686,0.1682,0.0774,10.352,0.05,0.609,0.079
526.0,526.0,1059.0,201.3945241157572,27.3304493052148,SER,0.468351555670889,345.1320,0.0048,345.1493,0.0056,8.6805,0.0091,17.9653,0.0011,0.4514,0.0018,0.8391,7.0E-4,-36.0986,0.2308,345.1320,0.0048,345.1493,0.0056,8.6087,0.0081,17.4567,0.001,0.5684,0.0014,0.8391,7.0E-4,-36.0986,0.2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.1320,0.0048,345.1493,0.0056,8.4661,0.0171,17.0364,0.0019,0.8008,0.0038,0.8391,7.0E-4,-36.0986,0.2308,0.1345,10.528,0.056,0.761,0.06
527.0,527.0,5901.0,129.9993704121806,28.01003424343955,DUP,0.394745132511747,343.8873,0.0014,344.5199,0.0015,18.5418,0.0819,16.6288,0.0019,5.8228,0.0166,0.8474,7.0E-4,-36.2634,0.1495,343.8873,0.0014,344.5199,0.0015,16.6692,0.0501,15.7012,0.0014,5.4462,0.01,0.8474,7.0E-4,-36.2634,0.1495,343.8873,0.0014,344.5199,0.0015,14.8826,0.0331,15.3452,0.0011,5.0869,0.0073,0.8474,7.0E-4,-36.2634,0.1495,343.8873,0.0014,344.5199,0.0015,12.9485,0.049,15.0695,0.0018,4.6979,0.0118,0.8474,7.0E-4,-36.2634,0.1495,0.0926,11.264,0.019,-0.189,0.541
528.0,528.0,1450.0,229.7595830446137,5.757741731353893,SER,0.363755027300714,343.6030,0.0042,344.1567,0.0057,11.2562,0.0164,18.3381,0.0015,0.6804,0.0026,0.6907,7.0E-4,35.8653,0.1092,343.6030,0.0042,344.1567,0.0057,10.9841,0.0107,17.5627,0.001,0.8305,0.0015,0.6907,7.0E-4,35.8653,0.1092,343.6030,0.0042,344.1567,0.0057,10.7245,0.0134,17.2072,0.0012,0.9738,0.0024,0.6907,7.0E-4,35.8653,0.1092,343.6030,0.0042,344.1567,0.0057,10.4435,0.022,17.0039,0.0018,1.1289,0.0042,0.6907,7.0E-4,35.8653,0.1092,0.1375,10.711,0.075,0.619,0.101
529.0,529.0,3885.0,249.3368544401683,13.70633034137338,SER,0.379427316916866,344.6684,0.0093,343.7511,0.0054,15.2023,0.0223,17.9082,0.0014,0.759,0.0027,0.2907,4.0E-4,-59.7085,0.0339,344.6684,0.0093,343.7511,0.0054,15.288,0.0224,17.4656,0.0014,0.981,0.0025,0.2907,4.0E-4,-59.7085,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.6684,0.0093,343.7511,0.0054,15.4583,0.058,17.0534,0.0029,1.4222,0.0067,0.2907,4.0E-4,-59.7085,0.0339,0.1025,10.093,0.086,0.756,0.08
530.0,530.0,2024.0,158.5507733347281,-0.381180818246927,SER,0.667222414118287,344.4284,0.0025,344.2519,0.003,13.5322,0.0166,17.9817,9.0E-4,1.3772,0.0026,0.4651,2.0E-4,40.2187,0.0352,344.4284,0.0025,344.2519,0.003,13.0106,0.0155,17.0565,0.0011,1.6961,0.0029,0.4651,2.0E-4,40.2187,0.0352,344.4284,0.0025,344.2519,0.003,12.5128,0.0246,16.664,0.0018,2.0003,0.0051,0.4651,2.0E-4,40.2187,0.0352,344.4284,0.0025,344.2519,0.003,11.974,0.038,16.4238,0.002,2.3296,0.008,0.4651,2.0E-4,40.2187,0.0352,0.1526,11.053,0.04,0.573,0.144
531.0,531.0,7312.0,317.9280595582175,0.734924236508518,SER,1.25496554710395,115.5240,0.0023,115.4258,0.0024,13.4109,0.2256,18.0089,0.008,6.4152,0.0711,0.809,0.0018,-24.584,0.319,115.5240,0.0023,115.4258,0.0024,12.3907,0.1311,16.9225,0.005,6.3951,0.0423,0.809,0.0018,-24.584,0.319,115.5240,0.0023,115.4258,0.0024,11.4173,0.0883,16.4989,0.0039,6.376,0.0333,0.809,0.0018,-24.584,0.319,115.5240,0.0023,115.4258,0.0024,10.3636,0.1507,16.2277,0.0064,6.3553,0.0553,0.809,0.0018,-24.584,0.319,0.1355,11.035,0.028,-0.421,0.444
532.0,532.0,1781.0,217.2618226848499,30.84565736385692,SER,0.405359093709494,572.5686,0.0049,573.1468,0.008,10.9768,0.015,18.2026,0.0014,0.7252,0.0025,0.5585,5.0E-4,-5.8825,0.0762,572.5686,0.0049,573.1468,0.008,10.6321,0.0115,17.37,0.0011,0.8165,0.0018,0.5585,5.0E-4,-5.8825,0.0762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.5686,0.0049,573.1468,0.008,9.9472,0.0248,16.759,0.0022,0.9977,0.0048,0.5585,5.0E-4,-5.8825,0.0762,0.1174,10.684,0.048,0.321,0.144
