brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
327604,0291m005,5740,SER,29.14773840613401,-0.5341108975250789,80.565865,121.21239,145.59285,150.93173,40.24407,17.128592,5.2166615,2.4153607
402499,1599p125,2062,SER,159.8743136043979,12.49243859222675,64.030266,86.95795,94.78383,104.97487,81.42967,42.316216,22.873703,4.4347725
402499,1599p125,2073,PSF,159.8746061601981,12.4917611847755,0.9804679,0.8883545,0.056434773,0.23790795,1271.9225,827.48175,396.75363,130.70087
357045,1924p045,8621,SER,192.4502033517137,4.488979200579896,0.59500545,2.654639,4.22557,4.5365634,421.3783,2490.121,34.516937,32.07131
357045,1924p045,8645,SER,192.4505837421911,4.48986718181358,128.91585,177.80301,194.13641,211.21895,46.959694,350.29086,5.8212576,7.2593737
357045,1924p045,8641,REX,192.4505204670791,4.489932631593529,5.6845965,6.4284153,5.7188478,7.8025556,158.87984,1207.519,23.765387,31.47167
398417,1972p117,4323,SER,197.2643109942425,11.78178128037649,80.92599,99.19912,97.45138,104.20455,54.080353,24.313412,12.060991,6.340638
398417,1972p117,4321,SER,197.2642311347769,11.78267329367872,0.079968825,1.4115958,2.853049,3.532578,93.493004,33.912563,12.678553,6.2718163
329027,0248m002,16142,SER,24.979174576942,-0.2548286693084034,65.67441,97.61383,118.67186,125.86089,763.1716,165.01158,39.9829,11.421529
283086,0258m082,2933,EXP,25.82585521264041,-8.310185230017062,80.775635,109.08095,128.96574,129.20067,111.52509,73.072044,26.595848,10.711205
296075,0561m060,2388,REX,56.07683344587474,-6.030933344829104,0.7473912,0.9567253,1.2641714,1.2594054,1046.7354,518.9091,296.2379,255.2649
296075,0561m060,2417,EXP,56.07773023985283,-6.031907358693443,1.7426925,1.6805961,0.7428473,0.9081587,843.2975,439.15933,270.22,232.12227
296075,0561m060,2408,SER,56.0773797285646,-6.031451792135946,56.312824,82.38189,89.98297,100.49583,42.041298,15.341813,9.109252,6.3834124
376941,1521p080,2740,EXP,152.1495294770639,8.069279979021253,61.553253,84.7399,102.26601,106.9974,79.10297,25.026873,2.3276165,5.7371607
392694,1801p107,1164,EXP,180.041210530545,10.70424304145228,0.35521084,1.1971726,1.228657,1.9225411,318.55405,104.35853,38.260677,17.84409
392694,1801p107,1216,EXP,180.0427719552909,10.70384448324035,2.0064485,4.0672445,5.2660656,6.332852,159.21895,53.27744,18.881302,8.715831
392694,1801p107,1187,SER,180.042082865432,10.70439406120898,48.278725,64.40775,68.11048,75.119804,123.23964,51.447674,21.587101,11.453004
392694,1801p107,1190,PSF,180.0421107662469,10.70485106754029,2.1335833,1.7072395,1.0206199,1.1763496,639.064,321.14728,192.23456,118.46281
361379,1989p052,6192,SER,199.0307216109983,5.202515431696266,78.456085,107.37936,127.31907,128.3994,81.55315,17.382301,4.8723707,4.056399
280173,0099m087,7268,SER,9.983230188547994,-8.853213522418866,96.720345,138.26347,154.09279,173.39616,273.69778,434.71948,86.68335,9.594875
391252,1737p105,2927,EXP,173.7873778405973,10.56017172178822,1.3393402,0.9856865,0.47656602,0.2814582,457.56216,136.09235,78.43401,25.527359
391252,1737p105,2924,SER,173.7872256518526,10.56109202040645,56.45235,82.09,92.171555,103.34348,119.92877,32.68805,21.96869,8.054496
391252,1737p105,2940,EXP,173.7880586110173,10.56061809806411,0.6109596,0.4435913,0.32050452,0.32740173,899.468,258.50015,146.03223,45.008606
323888,1801m012,8599,SER,180.204987376402,-1.250354703234597,62.0796,93.09602,104.52366,115.25902,413.50995,260.17783,25.164026,51.66013
355659,2051p042,2073,SER,205.1243068218164,4.296077029498299,78.44028,97.52559,112.38887,104.95477,67.993225,29.65284,11.444689,5.903608
329036,0271m002,5859,SER,27.12561577809238,-0.2127128140882431,82.56643,117.27791,135.2766,147.21555,67.97139,63.702915,18.10326,10.938076
369673,1220p067,3244,SER,122.0572862271811,6.808509867416541,116.13866,165.20181,198.04903,204.51723,13.317631,5.37535,0.84002346,2.1181405
359761,1533p050,3242,SER,153.3178317042044,5.107977598385812,97.57716,123.59928,145.89345,145.59767,19.717798,10.927546,9.683988,1.9895444
477017,1217p262,2500,SER,121.6787946169018,26.16150478793276,94.15138,161.02043,201.21259,222.99347,68.904076,19.934193,9.885305,5.5918283
477017,1217p262,6706,DUP,121.6788306604279,26.16148521615574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335538,2126p007,2873,EXP,212.5467208007159,0.8648809386368587,0.55919236,0.46193448,0.18614292,0.19000491,4900.256,3453.6902,279.93497,1115.4384
335538,2126p007,2884,SER,212.5469105128066,0.8658192256367665,53.76799,76.72618,87.30939,96.8882,704.5694,452.83978,35.82271,166.06868
333468,0551p005,5508,SER,55.21393978877795,0.4343006317090588,64.77759,99.764435,124.88654,138.75264,42.74647,12.221978,6.3952646,4.1912465
385458,1444p095,1508,SER,144.3749016961168,9.552199837816334,172.97687,293.04922,370.86658,418.20798,13.787374,5.13459,4.6142187,1.2463999
475719,1209p260,246,REX,120.8429226352678,26.00845658953605,1.1639549,1.8801737,2.6064267,2.223543,271.1163,73.78664,38.53375,12.206991
475719,1209p260,252,REX,120.8433130204027,26.00803241446947,64.365395,96.93882,115.60075,129.49487,52.064785,13.441579,7.102851,2.1114445
280175,0104m087,4125,SER,10.43360744144658,-8.767643882803116,121.38445,171.708,206.8108,215.55374,110.72311,132.79204,24.623402,2.4471579
371193,1443p070,5780,SER,144.5027100236021,6.9243459475606,100.8691,164.58882,204.33838,224.30325,16.499706,3.4695241,2.6177883,0.6272272
328992,0161m002,10843,SER,16.20538846834857,-0.2881166069457072,73.12883,106.41994,122.6196,134.27837,148.1652,54.095867,15.659625,4.941732
328992,0161m002,10839,SER,16.20533780412862,-0.287284630130728,0.90895015,1.0316501,0.84393257,0.8728005,3452.6116,1717.5728,586.31165,197.44528
493579,1162p295,3256,PSF,116.2400143728469,29.55674350181926,6.1060653,5.6938887,2.487784,3.4558876,586.24725,297.71536,121.72572,59.698647
493579,1162p295,3281,SER,116.2408643797851,29.55710433953734,209.38225,282.75034,301.1761,337.92004,10.752452,4.6575723,0.91306925,0.5540907
385457,1441p095,1432,SER,144.1118124735043,9.606225470594095,99.86104,146.07507,176.96878,186.50305,14.614182,3.7929244,4.3711367,1.053871
291421,3261m070,5112,SER,326.2188654144182,-7.011276016397004,65.69844,103.22879,128.07689,140.45407,60.580456,38.001778,7.556667,5.7997656
331093,1813p000,7213,SER,181.3832906428784,0.0391986761453297,93.47733,143.5664,175.23328,187.1527,48.40725,13.436105,1.6723906,73.52047
326003,3488m010,5218,EXP,348.828843048312,-0.9900367252205468,2.9055064,2.5065663,1.5160637,1.8283236,7716.343,6326.683,1384.0854,272.02884
326003,3488m010,5219,SER,348.828848347462,-0.9893432419635668,65.86692,92.74845,102.42645,114.62526,792.2079,525.2633,105.38284,15.148137
270262,0184m105,1419,SER,18.33238411786069,-10.46877565179599,120.8391,166.66826,184.79546,204.37878,27.434692,10.483902,15.840402,3.6433692
270262,0184m105,1429,PSF,18.3327860743311,-10.46844451675471,4.40549,2.8291645,0.05520625,0.8373805,246.13431,171.1484,210.40399,42.152878
330517,0373p000,12433,REX,37.41276357853408,0.1232043878586365,0.1116368,1.6122524,3.5598552,3.7471957,917.2412,630.95056,212.64256,70.32887
330517,0373p000,12498,SER,37.41362298958386,0.1232413141115962,89.35985,138.22993,159.93636,180.19615,696.9244,568.3263,264.8994,121.3774
330517,0373p000,12512,REX,37.41371836486152,0.1236730040753033,1.3730594,9.708208,16.267109,20.15138,430.7129,316.28766,116.69035,42.47609
361170,1465p052,1967,SER,146.4916419032629,5.251484352948827,146.2729,204.49458,224.45479,251.7082,54.021698,42.663013,6.3920436,6.0064855
361170,1465p052,1966,SER,146.4915307452426,5.252092579728722,6.4008837,6.303873,5.2848153,4.527214,182.21797,101.43453,19.13035,17.726742
338475,2268p012,3657,SER,226.8824433536693,1.132849720271959,54.066517,84.24098,100.71806,114.70503,86.74145,62.480606,10.030155,5.3355927
356998,1806p045,3437,SER,180.6514592669367,4.549982205736333,98.41566,146.5886,178.82474,190.80789,41.214317,7.087159,5.607592,3.4775786
385638,1900p095,9181,SER,190.0915244474758,9.415460386348508,78.285675,108.43446,129.51497,132.72519,190.58449,76.691185,43.650303,8.15539
335487,1998p007,5061,SER,199.9286265692599,0.743004967328024,91.81983,146.75833,182.70743,201.38846,34.709393,9.593,3.838937,2.2629738
278769,0150m090,835,SER,14.9481219214127,-9.114643179397827,57.281406,89.133316,107.81234,119.87409,36.60354,9.357394,5.4495077,2.1958551
364169,1791p057,2901,SER,179.1723607479398,5.721059028059951,67.24143,82.09382,78.6257,86.90671,108.77995,28.57786,29.228226,22.663094
364169,1791p057,2910,SER,179.1727131275154,5.720997309464096,4.800158,8.150888,10.095311,11.258638,262.8026,66.17299,53.448402,42.281822
352530,1418p037,3979,SER,141.8788253555445,3.711421412176259,190.01836,282.09967,340.8503,357.42944,21.56876,4.7010846,3.2738507,0.95616436
398410,1954p117,3361,PSF,195.4602633284071,11.76643433420047,2.2226887,2.3241682,2.02858,1.8302754,850.9306,352.8358,65.696556,86.32438
398410,1954p117,3354,EXP,195.459873049465,11.767253881519,3.0046678,5.584557,7.1977324,7.643498,195.56027,64.29641,6.1956143,10.792441
398410,1954p117,3375,SER,195.4606946694988,11.76673584203735,54.622864,84.099915,98.605064,111.3362,112.44456,40.570374,5.8366804,9.474184
398410,1954p117,3387,REX,195.4612093502574,11.76720522479831,1.5091858,2.18229,2.4656541,2.754821,833.8846,311.1491,50.830673,68.97916
265976,0082m112,747,EXP,8.180470719473501,-11.14748594859158,216.51361,316.06473,381.7397,400.0119,6.0105143,4.0441217,1.247061,0.69631505
330942,1436p000,7059,SER,143.654153978923,0.0460545010009339,233.85364,298.5542,349.82236,342.778,205.7844,30.459204,1.3058431,5.851675
336166,0096p010,16530,SER,9.730433523047736,0.9920291320871636,68.1511,93.53903,105.5522,114.49854,631.4726,250.7675,38.483234,12.102752
336166,0096p010,16587,EXP,9.73130506325108,0.9923151941947816,0.49216244,1.1914562,1.5331199,2.1183078,1785.1956,617.8861,89.50227,22.64713
336166,0096p010,16547,REX,9.730715239161857,0.992641762103494,0.615561,1.6330491,2.1196687,2.6540096,5116.0728,2194.1492,430.63025,121.01197
382694,1649p090,561,SER,164.8496351461123,9.100568372967386,86.909355,123.92079,139.37067,150.94365,30.929129,11.108374,37.01572,3.1980748
382694,1649p090,546,EXP,164.8489051533599,9.101160165744746,0.90320385,7.903415,12.96903,17.70624,16.199238,4.8506565,11.770134,1.0090697
392532,1389p107,339,SER,138.8294097271772,10.6497991394499,3.0096495,2.8264668,2.8643396,2.9550445,536.05334,192.49234,223.94968,51.662655
392532,1389p107,333,SER,138.8290562099596,10.65039286058185,139.52972,211.07742,247.19272,273.80887,42.336952,14.177593,16.24807,2.5273013
358528,2041p047,4811,SER,204.2802269911921,4.692106437824911,1.6041089,1.6028757,1.8129889,1.8374658,560.0939,188.18713,108.46031,35.511703
358528,2041p047,4826,REX,204.2809054581679,4.692387948212998,74.5571,117.89174,141.95438,163.04575,94.63529,33.98884,17.576376,6.0242186
276005,0353m095,1820,SER,35.24507683188952,-9.528564569289024,227.30655,318.42245,381.5681,393.67957,61.92101,50.854702,23.87605,8.26767
354235,2086p040,1894,SER,208.5967059802695,4.007064158392903,116.6864,179.57767,219.2502,234.2779,12.296856,10.359842,1.602131,2.0851564
330529,0403p000,3620,SER,40.34059005132079,0.0580768253476131,4.798403,6.493176,6.5598183,6.696347,747.4757,495.08594,248.39978,109.92103
330529,0403p000,3630,SER,40.34089647554926,0.0581212236228845,50.203346,83.27574,103.24873,123.70435,294.3193,150.02121,75.40236,32.427444
298547,3166m057,2614,SER,316.6474437880978,-5.68300653343225,70.09301,131.09573,172.69789,203.95148,82.61534,54.851944,19.069572,20.01478
326008,3501m010,9884,SER,350.1465981622996,-0.8808960818053178,340.4289,427.45956,411.08218,452.40448,144.57379,104.86417,28.670166,3.587716
326008,3501m010,9914,SER,350.1470286846366,-0.8803758030152021,30.360437,34.747444,36.614887,39.509125,1167.5377,899.2947,239.00214,30.250053
318216,2021m022,12279,SER,202.1744007326889,-2.165863599237197,82.73746,123.43959,143.08466,163.01234,913.4021,686.01514,37.324936,18.138165
291388,3178m070,3999,SER,317.82999435744,-7.022841324626454,68.77115,113.22768,143.24211,161.45015,33.607094,6.3303356,2.2796438,2.4283307
327431,3458m007,1936,SER,345.792632412625,-0.8122207921810628,96.04119,150.10974,186.02847,203.65067,32.41577,14.976918,3.2300615,2.4132178
336857,1823p010,4698,REX,182.4109408871576,0.957004508093916,59.929707,83.1481,92.05199,101.47586,111.98533,44.073963,10.000629,9.225213
336857,1823p010,4688,SER,182.4107049412028,0.9570903461627488,2.9891915,2.3098223,1.8306383,2.1557422,1040.9169,601.3093,145.43918,188.479
361237,1633p052,6165,SER,163.4252900405117,5.290832920893243,106.50069,163.0876,198.55699,211.12701,17.428164,6.5861144,4.283617,0.7812066
341045,1493p017,8754,SER,149.3637976931699,1.872492962764725,66.7014,99.65874,117.09322,129.06459,158.227,496.9067,229.92021,23.801844
398214,1454p117,2655,SER,145.4501168356538,11.67361946091848,50.075108,91.66698,117.91884,137.57512,83.84921,30.025574,38.014503,6.0629406
332020,0531p002,4008,EXP,53.14288892687821,0.3423976273066491,43.52216,68.56177,84.27009,95.493996,93.8387,31.031366,8.64173,7.65112
336808,1701p010,1293,SER,170.0557647207206,0.942741643140271,74.57393,104.75781,120.52798,132.50304,130.14278,36.45457,12.80044,8.165646
336808,1701p010,1318,EXP,170.056566540536,0.9423936902030736,2.3921313,2.4456558,2.304034,2.3182611,297.81802,77.11106,31.58859,16.255753
331800,3581p000,3552,SER,358.0561165132764,0.0853317425535877,129.79085,193.2251,223.96193,254.7221,173.19133,12.974761,3.7586215,1.8330737
331800,3581p000,3558,DEV,358.0562109251573,0.0862017540804722,1.9574232,1.9353427,1.3575783,1.8695407,7677.8965,777.9926,245.77385,101.99943
360032,2212p050,4504,SER,221.2924629461301,4.961806502784371,62.204796,88.74467,98.7882,108.92601,67.658676,32.174763,18.62712,9.081479
360032,2212p050,4497,EXP,221.2920677669341,4.96263958450666,1.6863678,2.0487592,1.5027542,1.7611251,469.5302,196.40494,96.2957,47.653763
360032,2212p050,4512,EXP,221.2931830067395,4.962181841830004,1.6159348,1.6438121,1.2182152,1.3515319,999.9968,464.627,244.6841,149.84348
335286,1496p007,10134,SER,149.707652913508,0.836726916481332,251.01932,421.45395,542.1928,623.9674,39.30777,25.954065,30.254925,7.848929
