Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv
22,3,0.1259,14.40623730680628,-35.76529492217725,1.020946737719484,1.0527404815925507,11.325,2.3946,10.5999,2.7568,9.9081,3.1024,9.1591,3.4765,0.0266,0.0065,0.013,0.0031,0.011,0.003,0.0242,0.0065,17.939440022835587,16.8524265693137,16.400068411928462,16.123913015705202,0.015905386
23,1,0.067744,15.55490269161658,-17.22199811019127,1.2862583546259128,1.313306001550135,15.2549,2.5273,15.6825,2.9024,16.0905,3.2603,16.5321,3.6477,0.0153,0.0029,0.0079,0.0015,0.0126,0.0021,0.0235,0.0039,16.536772893138902,15.774204927342327,15.41112690815755,15.199646005688017,0.022165973
23,4,0.067744,15.59404648858646,-17.18606974187302,0.578215755594945,0.5371062636261996,8.4301,1.0867,8.7909,1.147,9.1352,1.2046,9.508,1.267,0.0096,0.0029,0.0053,0.0018,0.0081,0.0023,0.0146,0.0038,17.64836976460654,17.119044995141444,16.832726445620953,16.717808065461824,0.023858592
23,2,0.067744,15.56111337095784,-17.2052903336089,nan,0.7862662024835156,19.3508,2.0499,20.0865,2.5051,20.7884,2.9395,21.5483,3.4096,0.02,0.0023,0.0101,0.0011,0.0165,0.0017,0.0309,0.0033,nan,nan,nan,nan,0.02291302
24,1,0.025441,16.06999899516408,-51.03289212005716,0.16768701695756327,0.12487830540423239,57.7516,2.6943,61.052,3.3431,64.2011,3.9621,67.61,4.6322,0.0263,0.0011,0.0183,0.0008,0.0276,0.001,0.0455,0.0017,14.13595683588101,13.279298991913043,12.898904243027243,12.63645710362999,0.017685674
24,4,0.120637,16.11515694368739,-51.00492400063066,nan,0.9571253175682308,19.4103,2.042,18.0488,2.291,16.7497,2.5287,15.3434,2.7859,0.0535,0.0063,0.0321,0.0034,0.0411,0.0051,0.071,0.0093,nan,nan,nan,nan,0.016495699
24,3,0.062667,16.09287142866929,-51.02112254740798,nan,0.8323132170034206,20.6221,2.7157,19.3577,2.8514,18.1512,2.9809,16.8453,3.1211,0.0297,0.0038,0.0179,0.0021,0.0225,0.0029,0.0387,0.0052,nan,nan,nan,nan,0.017373092
24,2,0.025441,16.07865415737977,-51.01993933260395,-0.43487517686452115,-0.5125834349966585,13.1552,0.6331,12.7683,0.7265,12.399,0.8157,11.9994,0.9122,0.0229,0.0036,0.0179,0.0024,0.0282,0.0045,0.0452,0.0077,18.184203010437162,17.755378391084488,17.475351204738736,17.391149475877924,0.017435594
26,4,0.035811,16.84741713183292,-32.8290673708472,0.14961346098742467,-0.09249798912981788,13.6116,1.2265,12.2773,1.3947,11.0043,1.5551,9.6262,1.7287,0.0037,0.0009,0.0024,0.0006,0.0021,0.0006,0.0033,0.001,16.027791350588195,15.1247019236974,14.750316340399143,14.489768731561615,0.028982436
26,3,0.035194,16.83293887916162,-32.8317691155815,nan,0.003974461292932219,19.4817,0.5078,19.1042,0.6747,18.744,0.8339,18.354,1.0063,0.0051,0.0006,0.0032,0.0004,0.0043,0.0005,0.0073,0.0009,nan,nan,nan,nan,0.029134303
26,1,0.0643,16.80270840320432,-32.83567747715625,0.4845147048277276,0.3659724344320132,16.5053,0.9076,16.3148,1.0749,16.133,1.2345,15.9363,1.4073,0.0287,0.0025,0.0209,0.0018,0.034,0.003,0.0559,0.0051,17.894384255127743,17.359102441928304,17.073762993991824,16.959432971470033,0.029552748
26,2,0.0638,16.81804207117206,-32.8427817921172,1.6539482439829651,1.708233364427942,16.8836,0.9028,16.5453,0.9463,16.2226,0.9877,15.8732,1.0326,0.0594,0.0049,0.047,0.0036,0.0774,0.0065,0.1251,0.0108,18.98440393319426,18.720554022955405,18.48620683422519,18.486141962189176,0.029327404
27,4,0.056532,18.19595612054755,14.36088077656736,nan,0.24962832226498222,10.3566,1.7547,10.2334,1.8991,0.0,0.0,9.9885,2.186,0.0082,0.0025,0.0057,0.0018,0.0,0.0,0.0102,0.003,nan,nan,nan,nan,0.0480818
27,1,0.093823,18.16061455505786,14.39029019366459,0.8891703915746518,0.8078906169209255,11.0671,0.7416,10.8277,0.8665,0.0,0.0,10.3521,1.1146,0.0134,0.002,0.0119,0.0017,0.0,0.0,0.027,0.0047,17.61161440774803,17.09793880458819,nan,16.63750055686502,0.046533834
27,3,0.094517,18.18909008692755,14.38406382373882,1.0203346638254747,1.0294865189561886,15.0437,0.7684,14.6162,0.8971,0.0,0.0,13.7667,1.153,0.0137,0.0017,0.0104,0.0011,0.0,0.0,0.02,0.0028,17.60529517832373,16.83644139456881,nan,16.14739405502056,0.04791779
27,2,0.056532,18.17538394148337,14.37477702837627,0.25362676831774067,0.19697884323905157,10.2031,0.8195,9.9209,0.8974,0.0,0.0,9.3601,1.0521,0.026,0.0042,0.0209,0.0032,0.0,0.0,0.0453,0.0085,18.5614736359319,18.143275699735124,nan,17.7188808307246,0.04708795
28,4,0.0352,20.29108124601455,-32.04061563232854,-0.13478715838496136,-0.2711311695105252,17.4979,1.2767,17.054,1.3601,16.6306,1.4396,16.1721,1.5256,0.0183,0.0019,0.011,0.0011,0.0151,0.0016,0.0262,0.0028,17.10620219012364,16.63950986249302,16.3751367367706,16.298836381668465,0.026457714
28,3,0.0722,20.27815691689498,-32.0500743178396,0.42521057177122046,0.31602369936491215,10.0835,0.543,10.3687,0.6275,10.6408,0.7082,10.9353,0.7955,0.0103,0.0024,0.0077,0.0013,0.0122,0.0023,0.0198,0.0042,19.01655302945743,18.971128924761683,18.812171650069857,19.023626852908162,0.02635827
28,2,0.0726,20.2526136443005,-32.05851136884929,0.8899292163055126,0.8795644789165511,21.0406,0.8906,20.6192,1.1242,20.2171,1.347,19.7818,1.5883,0.0133,0.0011,0.008,0.0006,0.0114,0.001,0.0198,0.0017,17.186983867205026,16.460542137214997,16.09049087891264,15.88387776863893,0.026182787
