Group,Gal,zmemb,ra,dec,logSFR_NUV,log_sSFR,log(M_stellar),RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z
60,4,0.004923,55.63225419210978,-41.14952251705099,-2.00756074737222,-9.432509135286416,7.424948387914196,8.0505,0.8975,13.9151,2.3278,19.5108,3.6925,25.5681,5.1699,0.0244,0.0061,0.0973,0.0133,0.1888,0.0249,0.2889,0.038,17.983545,17.540854,17.329906,17.268105
60,2,0.004923,55.61118847941587,-41.14467798349656,-0.8411607473722249,-9.60701473528642,8.765853987914195,nan,nan,0.9155,nan,1.6865,nan,2.5211,nan,nan,nan,0.0074,nan,0.0185,nan,0.0311,nan,14.856407,14.359839,14.138651,14.059103
61,1,0.030718,56.42341185017834,-12.30330804051288,0.22360545319969383,-9.084385635286415,9.307991088486109,107.1812,0.3639,108.0509,0.3707,108.8808,0.3771,109.7792,0.384,0.0844,0.0009,0.0633,0.0005,0.0836,0.0008,0.1295,0.0015,16.721529,16.428354,16.232227,16.198898
61,4,0.030718,56.430349879522,-12.26294740384917,0.17008545319969137,-9.372058535286419,9.54214398848611,24.1887,3.9117,24.8707,3.8468,25.5215,3.785,26.2259,3.718,0.0322,0.0039,0.0197,0.0025,0.0257,0.0026,0.0439,0.0042,17.052488,16.551346,16.375135,16.196642
61,3,0.030718,56.42954445264876,-12.29587363496046,0.66580545319969,-9.52797233528642,10.19377778848611,7.7468,7.3857,7.4501,6.2939,7.167,5.2521,6.8605,4.1243,0.0478,0.0377,0.0276,0.0223,0.0192,0.0132,0.0331,0.0211,15.285931,14.804122,14.574005,14.480075
61,2,0.030718,56.42748324186661,-12.27369585735638,0.009605453199691638,-9.521234235286418,9.53083968848611,12.4697,0.7208,12.0831,0.8355,11.7143,0.9449,11.3151,1.0634,0.0084,0.0016,0.0054,0.001,0.0067,0.0013,0.0111,0.0022,17.486998,16.99238,16.72363,16.483425
65,3,0.014563,67.54549287179941,6.94415958300997,0.36364128010752594,-9.670503935286423,10.034145215393949,15.0621,0.5867,15.0824,0.6006,15.1017,0.6139,15.1226,0.6283,0.0211,0.0032,0.0156,0.0019,0.0182,0.0023,0.0272,0.0038,15.008377,14.340824,14.061264,13.859221
66,1,0.067166,70.52219347840752,-23.24916053708371,0.5655185513240042,-7.750748935286417,8.316267486610421,28.1906,2.2937,26.875,2.621,25.6198,2.9333,24.2609,3.2714,0.0349,0.0028,0.0204,0.0015,0.0264,0.0021,0.0463,0.0039,20.245789,20.067642,20.010529,19.960915
66,2,0.067166,70.54116695597808,-23.23700230467508,0.7857985513240067,-7.015652935286415,7.801451486610421,14.2687,1.9614,13.6044,1.9841,12.9705,2.0057,12.2844,2.0291,0.0137,0.0024,0.0081,0.0013,0.0102,0.0016,0.0178,0.003,20.650915,20.46947,20.466743,20.686737
66,4,0.067166,70.55179936391094,-23.2424223098053,0.3473985513240052,-8.377795635286416,8.725194186610421,10.8155,0.5228,10.6497,0.4858,10.4916,0.4505,10.3204,0.4123,0.0241,0.0044,0.0167,0.0024,0.0252,0.0044,0.0416,0.0079,18.852335,18.72177,18.702278,18.70242
67,1,0.075992,71.07582040865003,-21.87990448550879,0.7012753304141395,-9.898384735286424,10.599660065700563,14.9718,0.7501,14.5802,0.8468,14.2066,0.9391,13.8021,1.039,0.0087,0.0012,0.0054,0.0007,0.0069,0.001,0.0117,0.0018,20.321278,18.970041,18.453878,18.03063
67,2,0.075992,71.08374050309193,-21.87837950419339,0.35307533041414096,-9.300633435286422,9.653708765700562,3.7449,2.285,3.7307,2.2164,3.7172,2.151,3.7026,2.0802,0.0053,0.0111,0.0035,0.0052,0.0049,0.0072,0.0082,0.0144,18.38429,17.978308,17.770647,17.657957
67,4,0.075992,71.12449448156778,-21.87924339533691,0.507555330414144,-10.11638653528642,10.623941865700564,11.3742,1.3978,11.7379,2.1379,12.0849,2.844,12.4605,3.6085,0.0144,0.0031,0.0114,0.0024,0.0206,0.0044,0.0339,0.0073,17.323711,16.670378,16.291416,16.101013
67,3,0.075992,71.10617325880328,-21.86501550591355,0.36703533041413827,-10.297880635286424,10.664915965700562,8.1274,1.8729,7.9062,1.5917,7.6952,1.3234,7.4668,1.0329,0.0061,0.0023,0.0038,0.0013,0.0036,0.0011,0.0057,0.0019,17.47644,16.745783,16.401695,16.160955
69,2,0.079085,76.1235594281997,-18.71315542993489,0.49488781900095447,-8.733110235286418,9.227998054287372,10.3977,1.2858,10.1738,1.3973,9.9601,1.5038,9.7287,1.619,0.0412,0.008,0.0288,0.0054,0.0483,0.0093,0.0808,0.0158,18.712101,18.441559,18.364727,18.285076
69,1,0.079085,76.119033695372,-18.67883717310202,1.1599678190009541,-10.017300435286419,11.177268254287373,0.9062,nan,2.6859,nan,4.384,nan,6.2222,nan,0.0424,nan,0.2379,nan,0.4661,nan,0.7143,nan,15.891773,15.244189,14.921362,14.718258
69,3,0.079085,76.12872756807623,-18.69552750239949,0.6831678190009569,-8.948446035286414,9.631613854287371,17.21,0.9673,17.4222,1.2947,17.6247,1.607,17.8439,1.9452,0.0075,0.0008,0.0045,0.0005,0.0072,0.0007,0.0125,0.0013,18.194613,17.806879,17.686754,17.588842
72,4,0.03368,97.22345319052988,-69.68528612598803,0.5066837467374885,-9.556606335286421,10.06329008202391,6.7839,2.9271,7.1578,2.876,7.5146,2.8273,7.9008,2.7745,0.068,0.038,0.0433,0.024,0.0455,0.0195,0.0733,0.0296,15.805314,15.323835,15.150673,15.001906
74,2,0.105406,128.6674180043287,15.78626723646112,1.016830246720076,-10.208956635286413,11.225786882006489,10.829,0.9877,10.7234,1.1213,10.6227,1.2488,10.5136,1.3867,0.0412,0.0066,0.0262,0.004,0.0383,0.0062,0.065,0.0108,16.469776,15.821535,15.423527,15.268827
74,3,0.10596,128.6843710942975,15.79049411645369,0.5437434803326564,-7.886801035286416,8.430544515619072,1.6238,2.7485,1.6446,3.5411,1.6644,4.2974,1.6859,5.1161,0.0095,0.0595,0.006,0.0407,0.0081,0.0668,0.0136,0.1121,21.311197,20.942606,20.94583,20.895
74,1,0.106065,128.6624563525526,15.76384033243654,0.3714837736816037,-7.614736735286421,7.9862205089680245,7.5859,1.5323,7.4107,1.6236,7.2435,1.7107,7.0625,1.805,0.0179,0.0066,0.0111,0.004,0.0151,0.0055,0.0258,0.0094,21.614038,21.361298,21.280384,21.49243
74,4,0.231664,128.7059611543737,15.79771320620018,1.3448566826192803,-9.577884635286422,10.922741317905702,21.2967,7.7407,20.9042,7.4248,20.5297,7.1234,20.1243,6.7971,0.1775,0.0342,0.115,0.0217,0.1128,0.0197,0.1755,0.0306,18.656658,18.073141,17.735867,17.557781
75,1,0.029043,129.7108345362294,1.404989034976722,0.7015025307687281,-8.933704035286418,9.635206566055146,22.6987,1.7745,23.3501,1.8346,23.9716,1.892,24.6444,1.9542,0.0258,0.0022,0.0154,0.0013,0.0326,0.0026,0.0575,0.0046,15.820409,15.535272,15.331732,15.283714
75,3,0.029274,129.718088653798,1.399198747685501,0.3053037180740841,-10.119268035286423,10.424571753360507,14.9267,4.7179,12.7453,4.196,10.6638,3.6981,8.4107,3.1591,0.0147,0.0042,0.0092,0.0026,0.0083,0.003,0.0131,0.005,15.415034,14.768035,14.481568,14.314399
75,4,0.029043,129.7310932089061,1.412784557146267,-0.5158974692312697,-9.519186135286414,9.003288666055145,nan,5.9503,0.7743,8.7589,1.3761,nan,2.0275,nan,nan,1.0384,0.0213,0.705,0.0417,nan,0.0685,nan,18.09473,17.605585,17.432274,17.30548
77,1,0.062972,137.1614682167713,30.88936418749903,0.3544745546379673,-9.42811903528642,9.782593589924387,2.0148,5.9743,7.3255,6.1815,0.0,0.0,17.8778,6.5932,0.0155,0.0958,0.6228,0.2688,0.0,0.0,1.8607,0.7575,17.795458,17.32047,,17.017677
77,2,0.06384,137.1623837628655,30.87827335513489,0.49500533776761024,-9.386986435286419,9.881991773054029,7.8405,1.7375,7.8012,1.8725,0.0,0.0,7.7232,2.1408,0.0322,0.0113,0.0334,0.0112,0.0,0.0,0.0902,0.0312,17.490719,17.045723,,16.7442
79,2,0.040148,143.0317518534595,15.99813279206816,0.563547412037785,-9.253566435286421,9.817113847324206,22.1809,0.6324,21.1852,0.7479,20.2351,0.858,19.2066,0.9773,0.0138,0.0013,0.009,0.0008,0.0115,0.0012,0.0188,0.0021,16.530764,16.115381,15.898436,15.826065
79,3,0.040148,143.0456006879086,15.98871735974647,0.49938741203778747,-9.424343435286415,9.923730847324203,38.6036,1.4903,39.5357,1.7927,40.4251,2.0814,41.3878,2.3938,0.0867,0.0035,0.0708,0.0028,0.1195,0.0047,0.1927,0.0077,16.589882,16.117863,15.876922,15.766761
79,4,0.039894,143.0551904226769,15.98970612539843,-0.02852525224766289,-10.230018735286416,10.201493483038753,25.5296,1.6369,24.6064,1.8611,23.7256,2.0751,22.7721,2.3067,0.051,0.0036,0.0373,0.0027,0.06,0.0048,0.0986,0.0078,17.03679,16.360434,16.015526,15.793634
79,1,0.040354,143.0164322817605,16.01371716945271,-0.0875272395957154,-9.224998035286422,9.137470795690707,10.8936,0.4533,11.3167,0.566,11.7203,0.6736,12.1572,0.79,0.019,0.0028,0.0174,0.002,0.0256,0.0035,0.0384,0.0057,18.074522,17.675524,17.55367,17.430355
85,3,0.022012,153.2552584410947,17.03427513335899,0.46533858936050265,-10.50741573528642,10.972754324646923,41.6149,0.9702,40.1949,1.0876,38.84,1.1995,37.3733,1.3207,0.0127,0.0005,0.0087,0.0004,0.0094,0.0004,0.0143,0.0006,14.122334,13.361465,13.001736,12.768292
85,2,0.022,153.2432671688487,17.03079459778517,0.044904942726679664,-9.631553035286416,9.676457978013095,35.1355,0.6009,34.715,0.7188,34.3138,0.8312,33.8795,0.9529,0.0241,0.0013,0.0172,0.0008,0.0234,0.0012,0.0374,0.002,16.12133,15.60005,15.346292,15.218401
85,4,0.022102,153.2742230933507,17.04376906687544,-0.26667726976800665,-9.939858135286418,9.673180865518411,23.6001,0.8746,22.8072,1.0073,22.0506,1.1338,21.2316,1.2708,0.0723,0.0043,0.0446,0.0025,0.061,0.0039,0.1044,0.0068,16.18137,15.634808,15.385349,15.26324
88,2,0.11571,155.93727781519456,33.41405137073238,0.6463613682536753,-9.904263635286421,10.550625003540096,8.974,0.8715,8.9495,0.9161,0.0,0.0,8.9009,1.0046,0.0405,0.0072,0.035,0.0061,0.0,0.0,0.0906,0.017,17.933084,17.329815,-9999.0,16.887453
88,3,0.115493,155.94277343085915,33.41409223936866,0.8504509061879446,-9.87217903528642,10.722629941474365,6.1909,1.5032,6.0263,1.7362,0.0,0.0,5.699,2.1991,0.0071,0.0039,0.0051,0.0028,0.0,0.0,0.0134,0.0077,17.596516,16.990114,-9999.0,16.515423
88,4,0.124611,155.9664835835643,33.40516276013409,0.9119323435526461,-9.817065035286415,10.728997378839061,5.5881,1.1573,5.5705,1.3708,0.0,0.0,5.5356,1.7949,0.0064,0.0034,0.0047,0.0024,0.0,0.0,0.012,0.0063,17.627373,17.01934,-9999.0,16.589272
88,1,0.11571,155.93016937439643,33.42009694413524,0.4105613682536742,-9.066647435286422,9.477208803540096,9.247,0.6491,9.1845,0.8932,0.0,0.0,9.0603,1.3783,0.0068,0.0013,0.0059,0.0011,0.0,0.0,0.0159,0.0033,19.266127,18.916162,-9999.0,18.711586
89,4,0.044971,157.034626533431,31.20686057030345,0.15204467085694517,-9.023816135286417,9.175860806143362,20.8484,0.3751,20.7371,0.4276,0.0,0.0,20.5159,0.5319,0.0203,0.0018,0.0181,0.0015,0.0,0.0,0.0502,0.0047,17.660694,17.372807,,17.217648
89,2,0.044971,157.0207094719814,31.19713507979533,-0.24963532914305375,-8.851348635286417,8.601713306143363,2.5558,4.0499,2.4706,3.9668,0.0,0.0,2.3015,3.8015,0.0223,0.1153,0.0138,0.07,0.0,0.0,0.0327,0.1579,19.333715,19.00075,,18.80425
89,3,0.240906,157.0303310450496,31.22960425904854,1.2170748144076509,-9.502535135286415,10.719609949694066,12.9784,1.2649,12.9335,1.2524,0.0,0.0,12.8443,1.2276,0.0216,0.0033,0.0182,0.0025,0.0,0.0,0.0517,0.0073,19.400349,18.737473,,18.246593
89,1,0.044971,157.0206666929759,31.23020816330698,0.21232467085694395,-9.074575635286417,9.28690030614336,4.6441,1.0212,4.6299,1.0731,0.0,0.0,4.6015,1.1762,0.0159,0.0126,0.0139,0.0106,0.0,0.0,0.0379,0.0288,17.6876,17.313763,,17.133825
90,1,0.111183,160.0979346994472,24.218117062578,0.8412163575420006,-6.914253335286418,7.755469692828418,44.7024,2.4279,41.2282,2.6892,37.9133,2.9386,34.3249,3.2085,0.0926,0.0046,0.0597,0.003,0.0632,0.0036,0.1008,0.0059,20.989477,21.05353,21.040897,21.341967
90,3,0.04348,160.105463817595,24.22891625645232,-0.1733213480892175,-9.623438535286418,9.4501171871972,11.8928,0.4533,11.4146,0.5303,10.9583,0.6038,10.4644,0.6834,0.0423,0.0075,0.0286,0.0043,0.0315,0.005,0.0488,0.0088,17.746649,17.284924,17.129473,16.996399
90,2,0.111183,160.0996401426918,24.23677740509459,0.6611763575419989,-9.376514635286417,10.037690992828416,6.4231,4.752,8.975,4.8768,11.4099,4.9958,14.0456,5.1246,0.0497,0.0304,0.0564,0.0228,0.0935,0.0233,0.1419,0.032,18.367914,17.949503,17.674057,17.598953
90,4,0.043596,160.1178137831449,24.23412248992252,0.6251128689029493,-10.099088035286414,10.724200904189363,5.5287,0.6178,5.337,0.7576,5.154,0.891,4.956,1.0355,0.0067,0.0038,0.0045,0.0025,0.0055,0.0032,0.0087,0.0054,15.786215,15.141283,14.806349,14.592696
91,1,0.022068,161.0694624321164,2.787771575071178,-0.1371344683463267,-10.192978935286419,10.055844466940092,14.5551,2.2223,14.0642,2.5248,13.5959,2.8134,13.0889,3.1258,0.0109,0.0021,0.0063,0.0011,0.0091,0.0018,0.0162,0.0032,15.746013,15.11118,14.814787,14.637103
91,4,0.021862,161.0886590441903,2.793372537284227,-0.07196063898478045,-10.53066453528642,10.458703896301639,5.8679,8.9483,5.1188,8.2599,4.4041,7.6029,3.6304,6.8918,0.03,0.0492,0.0189,0.0317,0.0156,0.0326,0.0238,0.0517,15.725802,14.946304,14.524871,14.2506
91,3,0.101,161.0837845321902,2.805499092512202,1.1245423286475518,-9.463979935286421,10.588522263933973,10.0695,0.9339,9.5703,1.2187,9.094,1.4905,8.5784,1.7847,0.0096,0.0019,0.0068,0.0015,0.0104,0.0025,0.0169,0.0042,16.964914,16.555971,16.282274,16.12953
93,3,0.036855,161.8018864878908,-2.332915819015037,0.5018124121537948,-9.492355835286412,9.994168247440207,nan,2.7837,nan,1.8864,nan,1.0302,nan,0.1033,nan,0.5594,nan,0.7509,nan,1.5299,nan,2.4406,16.149565,15.680681,15.449903,15.354948
93,2,0.0715,161.7988142070167,-2.311209411369505,0.6970316646844257,-9.67461973528642,10.371651399970846,17.002,0.6564,17.0367,0.8144,17.0698,0.9651,17.1057,1.1283,0.012,0.0012,0.0104,0.0008,0.0158,0.0014,0.0245,0.0024,16.905487,16.394823,16.142326,16.016113
96,4,0.028677,165.3026356518377,16.72426358807883,0.5377270137353758,-9.94940653528642,10.487133549021795,39.5345,0.9795,37.9,1.0567,36.3405,1.1304,34.6523,1.2102,0.0429,0.0015,0.0294,0.001,0.0314,0.0011,0.0478,0.0018,15.166783,14.552238,14.258355,14.083277
96,2,0.028677,165.2834657745998,16.73486998596282,-0.5065529862646247,-9.09932453528642,8.592771549021796,27.0581,1.2497,26.3927,1.1849,25.7579,1.123,25.0706,1.0561,0.3131,0.0153,0.2032,0.0094,0.2779,0.0138,0.464,0.0238,18.39362,18.056967,17.917046,17.858866
96,3,0.028677,165.2900877920556,16.75221064756445,-0.614272986264627,-9.291373435286424,8.677100449021797,3.8529,1.5363,4.703,1.4557,5.5142,1.3788,6.3922,1.2955,0.0103,0.0055,0.0064,0.0034,0.0089,0.0039,0.0151,0.0066,18.722235,18.31777,18.047005,17.991322
97,3,0.109589,167.5261035286813,-1.021252338016023,0.7246735091043224,-9.347693935286419,10.072367444390741,4.9786,1.4321,4.8736,1.406,4.7734,1.381,4.665,1.354,0.0106,0.008,0.0071,0.0049,0.0079,0.005,0.0125,0.0085,18.434025,18.088062,17.592411,17.598097
97,1,0.1085,167.5127542218795,-1.005626684312333,0.595639057451363,-10.292793035286415,10.888432092737778,7.0635,1.4255,6.688,1.6471,6.3298,1.8585,5.942,2.0873,0.0155,0.0064,0.0098,0.0037,0.0108,0.0044,0.0176,0.0078,17.825687,17.092108,16.68128,16.46121
97,4,0.109589,167.5390798010606,-1.013468111430023,0.7601535091043221,-10.157816635286418,10.91797014439074,10.9604,1.1703,10.7793,1.5688,10.6064,1.949,10.4193,2.3606,0.0175,0.0035,0.0107,0.0022,0.0169,0.0037,0.0293,0.0063,17.390486,16.722864,16.353657,16.165297
97,2,0.109852,167.5168502117463,-1.004677110111772,0.9238355175426527,-7.286656935286414,8.210492452829067,3.5769,1.0193,3.2702,1.2238,2.9776,1.4189,2.6608,1.6302,0.0074,0.0109,0.0054,0.0052,0.0055,0.0074,0.0077,0.0145,20.895243,20.637318,20.69118,20.858833
98,4,0.033857,168.0198611603887,29.40156252050033,-0.19876347186610488,-9.092635635286419,8.893872163420314,15.9862,0.6852,15.5081,0.7367,15.052,0.7858,14.5582,0.839,0.0186,0.0019,0.0122,0.0012,0.0148,0.0016,0.0241,0.0027,18.091887,17.73152,17.606184,17.524244
98,1,0.033857,167.9824744936344,29.43309680026038,-0.270403471866107,-9.01595393528642,8.745550463420313,9.9553,1.1846,10.0064,1.5317,10.055,1.8628,10.1077,2.2213,0.0344,0.0081,0.0301,0.0072,0.0503,0.012,0.0799,0.019,18.388521,18.105814,17.862917,17.847849
98,3,0.048454,168.002160282404,29.40591666699664,-0.03508114897300274,-10.163303035286422,10.128221886313419,20.9131,1.1003,19.8567,1.2097,18.8488,1.314,17.7577,1.427,0.0208,0.0016,0.0126,0.0009,0.017,0.0013,0.0292,0.0024,17.573761,16.866966,16.55725,16.355448
98,2,0.028823,167.9983969039964,29.42771908085983,0.09037794456138215,-9.702905635286418,9.7932835798478,13.9057,1.0691,13.7937,1.0607,13.6868,1.0527,13.5711,1.044,0.0317,0.0042,0.0218,0.0024,0.033,0.0038,0.0546,0.0067,16.50601,15.972619,15.709826,15.570295
100,4,0.024726,169.5322157319099,30.52027717707466,-0.44987268910126943,-8.94781853528642,8.49794584618515,23.2871,0.8515,23.2014,0.9252,0.0,0.0,23.0313,1.0715,0.0344,0.0025,0.0334,0.0022,0.0,0.0,0.08,0.0058,18.10281,17.797995,,17.642956
100,2,0.024726,169.5035696181568,30.54045052288772,-0.563272689101268,-9.599344735286415,9.036072046185147,5.2821,1.0314,5.3669,1.1396,0.0,0.0,5.5356,1.3546,0.0056,0.0037,0.0043,0.0025,0.0,0.0,0.0106,0.0064,17.851923,17.354298,,16.994095
100,1,0.060382,169.4989741521495,30.5481299308621,0.34727456873065066,-9.442838135286415,9.790112704017066,5.7055,1.201,5.4126,1.3838,0.0,0.0,4.8304,1.7468,0.0059,0.0033,0.0045,0.0025,0.0,0.0,0.0095,0.0066,17.52989,17.09738,,16.80868
100,3,0.082091,169.5256052218398,30.53044278003313,0.5704906732848372,-9.79608583528642,10.366576508571256,4.1013,1.9262,4.1817,2.1014,0.0,0.0,4.3415,2.4493,0.0074,0.0093,0.0077,0.0085,0.0,0.0,0.0209,0.023,17.783167,17.155144,,16.688322
101,1,0.06271,169.9182950321516,-6.517915002121144,0.4172131826329668,-9.397570035286416,9.814783217919382,44.057,1.3508,42.4314,1.4026,40.8804,1.4521,39.2014,1.5057,0.212,0.0068,0.1479,0.0047,0.231,0.0079,0.3824,0.0133,17.82643,17.40734,17.089596,17.004831
101,2,0.06271,169.9192724902598,-6.499577417439074,0.6352531826329688,-9.547864535286415,10.183117717919384,13.1701,0.4926,13.144,0.5618,13.119,0.6278,13.092,0.6992,0.0066,0.001,0.0047,0.0006,0.0062,0.0009,0.0097,0.0015,17.22172,16.686792,16.42431,16.285166
101,3,0.06271,169.9204890712538,-6.494103278591494,0.6470931826329647,-10.013793735286418,10.660886917919383,12.6796,0.4983,12.498,0.6132,12.3247,0.7227,12.1371,0.8413,0.0112,0.0018,0.0082,0.0011,0.0111,0.0017,0.0175,0.003,16.719824,16.059267,15.73544,15.531442
101,4,0.06271,169.9230100629089,-6.524597047655746,0.5770531826329695,-9.080511135286413,9.657564317919382,19.6847,1.6022,18.6867,1.8275,17.7344,2.0424,16.7036,2.2751,0.0193,0.0021,0.0133,0.0013,0.0165,0.0018,0.0262,0.0031,17.966656,17.52036,17.337097,17.236992
104,4,0.062177,171.9805246572288,-0.4725503499350716,0.14739910865239558,-9.825002635286415,9.97240174393881,2.2174,1.6398,2.2595,1.7597,2.2997,1.8742,2.3432,1.998,0.0093,0.0283,0.0068,0.0192,0.0095,0.03,0.015,0.0502,17.779879,17.214668,16.984272,16.825178
104,2,0.062384,171.9601366068491,-0.4511256666447173,0.2945260167700887,-8.824254635286417,9.118780652056506,0.6495,0.8107,2.5443,0.5725,4.3523,0.3453,6.3094,0.0993,0.0084,0.0229,0.0055,0.0142,0.0071,0.007,0.0117,0.0074,18.636217,18.302359,18.239895,18.148764
105,3,0.06886,172.9441519508484,15.38917229504831,0.5691136178195748,-9.960206835286417,10.529320453105992,18.8629,0.9308,18.2403,1.0497,17.6463,1.1631,17.0033,1.2859,0.0217,0.0019,0.0066,0.0006,0.0173,0.0016,0.0361,0.0033,17.072231,16.436085,16.133318,15.94918
105,4,0.06899,172.9538411941126,15.40681461877469,0.305671870975452,-10.335705035286423,10.641376906261875,11.6227,1.8257,10.527,1.6537,9.4816,1.4896,8.35,1.312,0.0118,0.003,0.0047,0.0011,0.0079,0.002,0.0166,0.0044,17.268894,16.538145,16.23928,15.973949
105,1,0.068909,172.9370271128429,15.40902920537789,0.48557147613343865,-9.526375435286417,10.011946911419855,7.1227,1.0428,6.7126,1.1345,6.3212,1.2219,5.8976,1.3166,0.0047,0.0021,0.0015,0.0006,0.0032,0.0015,0.007,0.0033,22.462614,20.745237,20.191837,19.850325
105,2,0.06886,172.9413327306714,15.41778817790734,0.75347361781958,-9.398591435286411,10.152065053105991,16.1241,2.3707,15.541,2.3014,14.9847,2.2353,14.3825,2.1638,0.05,0.0072,0.015,0.0022,0.0391,0.0056,0.0823,0.0118,16.98462,16.547512,16.376938,16.236387
107,1,0.063601,174.1514731471739,21.6788836727322,1.0324274693309121,-9.617903235286413,10.650330704617325,13.5894,0.5617,13.3773,0.9139,13.1749,1.2501,12.9558,1.6139,0.0116,0.0014,0.0108,0.0012,0.0172,0.0022,0.0267,0.0036,16.408628,15.824814,15.554688,15.354145
107,2,0.06264,174.1568297133209,21.69064871524099,0.7062030791820426,-6.198764435286414,6.904967514468456,53.0218,2.0532,56.6014,2.6956,60.0168,3.3085,63.7139,3.9721,0.2135,0.0073,0.1685,0.0055,0.2899,0.0091,0.473,0.0149,20.664785,20.642427,20.830008,21.455462
107,3,0.063183,174.1685202200961,21.69989212707423,0.3184200667819095,-7.222365235286414,7.540785302068324,13.5211,0.9997,13.6766,1.1558,13.8249,1.3048,13.9855,1.4661,0.0672,0.0082,0.044,0.0051,0.0683,0.0078,0.1156,0.0135,22.156658,21.879541,22.013723,21.833635
107,4,0.025207,174.1896907042591,21.710033858281,0.2361819038533497,-10.088260935286415,10.324442839139765,14.9802,1.1485,14.7336,1.3215,14.4983,1.4866,14.2436,1.6653,0.0334,0.0044,0.0242,0.0031,0.0378,0.0049,0.0619,0.008,15.517506,14.874691,14.553843,14.352524
108,1,0.118659,174.24678039408,12.44827886776981,1.000700949073135,-9.73998973528642,10.740690684359555,3.6548,1.9601,3.7159,1.9483,3.7743,1.9371,3.8374,1.925,0.0038,0.0072,0.0028,0.004,0.0037,0.0052,0.0059,0.0095,17.37456,16.822659,16.517056,16.379114
108,2,0.118659,174.2546993891416,12.45710497774324,0.805020949073139,-10.107398935286417,10.912419884359556,16.043,0.6712,15.1122,0.8686,14.224,1.057,13.2626,1.2609,0.018,0.0023,0.0119,0.0014,0.0145,0.0021,0.0234,0.0036,17.867785,17.15762,16.755955,16.536867
108,4,0.118659,174.2654179415284,12.45811032280742,0.8553009490731398,-8.788474335286416,9.643775284359556,8.1122,0.6621,7.85,0.8389,7.5997,1.0075,7.3288,1.19,0.0157,0.004,0.014,0.0033,0.0215,0.0062,0.0332,0.0102,18.59551,18.36406,18.115534,18.153278
108,3,0.117315,174.2605911844514,12.45932558946077,1.1082066709696132,-9.097432335286419,10.205639006256032,9.7677,1.7087,9.3286,2.0371,8.9098,2.3504,8.4563,2.6896,0.0186,0.0048,0.0118,0.0032,0.0173,0.0053,0.0294,0.009,17.644472,17.35494,17.009775,17.028292
112,2,0.032261,179.0601589568412,25.35415458397431,-0.13966476858674604,-9.532942335286416,9.39327756669967,21.7753,0.5907,21.4169,0.7773,21.0749,0.9554,20.7047,1.1481,0.0158,0.0017,0.011,0.0009,0.0178,0.0016,0.0298,0.003,17.231037,16.78926,16.566483,16.484297
112,1,0.032261,179.0536781221025,25.37739731079984,-0.7284247685867467,-7.972728135286415,7.244303366699668,nan,3.0613,nan,2.3969,nan,1.763,nan,1.0769,nan,0.5335,nan,0.3972,nan,0.6473,nan,1.0596,20.078197,20.21392,20.052935,20.249739
113,1,0.08939,179.1824473723358,22.49848049142986,0.602157455637613,-9.366610235286418,9.96876769092403,6.3863,1.3651,6.0929,1.3935,5.8129,1.4207,5.5099,1.45,0.012,0.0068,0.0076,0.0043,0.0093,0.0055,0.0155,0.0093,17.746485,17.367786,17.152142,17.093884
113,2,0.08939,179.184889270458,22.50433755604412,0.3171174556376144,-7.455034035286415,7.7721514909240295,9.6849,0.5476,9.9015,0.6252,10.1081,0.6993,10.3318,0.7795,0.0154,0.0042,0.0139,0.0032,0.0236,0.0055,0.0373,0.0092,21.891356,21.727165,21.549973,21.728453
113,4,0.08939,179.1949307790319,22.4979081304064,0.423077455637614,-9.504613835286417,9.927691290924031,10.9688,2.1127,11.5758,2.3493,12.1549,2.5749,12.7818,2.8192,0.0392,0.0094,0.0311,0.0069,0.0533,0.0108,0.0869,0.0177,18.331064,17.846533,17.633516,17.503231
117,4,0.075773,184.4438776336825,20.75444358665416,0.43528854538324957,-10.597139035286418,11.032427580669667,9.8838,1.5902,9.7642,1.904,9.65,2.2034,9.5264,2.5275,0.0118,0.0032,0.0075,0.002,0.0096,0.0026,0.0161,0.0045,16.793196,15.983173,15.636441,15.389783
117,1,0.075773,184.4295267561779,20.74184531738134,0.10472854538325116,-10.223986335286414,10.328714880669665,9.2829,0.8007,9.0822,0.9283,8.8907,1.05,8.6835,1.1818,0.0161,0.0035,0.0107,0.0023,0.0136,0.0031,0.0223,0.0053,18.515207,17.828012,17.283485,17.125347
117,2,0.123136,184.4356191549969,20.74147848383586,0.8728296644536311,-9.831605735286418,10.70443539974005,6.5754,1.1988,5.987,1.3271,5.4256,1.4496,4.8179,1.5821,0.0187,0.0087,0.0121,0.0059,0.0108,0.0067,0.0163,0.0105,17.896608,17.280693,16.93564,16.77353
117,3,0.121928,184.4396815873358,20.7374576257228,1.4467464812300115,-8.551299335286418,9.998045816516429,7.075,0.5066,6.9548,0.4794,6.84,0.4534,6.7159,0.4253,0.007,0.003,0.0045,0.0019,0.0055,0.0024,0.0091,0.0039,17.936834,17.724228,17.342638,17.433516
