Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,zmemb,gmemb,FUV,NUV,m_i_corrected,m_g_corrected,m_r_corrected,m_z_corrected,FUV_corrected,NUV_corrected
134,2,835,198.5742331190466,17.21775436042278,SER,0.56026986946779,682.9,0.0092,575.5193,0.0138,18.1536,0.0401,18.2341,0.0019,0.8705,0.0041,0.2527,0.0004,-33.898,0.0363,682.9,0.0092,575.5193,0.0138,18.4461,0.0281,17.9871,0.0017,0.9342,0.0026,0.2527,0.0004,-33.898,0.0363,682.9,0.0092,575.5193,0.0138,18.7252,0.0396,17.8889,0.002,0.995,0.0036,0.2527,0.0004,-33.898,0.0363,682.9,0.0092,575.5193,0.0138,19.0273,0.0642,17.805,0.0031,1.0608,0.0061,0.2527,0.0004,-33.898,0.0363,429116,1986p172,835,0.021509081,53.103638,65.713165,70.50727,74.70589,1.4078261,1.2652613,1.2943207,1.0496927,1.2324319,44816.008,5.2181993,24885.918,0.22332424,1089849.2,-0.5530886,1796289.4,18.18719,17.95587,17.879416,17.816612,18.862082,21.572977,16.443686,,0.23131943,0.07645416,0.13925743,0.06280327,0.072724,,19.6311,19.2439,17.738164004678833,18.17291685487516,17.979627803431327,17.79001521288968,19.60513359742881,19.24412422471436
134,1,589,198.5664910171698,17.23412448667367,SER,0.56026986946779,784.4081,0.002,799.9951,0.0029,13.8495,0.0119,16.8928,0.0008,0.9874,0.0016,0.6210,0.0003,-31.2879,0.0424,784.4081,0.002,799.9951,0.0029,13.6064,0.0076,16.4556,0.0006,1.1842,0.0011,0.6210,0.0003,-31.2879,0.0424,784.4081,0.002,799.9951,0.0029,13.3746,0.01,16.2869,0.0007,1.372,0.0014,0.6210,0.0003,-31.2879,0.0424,784.4081,0.002,799.9951,0.0029,13.1236,0.0167,16.1788,0.001,1.5754,0.0023,0.6210,0.0003,-31.2879,0.0424,429116,1986p172,589,0.021430343,175.45403,263.7787,308.70953,349.98285,1.4325309,1.2764472,1.2236127,1.0437868,1.3983822,418210.66,3.708606,468733.9,0.11354824,6472157.5,-0.21182376,9632297.0,16.889591,16.446901,16.276125,16.139883,16.46434,16.864305,14.554892,13.709966,0.4426899,0.17077637,0.30701828,0.13624191,0.072823,,18.7741,18.3593,16.20442117448802,16.927013867040554,16.477650066688867,16.121894768058848,18.74972325786489,18.3466349511801
134,4,922,198.577428067335,17.2472186772797,SER,0.56026986946779,640.139,0.0026,978.7664,0.0037,4.9346,0.0141,18.5624,0.0021,1.6867,0.0121,0.5140,0.0011,-21.0466,0.1067,640.139,0.0026,978.7664,0.0037,4.898,0.0094,18.2954,0.0016,1.6788,0.0077,0.5140,0.0011,-21.0466,0.1067,640.139,0.0026,978.7664,0.0037,4.8631,0.0109,18.1618,0.0018,1.6711,0.008,0.5140,0.0011,-21.0466,0.1067,640.139,0.0026,978.7664,0.0037,4.8252,0.0174,18.1203,0.0028,1.6629,0.0129,0.5140,0.0011,-21.0466,0.1067,429116,1986p172,922,0.021509185,36.470963,46.08885,50.889427,54.220894,1.4325309,1.265414,1.2236127,1.0437868,1.7218423,17762.236,1.3671952,501574.66,0.23630859,922092.0,-0.22996922,834832.3,18.595133,18.341011,18.23343,18.164583,19.388653,19.890276,17.100462,14.316673,0.25412178,0.10758018,0.17642784,0.068847656,0.072724,,19.6725,19.7997,18.10426060511044,18.584033784702186,18.36456254185658,18.13826063518535,19.62351010650991,19.795089839964252
136,2,3581,199.7180952974456,33.54017601633738,SER,0.442688347386813,735.4708,0.0062,615.9922,0.0099,27.1364,0.0446,16.8138,0.0014,1.2708,0.0028,0.5704,0.0003,0.1631,0.0603,735.4708,0.0062,615.9922,0.0099,26.4535,0.0359,16.3562,0.0012,1.4187,0.0022,0.5704,0.0003,0.1631,0.0603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4708,0.0062,615.9922,0.0099,25.0965,0.095,16.1156,0.0031,1.7126,0.0062,0.5704,0.0003,0.1631,0.0603,513549,1995p335,3581,0.015391,181.05786,284.09314,-9999.0,354.3654,1.670774,2.174812,-9999.0,1.147718,1.571423,28217.455,7.216793,16211.402,0.273479,1127202.1,-0.004122,448646.8,16.855457,16.366348,-9999.0,16.126371,16.656376,17.269478,16.234442,17.648268,0.489109,-9999.0,0.239977,-9999.0,0.038,,18.8518,18.5336,-44321845804.78772,16.89117588803106,16.399313136226688,16.12579458679837,18.828553023589436,18.537569879949164
136,1,3354,199.69845439834071,33.531047083861154,SER,0.442688347386813,960.2828,0.007,490.6696,0.0065,15.7206,0.0312,17.3816,0.0019,1.05,0.0035,0.8395,0.0009,51.826,0.2842,960.2828,0.007,490.6696,0.0065,15.3705,0.0234,16.7514,0.0014,1.258,0.0026,0.8395,0.0009,51.826,0.2842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.2828,0.007,490.6696,0.0065,14.6749,0.0602,16.2909,0.0032,1.6713,0.0072,0.8395,0.0009,51.826,0.2842,513549,1995p335,3354,0.015061,113.552414,212.65498,-9999.0,337.46188,1.670774,2.174812,-9999.0,1.274527,1.757385,22944.4,4.586982,33173.55,-0.02499,391100.62,0.074489,1036057.75,17.36201,16.68081,-9999.0,16.179438,16.3967,16.756325,15.567822,13.717869,0.681198,-9999.0,0.501373,-9999.0,0.104214,,19.9382,19.4749,-105767550560.64992,17.501588598419108,16.727451106894346,16.16928609116476,19.922791034607805,19.452101594124013
136,4,135,199.74309558348392,33.55986181720765,SER,0.442688347386813,450.0137,0.0308,886.5883,0.008,24.3132,0.0836,18.4692,0.003,0.9508,0.0064,0.1675,0.0005,-79.1263,0.0406,450.0137,0.0308,886.5883,0.008,23.918,0.0722,18.0607,0.0028,1.0529,0.005,0.1675,0.0005,-79.1263,0.0406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0137,0.0308,886.5883,0.008,23.1329,0.1952,17.8592,0.0071,1.2556,0.0148,0.1675,0.0005,-79.1263,0.0406,513550,1998p335,135,0.016017,38.0787,56.659992,-9999.0,71.82568,1.653914,2.154167,-9999.0,1.126152,1.144624,5362.874,5.962275,18543.104,-0.65099,239062.08,-0.258489,181092.17,18.548294,18.116808,-9999.0,17.8593,18.66855,19.25306,,,0.431486,-9999.0,0.257507,-9999.0,0.038,,20.0335,20.0162,-44344323640.831795,18.57214916091678,18.14866606013916,17.857895219650214,20.00423245056433,20.021341753446013
136,3,3707,199.72991145262432,33.55064241419952,EXP,0.442688347386813,600.8084,0.0065,760.9338,0.0083,12.1073,0.0163,17.6633,0.0013,0.709,0.0021,0.7668,0.0006,-25.5362,0.1638,600.8084,0.0065,760.9338,0.0083,12.2251,0.0156,17.2819,0.0013,0.8159,0.0018,0.7668,0.0006,-25.5362,0.1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.8084,0.0065,760.9338,0.0083,12.4592,0.0404,17.0334,0.003,1.0285,0.0053,0.7668,0.0006,-25.5362,0.1638,513549,1995p335,3707,0.015647,80.5136,112.98431,-9999.0,146.99269,1.670774,2.174812,-9999.0,1.147718,1.0,0.0,3.262994,23774.5,0.056711,349597.72,-0.066171,319924.3,17.735327,17.367455,-9999.0,17.08176,17.698835,18.195332,16.369196,14.839551,0.367872,-9999.0,0.285694,-9999.0,0.038,,19.194,18.9237,-44333527950.42391,17.746065872986772,17.398439043262037,17.07966757824738,19.169673637345696,18.932583439477398
137,1,3636,200.17086135587132,34.1842683882709,SER,0.485042254236773,1081.7545,0.0016,506.9901,0.0014,9.7686,0.0104,16.6467,0.0008,2.0497,0.0036,0.7674,0.0005,-64.7116,0.0792,1081.7545,0.0016,506.9901,0.0014,9.3142,0.0065,15.983,0.0005,2.3019,0.0023,0.7674,0.0005,-64.7116,0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.7545,0.0016,506.9901,0.0014,8.4114,0.0155,15.5011,0.0011,2.803,0.0059,0.7674,0.0005,-64.7116,0.0792,517145,2000p342,3636,0.012439,195.5138,381.94125,-9999.0,627.62573,1.759958,2.072596,-9999.0,1.140605,2.745594,39993.527,2.359858,283302.0,-0.093112,2428473.0,-0.110628,2646723.5,16.772057,16.045008,-9999.0,15.505748,15.719001,16.205618,15.124785,14.367474,0.727049,-9999.0,0.53926,-9999.0,0.064273,,19.0089,18.6574,-71097239652.50137,16.897767521022462,16.098504165766897,15.515088762675,18.981139821689965,18.652033084447357
137,4,445,200.2378506358787,34.213770765981145,SER,0.485042254236773,320.1501,0.0043,912.0362,0.0043,22.322,0.0366,16.873,0.0014,1.2496,0.003,0.8073,0.0006,48.6991,0.1453,320.1501,0.0043,912.0362,0.0043,21.9885,0.0268,16.1051,0.001,1.6187,0.0023,0.8073,0.0006,48.6991,0.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.1501,0.0043,912.0362,0.0043,21.3258,0.071,15.567,0.0023,2.3521,0.0065,0.8073,0.0006,48.6991,0.1453,517146,2003p342,445,0.012232,160.69014,358.28555,-9999.0,612.6444,1.882613,2.193709,-9999.0,1.165679,2.0,21059.79,6.234787,25763.277,-0.023466,775192.2,0.123577,1808218.2,16.985027,16.114428,-9999.0,15.531979,16.092165,16.61984,16.146267,,0.8706,-9999.0,0.582449,-9999.0,0.111414,,19.2204,19.0088,-111225463337.35121,17.22782923209129,16.196350152070867,15.540528966720625,19.182759374522348,18.98651141907175
137,3,202,200.21617584878547,34.1991582168923,SER,0.485042254236773,566.6321,0.0022,711.1957,0.0026,15.592,0.0372,16.9343,0.0016,2.6118,0.0068,0.7971,0.0007,28.0765,0.1284,566.6321,0.0022,711.1957,0.0026,14.6523,0.024,16.135,0.001,2.8,0.004,0.7971,0.0007,28.0765,0.1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.6321,0.0022,711.1957,0.0026,12.7852,0.0456,15.6,0.0021,3.1739,0.0093,0.7971,0.0007,28.0765,0.1284,517146,2003p342,202,0.01237,139.29146,322.40775,-9999.0,576.37054,1.882613,2.193709,-9999.0,1.165679,3.356637,34821.152,3.6778,78527.6,0.050129,1256876.8,0.097197,1869843.5,17.140188,16.228987,-9999.0,15.598246,15.673409,16.094759,15.232131,15.159389,0.911201,-9999.0,0.630741,-9999.0,0.118531,,20.075,19.5292,-116404416557.03139,17.412234003050482,16.31965584392933,15.612181742804768,20.072078932187807,19.527511591733976
137,2,3903,200.1958442921871,34.19269709677002,SER,0.485042254236773,797.6491,0.0035,622.4755,0.0022,13.9778,0.0124,16.9079,0.0008,1.2139,0.0021,0.5010,0.0002,84.9794,0.0324,797.6491,0.0035,622.4755,0.0022,13.1602,0.0083,16.2601,0.0006,1.4264,0.0015,0.5010,0.0002,84.9794,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.6491,0.0035,622.4755,0.0022,11.5355,0.019,15.8008,0.0012,1.8487,0.0038,0.5010,0.0002,84.9794,0.0324,517145,2000p342,3903,0.012382,158.04654,308.1023,-9999.0,505.6391,1.759958,2.072596,-9999.0,1.172355,1.946174,79717.89,3.448344,158075.6,-0.33458,3158003.8,0.069614,2130802.8,17.003038,16.278263,-9999.0,15.740398,15.797664,16.227562,14.219812,13.848874,0.724775,-9999.0,0.537865,-9999.0,0.064619,,19.4901,19.0109,-71433725217.5135,17.128711301995136,16.33174564245532,15.749513235802038,19.468647449237537,19.007464296182313
138,1,5912,202.0120587996652,31.95877025435776,DUP,0.512959626963571,763.5511,0.0013,951.4876,0.0038,42.7434,0.0214,15.1788,0.0004,1.4173,0.0009,0.2856,0.0001,11.9503,0.0061,763.5511,0.0013,951.4876,0.0038,43.1603,0.0148,14.3026,0.0003,1.5665,0.0006,0.2856,0.0001,11.9503,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.5511,0.0013,951.4876,0.0038,43.9888,0.0266,13.6176,0.0004,1.863,0.001,0.2856,0.0001,11.9503,0.0061,506276,2019p320,5912,0.011682809,0.0,0.0,0.0,0.0,1.3391622,1.1382307,0.0,1.4507726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.038434,,20.186,19.0856,nan,nan,nan,nan,20.185784211428047,nan
138,4,5294,202.0280164716707,31.93186678820862,SER,0.512959626963571,577.1061,0.0063,582.1682,0.0108,42.9874,0.0617,16.0467,0.0011,1.657,0.0023,0.2452,0.0002,30.1893,0.0155,577.1061,0.0063,582.1682,0.0108,44.3584,0.0457,15.5666,0.0009,1.5698,0.0015,0.2452,0.0002,30.1893,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.1061,0.0063,582.1682,0.0108,47.0825,0.0952,15.1919,0.0017,1.3965,0.0029,0.2452,0.0002,30.1893,0.0155,506276,2019p320,5294,0.011687716,384.23215,594.61224,0.0,795.8426,1.3391622,1.2390944,0.0,1.5337019,1.6490372,166485.05,12.139035,294360.38,0.30670702,7266532.0,0.5295661,9965135.0,16.038515,15.564415,,15.247932,15.892514,16.588652,15.919072,19.454277,0.4741001,,0.31648254,,0.015757,,18.9578,18.4032,nan,16.050061021090034,15.581891878701654,15.251627805785493,18.948328279454092,18.411134009268096
138,2,5053,202.0160490512872,31.91353145504701,EXP,0.512959626963571,716.7109,0.0089,329.8447,0.0037,10.9376,0.0179,18.1668,0.0014,0.8521,0.0039,0.3004,0.0004,80.0232,0.0414,716.7109,0.0089,329.8447,0.0037,10.8441,0.0143,17.6267,0.0012,0.9316,0.0025,0.3004,0.0004,80.0232,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.7109,0.0089,329.8447,0.0037,10.6583,0.0317,17.2585,0.0023,1.0894,0.0068,0.3004,0.0004,80.0232,0.0414,506276,2019p320,5053,0.011709016,53.86627,88.141426,0.0,123.65427,1.4193975,1.1574275,0.0,1.4637246,1.0,0.0,2.8535388,78005.75,-0.49866918,1243893.0,0.1846839,928087.8,18.171707,17.63705,,17.269478,17.579828,18.125988,16.404737,13.955445,0.5346565,,0.36757278,,0.063712,,20.1708,20.1924,nan,18.238342683696402,17.6767394624949,17.263212931069575,20.12838760728003,20.186526796499763
