brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
498763,1694p305,4188,SER,169.5035696181568,30.54045052288772,0.014548471,72.31535,114.36189,0.0,159.35373,1.4057028,1.2538178,0.0,1.2686942,1.4079127,26305.074,1.6162198,851315.8,-0.2561771,1597709.5,-0.3396698,1633861.2,17.851923,17.354298,inf,16.994095,18.166294,18.491636,19.852488,12.780205,0.49762535,inf,0.3602028,inf,169.5037917,30.54075,100,2,11 18 00.91,+30 32 26.7,0.024726,,19.8092,19.5097,Simbad,1.2792498731094184
498763,1694p305,4069,SER,169.4989741521495,30.5481299308621,0.014530996,97.28462,144.8932,0.0,189.02902,1.4695199,1.3559822,0.0,1.3453976,1.33274,46357.004,7.9662714,182348.98,0.6858819,3897136.8,-0.05408219,1812713.4,17.52989,17.09738,inf,16.80868,17.222569,17.63621,16.572151,16.761866,0.43251038,inf,0.2887001,inf,169.4995833,30.5485278,100,1,11 17 59.90,+30 32 54.7,0.060382,,19.7228,19.1721,Simbad,2.370275444147784
498763,1694p305,4678,REX,169.5256052218398,30.53044278003313,0.014795836,77.043,137.38594,0.0,211.18898,1.5555203,1.2653592,0.0,1.2781934,1.0,0.0,1.2943795,1027003.2,0.0,0.0,0.0,0.0,17.783167,17.155144,inf,16.688322,16.909985,17.313276,15.592227,17.776638,0.62802315,inf,0.46682167,inf,169.525,30.5303611,100,3,11 18 06.00,+30 31 49.3,0.082091,,19.8578,19.281,Simbad,1.8996256295325369
498763,1694p305,4833,SER,169.5322157319099,30.52027717707466,0.014950767,57.395298,75.997955,0.0,87.6633,1.5807573,1.2982147,0.0,1.3367754,2.1493857,8593.57,1.0488007,443522.5,0.05277352,688072.56,0.065597706,747352.0,18.10281,17.797995,inf,17.642956,18.119637,18.568872,16.519602,14.041174,0.3048153,inf,0.15503883,inf,169.5322917,30.5202778,100,4,11 18 07.75,+30 31 13.0,0.0,,19.535,19.2262,Simbad,0.2356042919806811
293663,1698m065,6233,SER,169.9192724902598,-6.499577417439074,0.04717409,129.21477,211.48677,269.3244,306.14944,1.3278244,1.2506487,1.4266316,1.2476238,0.5833788,775077.3,3.4684744,421615.94,0.02285877,4865938.5,0.36591184,10202859.0,17.22172,16.686792,16.42431,16.285166,16.469078,16.921541,14.736961,13.927801,0.53492737,0.2624817,0.4016266,0.1391449,169.919375,-6.4993889,101,2,11 19 40.65,-06 29 57.8,0.0,,19.5155,18.5343,Simbad,0.7713786973958279
293663,1698m065,6211,SER,169.9182950321516,-6.517915002121144,0.04648475,74.0335,108.90923,145.93587,157.78554,1.381707,1.2492542,1.4266316,1.2476238,0.66169107,153175.27,3.2634206,149093.88,-0.12385409,1752351.2,0.4333044,3144217.0,17.82643,17.40734,17.089596,17.004831,17.045612,17.364826,15.104412,12.454826,0.41909027,0.3177433,0.40250778,0.08476448,169.9184167,-6.5179444,101,1,11 19 40.42,-06 31 04.6,0.0,,20.0497,19.0794,Simbad,0.4478573101092387
293663,1698m065,6263,SER,169.9204890712538,-6.494103278591494,0.047331728,205.14955,376.95847,507.95343,612.9477,1.3278244,1.2506487,1.4266316,1.2476238,1.9394013,310297.28,4.8051825,178503.33,0.31979284,9625532.0,0.21155675,7572019.0,16.719824,16.059267,15.73544,15.531442,15.670079,16.100027,13.986655,13.386642,0.6605568,0.3238268,0.52782536,0.20399857,169.9207917,-6.4936389,101,3,11 19 40.99,-06 29 37.1,0.06271,,18.8124,18.5047,Simbad,1.9916174455742972
293663,1698m065,6339,SER,169.9230100629089,-6.524597047655746,0.04634477,65.0635,98.14214,116.18795,127.40989,1.381707,1.2492542,1.4266316,1.3160183,1.3616607,18132.668,9.726747,17666.088,0.27043968,370412.5,0.047280304,147908.36,17.966656,17.52036,17.337097,17.236992,18.27877,18.434917,,11.643655,0.44629478,0.18326378,0.28336906,0.10010529,169.923125,-6.5249722,101,4,11 19 41.55,-06 31 29.9,0.0,,19.3042,18.6798,Simbad,1.4117290449706157
328175,1718m005,6171,DUP,171.9634450570674,-0.4701187427720763,0.03183118,0.0,0.0,0.0,0.0,1.4198918,1.6266752,1.2091407,1.4792776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,171.9636667,-0.4697222,104,3,11 27 51.28,-00 28 11.0,0.06133,,18.8185,18.1929,Simbad,1.635400617401458
328175,1718m005,4888,PSF,171.9512891615071,-0.4832844470324488,0.030896548,1.1881226,6.8890977,39.745804,90.120926,1.3305931,1.5371757,1.1824678,1.6152974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.312847,20.404594,18.501772,17.612936,17.777422,18.091524,,11.906591,1.9082527,1.9028225,2.7916584,0.8888359,171.9512083,-0.4833333,104,1,11 27 48.29,-00 29 00.0,0.0,,18.1166,18.1367,Simbad,0.3400948509961474
328175,1718m005,5631,SER,171.9805246572288,-0.4725503499350716,0.031901795,77.27675,130.05664,160.80202,186.17828,1.3491942,1.4949719,1.1809242,1.4792776,1.0301135,108612.22,2.3890235,291671.38,0.17555505,1995388.9,-0.20582344,2169215.0,17.779879,17.214668,16.984272,16.825178,17.132063,17.589727,15.902564,15.416692,0.56521034,0.23039627,0.38949013,0.15909386,171.9805,-0.4723056,104,4,11 27 55.32,-00 28 20.3,0.062177,,20.1101,19.7354,Simbad,0.8855595233451241
328175,1718m005,5093,REX,171.9601366068491,-0.4511256666447173,0.031746883,35.11667,47.759186,50.587402,55.01669,1.3310452,1.53894,1.2091407,1.4767702,1.0,0.0,0.515826,766254.2,0.0,0.0,0.0,0.0,18.636217,18.302359,18.239895,18.148764,18.37649,18.72575,16.20042,13.523577,0.3338585,0.06246376,0.15359497,0.09113121,171.9603333,-0.4510556,104,2,11 27 50.48,-00 27 03.8,0.062384,,19.2482,19.3748,Simbad,0.7516601058019268
419335,1728p155,7361,EXP,172.9370271128429,15.40902920537789,0.035174485,1.0350338,5.033904,8.3804035,11.478109,1.1404147,1.2306286,1.3551198,1.1192874,1.0,0.0,0.6571797,29449.516,0.5961699,3841.403,0.5686852,3656.48,22.462614,20.745237,20.191837,19.850325,16.869373,16.836464,13.872886,,1.7173767,0.55340004,0.8949127,0.34151268,172.9370833,15.4089722,105,1,11 31 44.90,+15 24 32.3,0.068909,,19.6858,19.1132,Simbad,0.2830919728676551
419335,1728p155,7631,SER,172.9441519508484,15.38917229504831,0.03508884,148.28838,266.41943,352.10553,417.18445,1.1404147,1.2306286,1.3551198,1.1192874,1.0526531,1699535.5,4.9147778,1345766.9,0.15308973,25858806.0,0.3726028,41979356.0,17.072231,16.436085,16.133318,15.94918,16.172983,16.6357,14.754834,13.941808,0.63614655,0.3027668,0.4869051,0.1841383,172.9442083,15.3893333,105,3,11 31 46.61,+15 23 21.6,0.06886,,19.7022,18.9028,Simbad,0.6117268585490154
