X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
401.7214,857.0042,20.291129,-32.0405871,20.291067,-32.0405868,13.144,3.5,0,28.43616,0.02214887,1.59,-78.18,15.5083,0.0006,3107.0,155430,0201m320,10387,SER,20.29108124601455,-32.04061563232854,0.026457714,147.64113,227.36023,279.70554,302.693,1.3119237,1.1694787,1.2061014,1.3767923,1.4024835,417332.16,4.495675,281279.28,0.22286202,9837160.0,0.10895344,6310693.0,17.076982,16.608213,16.383247,16.297495,16.879856,17.385614,15.93232,16.234596,0.46876907,0.22496605,0.31071854,0.08575249,20.2909167,-32.0405,28,4,01 21 09.82,-32 02 25.8,0.0352,,19.0883,18.6107,Simbad,0.652244438313122
546.7701,726.0771,20.278681,-32.0500499,20.2786149,-32.0501171,8.142,3.5,2,14.20695,0.02214887,1.935,-16.94,16.8091,0.0012,1512.0,155430,0201m320,9981,SER,20.27815691689498,-32.0500743178396,0.02635827,24.378428,26.56906,24.89392,24.253307,1.3363308,1.1683176,1.1561024,1.4143497,2.165948,5870.638,3.2210474,72514.13,-0.13277137,280899.56,0.49179408,456306.38,19.032486,18.93906,19.009768,19.038073,,,,,0.09342575,-0.07070732,-0.099012375,-0.028305054,20.2784167,-32.0501111,28,3,01 21 06.82,-32 03 00.4,0.0722,,20.1093,19.6308,Simbad,0.8036611022192544
852.2454,608.4955,20.2526627,-32.0584918,20.2523839,-32.0586741,14.124,3.5,0,25.70762,0.02203604,2.558,-36.9,15.1559,0.0005,3979.0,155430,0201m320,9141,SER,20.2526136443005,-32.05851136884929,0.026182787,148.43083,272.79367,368.0071,444.52142,1.3678213,1.1870127,1.1909599,1.4143497,1.1008254,868519.5,5.104048,411549.56,-0.19427054,14601179.0,0.3673773,22643144.0,17.07119,16.410414,16.08536,15.880268,16.026674,16.470709,14.870979,13.69465,0.66077614,0.32505417,0.53014565,0.20509148,20.2524167,-32.0586111,28,2,01 21 00.58,-32 03 31.0,0.0726,,19.1253,18.6568,Simbad,0.6999731848277215
942.5373,551.9734,20.2445895,-32.0629301,20.2446293,-32.0627865,7.0,3.59,0,14.49975,0.02217137,1.74,-74.01,17.1801,0.0016,1243.0,155430,0201m320,8846,SER,20.24462727220963,-32.06282642816967,0.026235,34.57576,41.69236,44.38133,46.322803,1.3678213,1.1870127,1.1909599,1.4143497,0.76497054,75722.5,2.0771072,260929.28,0.4307311,1798294.1,0.28649727,1553671.5,18.65307,18.44986,18.382,18.335512,19.040924,18.468042,,10.877768,0.20321083,0.06785965,0.11434746,0.04648781,20.2445,-32.0626111,28,1,01 20 58.68,-32 03 45.4,0.0724,,19.6806,19.5659,Simbad,0.8669933007270216
956.884,442.0763,69.2653074,-46.7066776,69.2653197,-46.706672,10.9,3.5,0,31.72282,0.02556067,1.132,-71.34,15.5617,0.0006,3117.0,89994,0692m467,5222,EXP,69.2653149436005,-46.70667876176086,0.009023707,112.06776,198.72723,254.70499,302.82465,1.4865891,1.2157111,1.0232707,1.1219002,1.0,0.0,2.96863,704777.8,0.04113747,8058945.5,0.044480395,8478056.0,17.376299,16.754356,16.484907,16.297022,16.684439,17.199217,15.654359,,0.6219425,0.26944923,0.45733452,0.18788528,69.2649167,-46.7066667,236,1,04 37 03.58,-46 42 24.0,0.0,,19.8033,19.4555,Simbad,0.9840789203645234
452.4333,751.8489,69.3189464,-46.684177,69.3189004,-46.6841879,16.483,3.5,0,128.3002,0.02558669,2.529,4.43,13.8018,0.0002,10260.0,89994,0692m467,6641,SER,69.31889408980804,-46.68418047490785,0.009775669,507.60275,969.8985,1320.699,1608.2468,1.5413724,1.2901754,1.0514185,1.0621557,0.9728374,4833480.0,6.586802,1251083.6,-0.43327504,133604170.0,-0.097372815,73910330.0,15.73619,15.033184,14.69799,14.484118,14.511899,14.714786,12.77519,11.869711,0.7030058,0.33519363,0.5490656,0.21387196,69.3185,-46.6842222,236,5,04 37 16.44,-46 41 03.2,0.0,,18.5054,18.1928,Simbad,0.9847943298876844
663.1505,737.5446,69.2965597,-46.6851737,69.2965437,-46.6852068,2.474,3.5,0,29.23412,0.02561268,1.031,11.04,18.1017,0.002,1310.0,89994,0692m467,6034,PSF,69.29654182797566,-46.6852071748319,0.009568738,16.018166,23.62239,20.485935,20.095188,1.5455946,1.2715396,0.9714542,1.0719801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.488468,19.06669,19.221361,19.24227,18.339357,17.589926,16.540512,15.119361,0.42177773,-0.15467072,-0.17557907,-0.020908356,69.29625,-46.68525,236,3,04 37 11.10,-46 41 06.9,0.0,,20.2652,19.5287,Simbad,0.7370099965373773
856.0492,563.1292,69.2760503,-46.6978856,69.2760451,-46.6978762,12.762,3.5,2,16.02738,0.02556067,1.814,55.11,16.3397,0.0014,1308.0,89994,0692m467,5508,SER,69.27603373592217,-46.6978590063849,0.00923022,65.34463,114.34213,150.38742,176.85565,1.4865891,1.2157111,1.0232707,1.1144428,1.5319018,108241.01,5.5452275,179209.31,0.030681167,1376893.4,-0.32748768,2644791.0,17.961975,17.354485,17.05697,16.880953,17.983908,18.688906,,,0.60749054,0.29751396,0.47353172,0.17601776,69.2760833,-46.698,236,2,04 37 06.26,-46 41 52.8,0.0,,20.3729,20.1247,Simbad,0.5221209095990609
498.8958,945.8643,69.3140945,-46.6700537,69.3139995,-46.6700634,9.013,3.5,0,23.98436,0.02545634,1.415,-51.01,16.1886,0.001,2095.0,89994,0692m467,6490,SER,69.31406448948452,-46.67005421537799,0.009968031,83.49896,117.08954,133.22386,147.90912,1.464636,1.3362054,1.1843578,1.1732255,1.1740314,168134.95,2.7426891,3176371.5,0.03685533,5675136.5,0.20235567,9033136.0,17.695797,17.328705,17.188545,17.075012,17.57196,18.131598,16.009148,14.220016,0.36709213,0.1401596,0.25369263,0.11353302,69.3139167,-46.6700833,236,4,04 37 15.34,-46 40 12.3,0.0,,19.4243,19.0937,Simbad,0.3798041717829819
695.9527,478.9424,50.0969157,-40.208335,50.0968249,-40.2083392,9.909,3.5,0,118.2276,0.02664623,1.157,-58.69,15.1665,0.0005,4759.0,117131,0501m402,3891,SER,50.09687788879909,-40.2083288182827,0.016478062,177.09895,338.5065,458.05795,559.5872,1.4823705,1.3308853,1.2877734,1.17765,6.0,79767.73,5.454205,1301912.8,-0.10079294,9408739.0,0.2853046,12899658.0,16.87946,16.176083,15.847699,15.63033,15.732464,15.949157,13.568861,12.109694,0.70337677,0.32838345,0.5457525,0.21736908,50.0964167,-40.2083889,52,2,03 20 23.14,-40 12 30.2,0.0,,20.044,19.421,Simbad,1.286274604869847
