brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index
406863,1978p132,3561,SER,197.8545875184915,13.35911856139631,0.021062631,60.75253,94.13932,111.75024,125.24827,1.3281215,1.133015,1.1774622,1.433745,0.9187364,52819.26,1.3666625,574849.1,-0.18156517,1738598.2,-0.042719863,1013152.1,18.04109,17.565573,17.37938,17.255571,17.809807,18.087103,16.356668,,0.47551727,0.18619347,0.31000137,0.12380791,1761
331880,0181p002,6553,PSF,18.14024433569818,0.2934355571414982,0.03446904,8.171556,9.592362,8.152196,8.541447,1.6571432,1.3677577,1.0904044,0.9893597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.219238,20.045187,20.221813,20.171171,18.991997,19.168503,,14.539062,0.17405128,-0.1766262,-0.12598419,0.050642014,1858
496103,1213p300,1364,SER,121.3224291799418,29.92908555573434,0.04103714,101.11131,147.70355,170.5821,190.99074,1.5190891,1.4444056,1.1291401,1.3264834,1.0482442,104472.52,3.2448153,155977.48,0.031843748,1300168.4,0.148864,3054857.5,17.488,17.076523,16.920166,16.79747,17.379374,17.722847,15.489521,13.241451,0.41147804,0.15635681,0.27905273,0.12269592,1706
386981,1702p097,5466,DUP,170.2184224365475,9.730831777588756,0.04069873,0.0,0.0,0.0,0.0,1.5096658,1.4060899,1.28214,1.2854913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,1789
356943,1668p045,5402,SER,166.9395215188515,4.378538180768241,0.06388825,150.04895,227.53387,281.13458,306.3421,1.5977335,1.2548013,1.2257934,1.1107751,1.160305,239168.81,5.227819,101451.09,0.22832005,3883344.2,-0.2438826,3975951.2,17.059418,16.607386,16.377714,16.284483,16.951723,17.534912,16.945204,15.212816,0.4520321,0.22967148,0.32290268,0.0932312,1806
395612,2022p112,1308,SER,202.2157545697459,11.25082235690341,0.027616268,68.13542,122.17562,162.53809,193.82442,1.2055143,1.4510106,1.4653823,1.2273887,0.79206413,123716.11,5.003518,59516.707,0.14261681,3510585.2,-0.67875284,5441532.5,17.916567,17.28254,16.972612,16.781479,16.85457,17.31701,15.607925,13.282709,0.6340275,0.309927,0.5010605,0.1911335,1847
342461,1433p020,2611,SER,143.3081404876599,1.982982994711788,0.053185236,54.678806,83.978386,97.34882,111.49195,1.2632571,1.0650264,1.1517609,1.1898311,1.4485112,30858.846,1.6399549,502842.62,-0.204754,1343744.5,0.1045377,1160509.4,18.155453,17.68958,17.529173,17.381891,17.890457,18.484917,19.567907,13.240607,0.4658718,0.16040802,0.30768967,0.14728165,1751
342612,1811p020,10237,SER,181.1933837373836,2.005246119409772,0.025695296,152.66002,304.19934,412.27042,499.71796,1.4735584,1.1359481,0.9640139,1.1142626,3.3366342,261762.45,2.4296973,2976143.2,-0.041714534,2.0986268E7,0.029842254,1.9458344E7,17.040688,16.292105,15.962045,15.753187,16.281122,16.90353,,17.72703,0.74858284,0.33006,0.53891754,0.20885754,1784
336062,3436p007,11983,DUP,343.6436471332534,0.8300888657973595,0.09663018,0.0,0.0,0.0,0.0,1.5894594,1.1401248,1.1874114,1.1007468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,1842
337024,2241p010,3618,SER,224.103903887567,0.9868675083923918,0.043624096,118.94635,165.52283,201.92722,215.46687,1.4449694,1.3551962,1.0488394,1.2259039,1.8347483,128427.48,11.317428,80690.195,-0.60156196,9032043.0,-0.35321647,6601697.0,17.311623,16.952856,16.737013,16.666548,17.385733,17.828379,16.467976,15.25282,0.35876656,0.2158432,0.2863083,0.07046509,1716
