brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
112777,0555m412,8577,SER,55.63225419210978,-41.14952251705099,0.01602056,64.05925,96.30719,116.96004,123.8108,1.3619049,1.2586563,1.0796129,1.2639811,0.5,428926.34,6.0206914,322550.6,-0.58624333,11220362.0,-0.3083774,7743582.5,17.983545,17.540854,17.329906,17.268105,17.81973,18.346998,17.578796,,0.4426918,0.21094704,0.27274895,0.06180191,55.6315,-41.1493889,60,4,03 42 31.56,-41 08 57.8,0.0,,20.0069,19.6158,Simbad,2.1002777516781324
112777,0555m412,7925,SER,55.61118847941587,-41.14467798349656,0.016196558,1141.3983,1803.2839,2210.75,2378.8057,1.3619049,1.2586563,1.055371,1.2670853,1.4628271,6661637.0,8.755139,918819.06,0.018858826,85752016.0,-0.22398694,151674100.0,14.856407,14.359839,14.138651,14.059103,14.68868,15.192921,13.549897,13.22913,0.49656773,0.22118855,0.30073643,0.07954788,55.6112917,-41.1446111,60,2,03 42 26.71,-41 08 40.6,0.004923,,17.0741,16.6998,Simbad,0.3691608350963796
326722,1686m007,2632,SER,168.6142807388433,-0.85006471540606,0.04003812,102.07505,140.43492,168.65225,174.77542,1.3744202,1.344262,1.0344094,1.2102443,1.9375174,57009.266,9.488462,7318.465,-0.45140037,1189008.1,-0.018090831,481427.0,17.477701,17.131311,16.93252,16.893799,17.696766,18.22084,16.671509,,0.34638977,0.1987915,0.23751259,0.038721085,168.6144167,-0.8500278,273,2,11 14 27.46,-00 51 00.1,0.06907,,19.4818,19.1495,Simbad,0.5071289065651596
326722,1686m007,2431,SER,168.6037850872668,-0.8308699168587196,0.04062133,75.51507,123.22215,153.18103,168.47667,1.3744202,1.3325249,1.0344094,1.2297646,1.1694452,72437.14,5.8842936,120041.22,-0.21407518,592497.8,-0.10459632,518670.47,17.804916,17.273277,17.036987,16.933651,17.668898,18.176395,,,0.5316391,0.23628998,0.3396263,0.10333633,168.603875,-0.83075,273,1,11 14 24.93,-00 49 50.7,0.027858,,20.0241,19.7505,Simbad,0.5395516487063549
326722,1686m007,3298,SER,168.6418172276092,-0.8642468454693131,0.040802598,118.12833,173.99768,204.37798,226.1611,1.2621216,1.2745372,1.0344094,1.1944529,2.5803976,34157.59,6.3415327,15161.364,-0.07361628,759264.9,0.05433997,646639.3,17.319115,16.898642,16.723915,16.613955,17.288717,17.86225,15.099572,14.334778,0.4204731,0.17472649,0.28468704,0.10996056,168.6420833,-0.8643056,273,4,11 14 34.10,-00 51 51.5,0.0691,,19.4944,19.1749,Simbad,0.9808299237108232
326722,1686m007,3416,SER,168.6477687319171,-0.8678292086364374,0.04094188,1.9424065,2.4364119,2.4546669,2.377462,1.2621216,1.2745372,1.0344094,1.1944529,0.5,37.30143,0.4399169,4201.4937,0.5348543,275.61166,0.1764331,417.72116,21.77915,21.533123,21.525019,21.559715,21.123346,21.944735,,16.308256,0.246027,0.008104324,-0.026592255,-0.03469658,168.6475417,-0.8678056,273,5,11 14 35.41,-00 52 04.1,0.069293,,19.6415,18.8591,Simbad,0.8216288086615432
326722,1686m007,3696,PSF,168.6615422027588,-0.8539263460750668,0.043036044,0.38856617,0.42354268,0.4866102,0.28310165,1.2621216,1.3353752,1.0344094,1.1944529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.526337,23.432756,23.282047,23.870144,,23.655022,,,0.093580246,0.15070915,-0.43738747,-0.5880966,168.6619583,-0.8538611,273,6,11 14 38.87,-00 51 13.9,0.0,,19.035,18.6909,Simbad,1.516089522581006
326722,1686m007,5607,DUP,168.6329932854441,-0.8471000904260012,0.041349933,0.0,0.0,0.0,0.0,1.3744202,1.3353752,1.0344094,1.2303872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,168.6330833,-0.8470556,273,3,11 14 31.94,-00 50 49.4,0.068843,,19.4781,18.7316,Simbad,0.3614415665500739
159150,0310m312,1972,SER,30.97886528617959,-31.15557516968853,0.022416946,56.85218,88.91487,109.35854,118.29782,1.372416,1.1321269,0.9668255,1.1637511,0.6841879,306459.88,2.5427797,506905.5,-0.53535676,7244163.0,0.043473765,4490641.5,18.113132,17.627563,17.402868,17.317558,17.238876,17.60081,15.028274,12.674983,0.485569,0.2246952,0.3100052,0.08530998,30.9789167,-31.1556111,40,4,02 03 54.94,-31 09 20.2,0.0665,,19.9221,19.6045,Simbad,0.204498587480468
159150,0310m312,878,SER,30.9478588830863,-31.16082085071439,0.022319773,65.94136,120.37162,158.22469,194.25854,1.372416,1.1321269,0.9593555,1.1696465,2.3856077,59336.074,2.0095134,569137.6,-0.38262308,4623757.5,0.1968056,3714652.8,17.952105,17.298689,17.001814,16.779049,16.902626,17.226221,15.276324,13.736371,0.6534157,0.296875,0.51963997,0.22276497,30.9485,-31.1603056,40,1,02 03 47.64,-31 09 37.1,0.0,,19.816,19.3727,Simbad,2.7094965823774038
