brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index,Radii
339863,2138p015,9403,SER,213.9657485771258,1.586261813905212,0.03795382,61.119595,96.104965,112.07877,131.42899,1.8961881,1.3480422,1.0547618,1.1947408,0.6558167,73941.92,2.3833773,133404.47,0.08252763,664319.75,-0.19154984,1098760.8,18.03455,17.543135,17.376192,17.203272,17.655043,18.187984,16.79169,18.670113,0.49141502,0.1669426,0.33986282,0.17292023,1235,5
413712,1594p145,3241,SER,159.5389966132323,14.50052765457615,0.034255758,43.17031,92.8675,130.88586,175.52838,1.6518875,1.3693646,1.407927,1.1241606,1.5988485,11580.24,2.90921,47472.54,0.32979387,693916.25,0.4691477,801351.3,18.412037,17.580341,17.207767,16.889132,16.82014,17.32834,15.897985,,0.83169556,0.37257385,0.6912098,0.31863594,1263,5
324649,0103m010,8558,SER,10.45557174306668,-1.028159014765442,0.020626413,66.09888,74.08115,66.49937,73.562256,1.5129771,1.3354713,1.1384519,1.1454929,2.4416637,20535.58,2.531764,581794.94,-0.29887518,1650201.2,-0.25733772,1694801.2,17.949514,17.825731,17.942957,17.833363,19.031458,19.228865,,16.008886,0.12378311,-0.11722565,-0.007631302,0.10959435,1251,5
324617,0023m010,7231,SER,2.460184886222878,-0.917786968605012,0.031976726,71.25225,94.658676,102.58955,111.80151,1.1602954,1.228869,1.1565382,1.1003579,1.5871445,186806.5,1.8492262,4579114.5,-0.10515814,1.0274616E7,0.14371033,1.3423915E7,17.868004,17.559599,17.472242,17.378881,18.168335,18.905611,16.511732,12.982723,0.30840492,0.08735657,0.18071747,0.0933609,1250,5
315364,2091m027,5525,SER,209.2228900478131,-2.647860087049724,0.04974189,97.77211,136.70389,163.75984,168.8451,1.3732349,1.5124003,1.0407768,1.4539548,0.84981024,45941.5,8.2536545,69618.94,-0.51461405,844627.06,0.28385216,1184610.2,17.524462,17.160547,16.964481,16.931278,17.732302,18.30003,17.14578,15.367922,0.3639145,0.1960659,0.22926903,0.033203125,1246,5
334677,3573p005,8562,SER,357.3924965095194,0.4550950260739433,0.030429365,97.02664,146.8925,173.50548,192.50365,1.1070298,1.2344491,1.1162232,1.2275416,1.5445071,219237.55,9.3647375,53918.324,0.054052554,2261260.0,-0.32887906,5311968.0,17.532772,17.0825,16.901716,16.788902,19.632875,,15.277935,,0.4502716,0.18078423,0.29359818,0.11281395,1269,5
352522,1398p037,1928,SER,139.7842799728804,3.630861054042299,0.048090786,61.31858,91.13556,104.73409,117.69686,1.3584503,1.2010058,0.9762995,1.3259983,0.6142718,104769.89,3.1598856,194014.34,0.1737921,1574899.1,0.012298795,685725.6,18.03102,17.60078,17.44978,17.323088,17.768496,18.160473,,11.589413,0.43023872,0.15100098,0.2776928,0.12669182,1282,5
333787,1348p005,7562,SER,134.9434089206575,0.5829245095361617,0.028666696,44.32643,69.826645,82.72009,91.817955,1.4831314,1.3812386,1.3732518,1.243283,1.8831683,51761.887,3.4696915,87929.695,0.39733255,1942344.1,-0.033345956,949541.9,18.383343,17.889948,17.705973,17.592682,18.312592,19.128414,,,0.49339485,0.18397522,0.297266,0.11329079,1233,5
402476,1540p125,2889,SER,154.0602423306711,12.6206476152196,0.039720498,73.656136,113.00773,136.50813,143.07878,1.331927,1.1978385,1.2877748,1.5293741,2.2654276,18020.732,3.70621,425981.34,-0.14546879,1019580.8,-0.11201654,871593.4,17.831978,17.36723,17.162104,17.111061,17.897554,18.4198,17.904285,14.689409,0.46474838,0.20512581,0.25616837,0.051042557,1261,5
358250,1344p047,1405,SER,134.4206597135042,4.65682985323623,0.042447828,102.5096,164.81741,205.95197,238.65207,1.5141901,1.3125228,1.0340431,1.2485766,0.80601615,518180.16,4.441116,404844.53,-0.4127991,1.0793477E7,0.015299374,5400302.0,17.47309,16.957493,16.715586,16.555588,16.709991,17.111425,15.214401,,0.5155964,0.24190712,0.40190506,0.15999794,1254,5
