index,ra,dec,brickid,objid,type,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z
1511,169.034627032,1.403695712,339684,978,SER,0.03704381,39.82275,105.97036,156.08794,203.37761,1.6895759,1.6355827,1.0426779,1.3875737,4.62061,7300.8857,2.1518986,4741232.5,-0.043178294,5064777.5,0.07235347,5991963.5,18.499672,17.437038,17.016577,16.729242,16.85373,17.314571,18.257051,,1.0626335,0.42046165,0.7077961,0.28733444
1512,144.017621715,9.554213843,385456,5029,REX,0.033281732,36.397213,81.44184,117.42761,148.1968,1.3487979,1.6990551,1.7285974,1.2972487,1.0,0.0,1.0160022,829193.6,0.0,0.0,0.0,0.0,18.59733,17.722881,17.325575,17.072903,16.932522,17.11378,15.399565,13.046493,0.8744488,0.39730644,0.64997864,0.2526722
1513,148.767235177,4.801539333,358307,9029,SER,0.05462577,53.29441,138.67735,210.23013,268.53583,1.170645,1.4498863,1.0276155,1.3186173,5.7389736,99572.01,3.415852,597878.9,-0.06067352,1.0436375E7,-0.0059086015,5575364.5,18.183296,17.144985,16.693262,16.427494,16.499876,16.83374,16.218937,11.387215,1.038311,0.4517231,0.71749115,0.26576805
1514,150.245314302,1.848038219,341048,17990,SER,0.018294347,36.44856,94.25756,142.79549,188.0727,1.2529286,1.1901207,1.2851913,1.4062207,2.5654352,165383.08,1.588074,6689459.5,0.23950875,1.9054384E7,-0.1360123,1.4331851E7,18.595798,17.564209,17.113214,16.814186,16.867184,17.343632,,,1.0315895,0.4509945,0.7500229,0.2990284
1515,192.73494837,5.714371099,364223,4597,DEV,0.0298248,53.16919,122.23535,175.44135,221.51987,1.4609408,1.1632882,1.2147347,1.570857,4.0,0.0,2.7768025,50301.66,-0.15601495,562648.44,-0.1272856,496084.47,18.18585,17.282007,16.88967,16.636469,16.726675,16.995087,17.594372,,0.9038429,0.3923378,0.64553833,0.25320053
1516,136.15787959,3.621556549,351069,5211,SER,0.034339767,78.19057,187.2962,273.67877,347.04327,1.7722716,1.5094782,1.1600018,1.3158531,6.0,16821.531,5.1917386,30357.506,-0.11513262,1450667.4,-0.007437387,715103.3,17.767115,16.818678,16.406897,16.14904,16.320633,16.75665,15.502519,13.456553,0.94843674,0.4117813,0.6696377,0.25785637
1517,170.578434678,6.684342482,369866,3302,SER,0.072372176,160.09926,329.1598,465.6133,577.3669,1.3173412,1.2673768,1.0388314,1.1847374,1.5592488,218477.5,5.0363083,208181.92,-0.07276417,2878562.8,-0.1948508,4492037.0,16.989027,16.206484,15.829937,15.596371,15.969675,16.310446,15.099974,,0.7825432,0.37654686,0.61011314,0.23356628
1518,120.403539155,26.905871145,480884,641,SER,0.035136525,84.650505,211.5468,308.16626,404.20258,1.7607327,1.3947533,1.2529291,1.4293767,6.0,9104.641,2.8224368,93798.58,-0.068978675,1022534.6,0.085268445,1243329.4,17.680925,16.686483,16.278038,15.983502,16.177032,16.749472,17.986225,,0.994442,0.40844536,0.702981,0.29453564
1519,144.138686075,11.948350541,399620,2972,SER,0.025507985,36.492134,99.32097,151.96056,201.48784,1.3318338,1.2872725,1.5579967,1.2760276,3.4863887,7861.544,1.629862,234843.94,-0.0073326696,590238.25,-0.032744363,1076552.1,18.594501,17.507397,17.045673,16.739378,16.785091,17.17768,17.557232,16.277277,1.0871048,0.46172333,0.7680187,0.3062954
1520,0.659839252,14.646890815,414492,3076,SER,0.081930555,121.65076,303.47177,0.0,647.42725,1.459502,1.2850288,0.0,1.2982669,3.1593971,78788.125,3.046372,327535.38,0.20927933,6268481.5,0.044646207,3823728.5,17.287212,16.294704,Infinity,15.472023,15.352793,15.745982,14.139055,13.777318,0.99250793,Infinity,0.8226814,Infinity
1521,200.989004994,-3.280490346,312452,7166,DUP,0.038477138,0.0,0.0,0.0,0.0,1.6293703,1.364795,1.6142612,1.1034158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
1522,329.242957827,11.061980438,394697,183,SER,0.068814054,109.69527,213.84286,0.0,373.66638,1.7499299,1.8382674,0.0,1.3627849,6.0,11523.218,3.571923,92503.195,0.056349907,1490565.6,0.33130798,2348294.5,17.39953,16.674763,Infinity,16.06879,15.084586,14.8075,13.561531,11.932943,0.7247677,Infinity,0.6059723,Infinity
1523,29.289420166,12.961778309,404802,1413,SER,0.056470625,39.446636,111.49754,0.0,224.80598,1.7415301,1.4123827,0.0,1.7076935,4.2632504,6302.151,2.573663,90894.14,-0.10294814,730695.2,-0.0049704346,366721.53,18.509975,17.381836,Infinity,16.62048,16.711233,17.11108,17.52162,,1.1281395,Infinity,0.76135635,Infinity
1524,172.826135028,0.163119192,332499,2064,SER,0.025949873,58.974163,137.97218,207.37367,263.15872,1.3844994,1.3564532,1.3525817,1.6886244,2.4781735,25955.8,1.9111749,345616.1,0.18643147,1805519.0,0.12990779,1473524.1,18.073345,17.15052,16.708117,16.449455,16.348646,16.702642,15.108562,14.558931,0.92282486,0.4424038,0.70106506,0.25866127
1525,320.081801576,-7.731826348,287107,5702,SER,0.19741334,54.914433,157.96732,255.15642,348.61603,1.4070603,1.4698062,1.6821605,1.3452463,3.715661,17620.31,3.008853,111265.3,-0.16322125,1515973.4,-0.155639,1458567.4,18.150784,17.003582,16.482985,16.14413,16.087276,16.53661,15.925371,15.363358,1.1472015,0.52059746,0.8594513,0.33885384
1526,225.530781669,3.355054069,349988,5263,SER,0.05720641,33.041576,87.36818,132.52388,172.87054,1.6598747,1.2533275,1.0752925,1.6146022,4.810782,4644.5693,2.3889437,3402809.5,-0.069136634,3951650.5,-0.5037247,3877848.0,18.702349,17.646616,17.194265,16.905697,16.817171,17.297995,16.0549,15.034563,1.0557327,0.45235062,0.7409191,0.2885685
1527,351.096488441,14.317110182,413059,2523,SER,0.042862885,35.691883,92.98075,0.0,193.18811,1.3150284,1.6928885,0.0,1.8147866,2.1231956,7905.359,2.1439843,75785.75,-0.18331099,375082.84,-0.28586328,462680.66,18.618576,17.579018,Infinity,16.78505,16.513872,16.789324,15.281473,14.930656,1.0395584,Infinity,0.7939682,Infinity
1528,160.043373332,0.288539613,332448,11295,DUP,0.05908455,0.0,0.0,0.0,0.0,1.2739029,1.1816213,1.5899152,1.3343977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
1529,16.195994012,-10.586138722,270253,4030,SER,0.03226642,38.012405,92.86213,133.9379,174.97775,1.361897,1.2130427,1.3983797,1.4176741,1.9273114,23074.691,1.5289795,253064.39,-0.043491308,581866.94,-0.089921795,907547.4,18.550186,17.580404,17.182741,16.892544,16.91848,17.314674,17.179895,17.298605,0.9697819,0.39766312,0.6878605,0.29019737
1530,195.365324537,-3.1734243,312430,2548,SER,0.027504554,103.55436,251.31477,362.66068,467.63605,1.3893856,1.5694637,1.1592455,1.3128632,6.0,13588.471,2.6757867,195693.5,-0.21804966,2402406.2,0.12019496,1846029.2,17.462078,16.499454,16.10125,15.82523,16.0138,16.503698,16.98522,,0.9626236,0.3982048,0.67422485,0.27602005
1531,196.880654078,13.763947755,409663,4374,SER,0.025718106,49.80228,134.0739,201.90349,262.46326,1.1213936,0.9658431,1.1787302,1.606674,5.415574,6187.1445,2.6915798,60311.137,-0.14024098,658398.5,-0.10585757,570264.4,18.256876,17.181639,16.73714,16.45233,16.498482,16.86682,17.514866,,1.0752373,0.44449806,0.7293091,0.28481102
1532,311.963776213,-6.154205963,295660,8912,DEV,0.062266216,38.78351,112.8274,162.04727,228.92702,1.4870067,1.3478029,1.025504,1.4870144,4.0,0.0,1.6272297,1.776078E7,-0.23943204,1.7660718E7,0.03584155,1.9437776E7,18.528381,17.368963,16.975895,16.600758,16.616598,17.053356,17.291567,,1.1594181,0.3930683,0.76820564,0.37513733
1533,329.514123735,-0.599654405,328806,691,SER,0.08778332,94.20567,246.3769,384.28833,504.789,1.4677675,1.1502576,1.1541377,1.0910906,5.528439,80355.85,7.623421,113281.9,0.022211986,3831885.5,-0.021825979,3063477.0,17.564808,16.521,16.038357,15.742226,15.763612,16.194073,15.092575,15.268865,1.043808,0.48264313,0.77877426,0.29613113
1534,149.427216131,5.089894339,359746,1023,SER,0.048474796,44.928196,120.03772,183.18588,237.94133,1.2043352,1.2829298,1.2255758,1.3576547,4.754868,57834.86,3.0019994,418569.88,-0.23969963,5468158.0,-0.30789822,6140553.5,18.368702,17.301706,16.84277,16.558825,16.632675,17.100105,16.46564,,1.0669956,0.4589367,0.7428818,0.28394508
1535,204.354456303,1.319353237,338385,2678,SER,0.024314601,43.27545,103.56927,144.58534,179.89606,1.5452749,1.4451759,0.9457133,1.361221,3.6767395,6041.7217,1.6122731,224830.38,0.4840564,1001579.9,-0.19439217,808529.8,18.409395,17.461924,17.09969,16.862446,16.99237,17.431332,17.3669,,0.9474716,0.36223412,0.59947777,0.23724365
1536,185.431831509,12.90602891,405411,1872,SER,0.047709126,42.640068,121.84701,188.33066,254.71335,1.489629,1.4415778,1.3158171,1.3194312,5.20964,15634.776,3.0659988,112528.41,0.20082755,1672458.0,-0.11745627,1200207.0,18.425455,17.285463,16.812698,16.48487,16.590126,17.043158,16.867643,13.337696,1.1399918,0.47276497,0.8005924,0.32782745
1537,45.038469753,-7.726481494,286016,6676,REX,0.06177741,44.045025,100.30254,142.69095,185.70908,1.5943857,1.4958539,1.2160308,1.1944572,1.0,0.0,2.270653,636258.56,0.0,0.0,0.0,0.0,18.390259,17.49672,17.11401,16.827917,16.882374,17.189417,16.305387,16.133652,0.8935394,0.3827095,0.66880226,0.28609276
1538,154.481550226,0.228047766,332425,10439,DUP,0.04118958,0.0,0.0,0.0,0.0,1.3504026,1.4952989,0.0,1.4100986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
1539,134.131974405,30.320012201,497396,5477,DUP,0.025726976,0.0,0.0,0.0,0.0,1.5091282,1.5882074,0.0,1.3865614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
1540,224.868476153,1.292372618,338467,2700,SER,0.05146795,40.81472,107.74012,162.07039,215.35182,1.999978,1.8724903,1.0784771,1.3482974,5.042183,4861.0757,2.0662332,90988.55,-0.009224393,317628.1,0.05868903,670292.1,18.472958,17.419056,16.97574,16.66713,16.69248,17.162891,17.943895,,1.0539017,0.4433155,0.7519264,0.30861092
1541,202.103128999,11.695149703,398436,3511,SER,0.027069844,30.455965,88.25042,128.64122,175.57744,1.0495065,1.1530124,1.3415914,1.3370851,4.5902376,1709.8912,1.7396295,50726.418,-0.0020982078,163496.64,-0.2110552,251968.34,18.79082,17.635708,17.22655,16.888828,16.852198,17.238062,18.67985,,1.1551113,0.4091587,0.7468796,0.33772087
1542,139.605594576,9.448674868,385439,2516,SER,0.046121515,53.234653,141.02481,204.06311,266.21793,1.4559162,1.0766093,1.2818989,1.2229553,5.0,8148.4116,2.3176804,297521.22,-0.21058786,1224684.2,-0.34379497,1351262.4,18.184513,17.12676,16.725588,16.436907,16.463076,16.777895,,13.353481,1.0577526,0.40117264,0.68985367,0.28868103
1543,149.943108175,4.000382059,354000,18220,SER,0.0237985,75.89293,194.73378,285.0571,365.0999,1.2319802,1.3012751,1.1024088,1.3411797,3.962642,138780.67,2.0527341,5.3389548E7,-0.11996391,6.458052E7,-0.057680737,6.2881556E7,17.799498,16.776398,16.36267,16.093971,16.206322,16.673832,16.823034,,1.0230999,0.4137268,0.68242645,0.26869965
1544,142.160255115,10.291599569,389709,4528,SER,0.03338291,50.294357,134.7806,198.27208,261.21994,1.217801,1.1243389,1.3327944,1.305424,3.406372,7286.289,1.3710685,272617.0,-0.03827983,721401.56,0.03232932,729304.94,18.246202,17.175932,16.756845,16.457483,16.568588,17.025747,18.995968,15.299906,1.0702705,0.41908646,0.71844864,0.29936218
1545,224.668196083,4.666182038,358610,2063,SER,0.038750593,47.189003,130.21416,195.88255,261.74673,1.4457401,1.3087826,1.3607666,1.1857609,2.9570966,51257.81,1.590186,1350004.2,-0.29409584,6148238.5,-0.008880941,3864967.2,18.315397,17.213354,16.77001,16.455297,16.453249,16.881002,,,1.1020432,0.44334412,0.75805664,0.31471252
1546,152.062607665,2.342421185,343936,3005,SER,0.04433476,304.20563,685.20605,1007.2551,1294.5334,1.3698337,1.3839816,1.2085478,1.2452735,2.1691446,1591224.6,7.82168,463142.53,0.20093735,4.4021592E7,0.38257352,6.3847508E7,16.292082,15.410447,14.992151,14.719717,14.889746,15.40136,14.338483,13.635904,0.8816347,0.41829586,0.6907301,0.27243423
1547,176.484752882,-1.201701234,323873,6994,SER,0.0178019,87.06441,192.86346,294.32697,363.58655,1.3124282,1.1813002,1.4482371,1.0219082,5.7553825,12735.443,4.2285547,258647.64,-0.24782167,1142258.2,0.28776523,2378696.2,17.650398,16.786875,16.327925,16.09848,16.063772,16.314358,14.479327,,0.8635235,0.45895004,0.68839455,0.2294445
1548,142.693984659,1.90491675,342458,7981,SER,0.07612755,36.159515,109.92095,180.89162,252.8527,1.2523443,1.2986927,1.1391803,1.062717,3.2264826,35853.02,2.9166856,6732449.0,-0.1662204,8286369.5,0.46719733,1.082017E7,18.604443,17.397299,16.856455,16.49283,16.089128,16.45512,15.562183,16.081156,1.2071438,0.54084396,0.90446854,0.36362457
1549,171.531606634,1.164682561,338254,771,SER,0.034807116,170.48428,361.73816,522.8503,665.0742,1.5584921,1.7594246,1.0678619,1.3515819,3.1927373,131999.66,3.9042296,193884.02,-0.060676903,5321461.5,-0.017317606,2921448.8,16.92079,16.104013,15.704057,15.442824,15.596405,16.05666,14.704728,14.055654,0.8167763,0.3999567,0.6611891,0.26123238
1550,359.838414407,-10.963852391,268773,2085,SER,0.03403327,55.051674,139.69128,0.0,262.17828,1.7502502,1.3198782,0.0,2.0671196,6.0,2612.0356,2.202013,67896.54,0.03770851,380442.47,-0.08616851,558217.7,18.148073,17.137077,Infinity,16.453508,16.602211,17.079134,23.857601,16.283546,1.0109959,Infinity,0.68356895,Infinity
1551,22.514192472,0.651924748,334778,961,SER,0.023850221,37.942146,102.15132,150.15646,197.96936,1.6036059,1.4801205,1.3235129,1.1175966,3.309834,25141.59,1.3497841,1259329.8,0.2582673,3127259.0,-0.39165965,3319486.5,18.552195,17.47689,17.05864,16.758505,16.85653,17.286852,17.644651,13.941851,1.075304,0.41825104,0.7183857,0.30013466
1552,182.040179212,12.754040014,403992,5543,SER,0.027172856,83.02743,190.87837,281.5646,362.6019,1.2607112,1.184316,1.2022924,1.1897783,1.0737768,186990.95,3.8930056,170157.33,0.03132048,2852357.8,-0.4401844,5752805.5,17.701946,16.79811,16.376055,16.101425,16.067173,16.485672,15.224737,,0.9038372,0.4220543,0.6966839,0.2746296
1553,233.907718848,-2.226366152,318343,5292,DUP,0.15225156,0.0,0.0,0.0,0.0,1.5276226,1.3801812,1.118429,1.1659232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,
1554,232.15570203,-1.839343574,321216,7692,SER,0.14837164,86.09206,233.51901,376.29486,513.59283,1.6479307,1.9528978,1.081415,1.21511,2.8280153,245940.66,2.8553565,1444526.8,-0.107706,1.633392E7,-0.17536338,2.0967908E7,17.662592,16.579195,16.06118,15.723453,15.700562,16.187912,15.876028,14.783574,1.0833969,0.5180149,0.85574245,0.33772755
1555,134.627766289,5.825509931,363992,1165,SER,0.058616232,79.1346,200.20668,295.14526,390.00018,1.3638504,1.4665465,1.0464196,1.31875,5.4165354,10285.321,2.7605028,113136.97,0.4411437,2036481.0,0.08111001,1411425.9,17.754084,16.746304,16.324911,16.022339,16.140684,16.619099,17.223078,,1.0077801,0.42139244,0.7239647,0.30257225
1556,332.044418878,-8.425782741,282873,1791,SER,0.037051834,80.36372,195.36458,305.0467,397.62973,1.5294181,1.2356701,1.2612443,1.3466743,4.1952405,34169.633,4.7247877,60057.793,-0.10510649,1487233.8,0.23793308,2376718.2,17.73735,16.772886,16.289083,16.001303,16.032772,16.27254,14.644245,,0.9644642,0.4838028,0.77158356,0.28778076
