Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1477,1477,4077,113.522902838,27.540802368,SER,0.384006770027138,344.1251,0.0031,344.5439,0.0032,9.3431,0.0486,17.8940,0.0031,3.0097,0.0176,0.9533,0.0016,-47.2267,1.1891,344.1251,0.0031,344.5439,0.0032,8.6829,0.0340,17.1079,0.0024,3.2749,0.0120,0.9533,0.0016,-47.2267,1.1891,344.1251,0.0031,344.5439,0.0032,8.0529,0.0344,16.7404,0.0027,3.5279,0.0144,0.9533,0.0016,-47.2267,1.1891,344.1251,0.0031,344.5439,0.0032,7.3710,0.0501,16.5225,0.0036,3.8018,0.0229,0.9533,0.0016,-47.2267,1.1891
1478,1478,5888,232.235857092,0.418969109,SER,0.572321181918148,344.0277,0.0052,344.3041,0.0046,19.8131,0.0512,17.4184,0.0021,1.4885,0.0050,0.4994,0.0005,-47.9694,0.0532,344.0277,0.0052,344.3041,0.0046,18.3655,0.0320,16.5757,0.0013,1.5671,0.0029,0.4994,0.0005,-47.9694,0.0532,344.0277,0.0052,344.3041,0.0046,16.9843,0.0352,16.1848,0.0016,1.6421,0.0037,0.4994,0.0005,-47.9694,0.0532,344.0277,0.0052,344.3041,0.0046,15.4892,0.0583,15.9742,0.0028,1.7233,0.0066,0.4994,0.0005,-47.9694,0.0532
1479,1479,4419,224.85032208,1.920977046,SER,0.664162689386808,344.3090,0.0018,344.3180,0.0019,10.5287,0.1159,18.4883,0.0048,5.9646,0.0472,0.8601,0.0017,-53.1632,0.4116,344.3090,0.0018,344.3180,0.0019,9.7570,0.0727,17.4577,0.0033,6.1792,0.0309,0.8601,0.0017,-53.1632,0.4116,344.3090,0.0018,344.3180,0.0019,9.0206,0.0531,17.0213,0.0038,6.3839,0.0279,0.8601,0.0017,-53.1632,0.4116,344.3090,0.0018,344.3180,0.0019,8.2235,0.0774,16.8013,0.0039,6.6055,0.0417,0.8601,0.0017,-53.1632,0.4116
1480,1480,3985,173.642996545,3.27311237,SER,0.376484399072575,344.8276,0.0021,344.6600,0.0024,10.5830,0.0561,18.3313,0.0038,2.2738,0.0165,0.7629,0.0007,0.5559,0.1454,344.8276,0.0021,344.6600,0.0024,9.9089,0.0321,17.2316,0.0020,2.8958,0.0094,0.7629,0.0007,0.5559,0.1454,344.8276,0.0021,344.6600,0.0024,9.2657,0.0286,16.7865,0.0017,3.4894,0.0100,0.7629,0.0007,0.5559,0.1454,344.8276,0.0021,344.6600,0.0024,8.5695,0.0507,16.4970,0.0032,4.1319,0.0179,0.7629,0.0007,0.5559,0.1454
1481,1481,3995,176.631644014,0.425503891,SER,0.691119878578565,344.4175,0.0013,344.0462,0.0012,12.6495,0.0511,17.1469,0.0022,4.3735,0.0147,0.8417,0.0007,-52.3593,0.1604,344.4175,0.0013,344.0462,0.0012,11.8983,0.0318,16.2044,0.0014,4.4027,0.0091,0.8417,0.0007,-52.3593,0.1604,344.4175,0.0013,344.0462,0.0012,11.1815,0.0260,15.7539,0.0013,4.4306,0.0082,0.8417,0.0007,-52.3593,0.1604,344.4175,0.0013,344.0462,0.0012,10.4056,0.0403,15.5494,0.0020,4.4607,0.0132,0.8417,0.0007,-52.3593,0.1604
1482,1482,7251,214.390488108,-1.673539605,SER,0.829028088345684,343.8604,0.0008,344.1014,0.0008,4.8652,0.0067,17.7733,0.0009,2.8839,0.0075,0.8799,0.0004,-60.3049,0.1532,343.8604,0.0008,344.1014,0.0008,4.7532,0.0044,17.0762,0.0006,2.9359,0.0048,0.8799,0.0004,-60.3049,0.1532,343.8604,0.0008,344.1014,0.0008,4.6464,0.0041,16.6322,0.0007,2.9855,0.0042,0.8799,0.0004,-60.3049,0.1532,343.8604,0.0008,344.1014,0.0008,4.5307,0.0059,16.4823,0.0007,3.0392,0.0063,0.8799,0.0004,-60.3049,0.1532
1483,1483,687,236.806578852,29.030291168,SER,0.370613069095176,344.9284,0.0028,343.8916,0.0026,11.5671,0.1189,18.1834,0.0052,5.0057,0.0415,0.7928,0.0016,86.1251,0.2608,344.9284,0.0028,343.8916,0.0026,10.8267,0.0791,17.0931,0.0036,5.1469,0.0277,0.7928,0.0016,86.1251,0.2608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.9284,0.0028,343.8916,0.0026,9.3556,0.1107,16.4315,0.0057,5.4275,0.0452,0.7928,0.0016,86.1251,0.2608
1484,1484,8848,340.77631556,0.970807207,DUP,0.795634397514165,344.1029,0.0011,344.4555,0.0023,15.5557,0.0227,16.9757,0.0011,1.8211,0.0036,0.3187,0.0001,13.6718,0.0132,344.1029,0.0011,344.4555,0.0023,15.7967,0.0137,15.9508,0.0006,2.0925,0.0021,0.3187,0.0001,13.6718,0.0132,344.1029,0.0011,344.4555,0.0023,16.0266,0.0160,15.4902,0.0007,2.3514,0.0023,0.3187,0.0001,13.6718,0.0132,344.1029,0.0011,344.4555,0.0023,16.2755,0.0275,15.1581,0.0010,2.6318,0.0039,0.3187,0.0001,13.6718,0.0132
1485,1485,299,178.748491269,9.542636712,SER,0.494996357891988,343.9200,0.0019,343.6800,0.0017,14.0774,0.1192,17.4636,0.0042,5.1284,0.0307,0.7142,0.0010,-70.5566,0.1244,343.9200,0.0019,343.6800,0.0017,13.1853,0.0724,16.4428,0.0026,5.1800,0.0183,0.7142,0.0010,-70.5566,0.1244,343.9200,0.0019,343.6800,0.0017,12.3340,0.0478,16.0114,0.0020,5.2291,0.0133,0.7142,0.0010,-70.5566,0.1244,343.9200,0.0019,343.6800,0.0017,11.4126,0.0724,15.8052,0.0030,5.2824,0.0218,0.7142,0.0010,-70.5566,0.1244
1486,1486,4811,223.593518184,-0.408298367,SER,0.79671086112273,344.1764,0.0015,343.4969,0.0022,8.6116,0.0112,18.2233,0.0011,1.4093,0.0035,0.5098,0.0003,-10.0636,0.0352,344.1764,0.0015,343.4969,0.0022,8.3347,0.0054,17.2679,0.0005,1.6550,0.0018,0.5098,0.0003,-10.0636,0.0352,344.1764,0.0015,343.4969,0.0022,8.0706,0.0091,16.8522,0.0009,1.8894,0.0033,0.5098,0.0003,-10.0636,0.0352,344.1764,0.0015,343.4969,0.0022,7.7847,0.0174,16.6013,0.0015,2.1431,0.0062,0.5098,0.0003,-10.0636,0.0352
1487,1487,3667,61.150138089,-6.088899277,SER,0.301014716170783,344.0830,0.0013,344.3767,0.0027,12.5295,0.0238,18.3427,0.0015,1.7149,0.0050,0.2781,0.0002,-11.7049,0.0198,344.0830,0.0013,344.3767,0.0027,11.5237,0.0137,17.3937,0.0009,1.7868,0.0030,0.2781,0.0002,-11.7049,0.0198,344.0830,0.0013,344.3767,0.0027,10.5641,0.0092,16.8770,0.0007,1.8553,0.0023,0.2781,0.0002,-11.7049,0.0198,344.0830,0.0013,344.3767,0.0027,9.5252,0.0160,16.5924,0.0011,1.9295,0.0037,0.2781,0.0002,-11.7049,0.0198
1488,1488,551,7.112491902,-9.304262208,SER,0.435410685992745,343.6265,0.0000,343.6571,0.0000,9.5367,0.0677,17.9235,0.0014,4.3260,0.0292,0.8422,0.0014,-39.1267,0.3008,343.6265,0.0000,343.6571,0.0000,9.1958,0.0435,*41.2888*,*0.0042*,4.5530,0.0192,0.8422,0.0014,-39.1267,0.3008,343.6265,0.0000,343.6571,0.0000,8.8706,0.0363,16.5818,0.0011,4.7697,0.0175,0.8422,0.0014,-39.1267,0.3008,343.6265,0.0000,343.6571,0.0000,8.5186,0.0539,16.3244,0.0010,5.0042,0.0260,0.8422,0.0014,-39.1267,0.3008
1489,1489,3681,168.395735372,2.257300779,SER,0.851020581802376,343.8249,0.0019,343.9705,0.0017,15.1151,0.0784,17.1774,0.0029,3.7843,0.0182,0.5117,0.0005,-49.3416,0.0508,343.8249,0.0019,343.9705,0.0017,14.6376,0.0503,16.2598,0.0019,3.9403,0.0113,0.5117,0.0005,-49.3416,0.0508,343.8249,0.0019,343.9705,0.0017,14.1820,0.0503,15.8798,0.0019,4.0891,0.0111,0.5117,0.0005,-49.3416,0.0508,343.8249,0.0019,343.9705,0.0017,13.6889,0.0796,15.6557,0.0031,4.2503,0.0180,0.5117,0.0005,-49.3416,0.0508
1490,1490,839,115.682282359,28.700333174,SER,0.463607395916161,343.8412,0.0014,344.0277,0.0016,13.8927,0.0342,16.5173,0.0014,2.7229,0.0068,0.8163,0.0005,29.4162,0.1177,343.8412,0.0014,344.0277,0.0016,15.4887,0.0284,15.5583,0.0011,3.4865,0.0050,0.8163,0.0005,29.4162,0.1177,343.8412,0.0014,344.0277,0.0016,17.0115,0.0453,15.1144,0.0015,4.2150,0.0069,0.8163,0.0005,29.4162,0.1177,343.8412,0.0014,344.0277,0.0016,18.6599,0.0717,14.8098,0.0018,5.0037,0.0109,0.8163,0.0005,29.4162,0.1177
1491,1491,3460,156.581667792,2.765910228,SER,0.577638453439819,344.1893,0.0010,344.1639,0.0009,9.9889,0.0241,17.3994,0.0013,5.2498,0.0122,0.6403,0.0005,-53.8556,0.0538,344.1893,0.0010,344.1639,0.0009,8.9219,0.0142,16.5624,0.0009,5.0582,0.0079,0.6403,0.0005,-53.8556,0.0538,344.1893,0.0010,344.1639,0.0009,7.9039,0.0199,16.1528,0.0014,4.8755,0.0132,0.6403,0.0005,-53.8556,0.0538,344.1893,0.0010,344.1639,0.0009,6.8018,0.0350,16.0707,0.0028,4.6776,0.0225,0.6403,0.0005,-53.8556,0.0538
