Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1102,1102,1912,188.94243332,10.807058857,REX,0.41404510831493,344.3110,0.0046,343.7322,0.0042,8.3927,0.0111,18.2447,0.0013,0.5493,0.0026,0.8972,0.0008,-45.5063,0.3922,344.3110,0.0046,343.7322,0.0042,8.3484,0.0071,17.6196,0.0010,0.6853,0.0016,0.8972,0.0008,-45.5063,0.3922,344.3110,0.0046,343.7322,0.0042,8.3061,0.0094,17.2993,0.0010,0.8151,0.0023,0.8972,0.0008,-45.5063,0.3922,344.3110,0.0046,343.7322,0.0042,8.2603,0.0157,17.1635,0.0018,0.9556,0.0039,0.8972,0.0008,-45.5063,0.3922
1103,1103,434,24.745096511,14.132798586,SER,0.455434444173157,343.7144,0.0032,343.8813,0.0033,5.9580,0.0089,18.4364,0.0012,0.9442,0.0057,0.6701,0.0008,-45.1031,0.1315,343.7144,0.0032,343.8813,0.0033,5.8908,0.0064,17.6542,0.0010,0.9692,0.0040,0.6701,0.0008,-45.1031,0.1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.7144,0.0032,343.8813,0.0033,5.7572,0.0101,17.0494,0.0013,1.0191,0.0065,0.6701,0.0008,-45.1031,0.1315
1104,1104,4238,194.917597465,1.319217633,SER,0.415931649217559,343.9029,0.0021,344.0227,0.0019,4.7219,0.0385,18.2836,0.0042,5.2793,0.0565,0.7599,0.0015,-70.2976,0.2121,343.9029,0.0021,344.0227,0.0019,4.9555,0.0240,17.3187,0.0025,5.2385,0.0335,0.7599,0.0015,-70.2976,0.2121,343.9029,0.0021,344.0227,0.0019,5.1784,0.0235,16.9121,0.0023,5.1995,0.0262,0.7599,0.0015,-70.2976,0.2121,343.9029,0.0021,344.0227,0.0019,5.4197,0.0382,16.5987,0.0036,5.1574,0.0437,0.7599,0.0015,-70.2976,0.2121
1106,1106,3386,134.016941825,5.111556431,SER,0.784360367425062,344.5735,0.0082,344.2362,0.0112,12.7397,0.0386,18.3397,0.0028,0.9488,0.0054,0.6679,0.0012,6.5961,0.1827,344.5735,0.0082,344.2362,0.0112,12.4583,0.0255,17.5565,0.0020,1.1694,0.0035,0.6679,0.0012,6.5961,0.1827,344.5735,0.0082,344.2362,0.0112,12.1898,0.0363,17.2243,0.0033,1.3798,0.0055,0.6679,0.0012,6.5961,0.1827,344.5735,0.0082,344.2362,0.0112,11.8992,0.0605,17.0289,0.0038,1.6075,0.0093,0.6679,0.0012,6.5961,0.1827
1107,1107,3813,46.908580375,-0.252933936,REX,0.676635642390047,343.3581,0.0087,344.8490,0.0081,12.9387,0.0150,17.7903,0.0011,0.5836,0.0016,0.9116,0.0007,-89.7652,0.4287,343.3581,0.0087,344.8490,0.0081,12.6645,0.0137,17.1775,0.0012,0.7606,0.0014,0.9116,0.0007,-89.7652,0.4287,343.3581,0.0087,344.8490,0.0081,12.4029,0.0213,16.8364,0.0027,0.9295,0.0025,0.9116,0.0007,-89.7652,0.4287,343.3581,0.0087,344.8490,0.0081,12.1198,0.0328,16.7161,0.0022,1.1123,0.0040,0.9116,0.0007,-89.7652,0.4287
1108,1108,7821,182.24336187,-0.602690307,SER,0.590483711990038,344.5277,0.0026,344.0667,0.0025,16.2095,0.0983,17.5208,0.0034,4.0420,0.0180,0.8003,0.0011,85.4882,0.1923,344.5277,0.0026,344.0667,0.0025,15.8396,0.0641,16.7137,0.0022,4.4587,0.0108,0.8003,0.0011,85.4882,0.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.5277,0.0026,344.0667,0.0025,15.1046,0.1270,16.0956,0.0042,5.2868,0.0272,0.8003,0.0011,85.4882,0.1923
1109,1109,4040,159.537975568,6.741233236,SER,0.486240660493485,343.5384,0.0025,344.8259,0.0030,11.8529,0.0193,17.5309,0.0013,1.2954,0.0032,0.8212,0.0005,-40.7489,0.1423,343.5384,0.0025,344.8259,0.0030,11.7507,0.0118,16.8076,0.0008,1.4000,0.0019,0.8212,0.0005,-40.7489,0.1423,343.5384,0.0025,344.8259,0.0030,11.6532,0.0146,16.4272,0.0009,1.4998,0.0023,0.8212,0.0005,-40.7489,0.1423,343.5384,0.0025,344.8259,0.0030,11.5477,0.0249,16.2176,0.0017,1.6078,0.0040,0.8212,0.0005,-40.7489,0.1423
1110,1110,9042,136.930918677,3.617899258,SER,0.433705742085289,344.1147,0.0017,343.2527,0.0025,7.9490,0.0121,17.9359,0.0012,1.4358,0.0042,0.5062,0.0004,-0.9134,0.0415,344.1147,0.0017,343.2527,0.0025,7.8731,0.0060,17.4584,0.0006,1.5906,0.0021,0.5062,0.0004,-0.9134,0.0415,344.1147,0.0017,343.2527,0.0025,7.8007,0.0108,17.1364,0.0012,1.7383,0.0036,0.5062,0.0004,-0.9134,0.0415,344.1147,0.0017,343.2527,0.0025,7.7223,0.0202,17.0883,0.0019,1.8982,0.0067,0.5062,0.0004,-0.9134,0.0415
1111,1111,673,158.713886047,5.247482368,SER,0.458826333382279,343.9403,0.0012,344.2770,0.0012,15.4257,0.1225,17.0862,0.0034,7.5836,0.0379,0.9691,0.0010,-11.4715,1.0204,343.9403,0.0012,344.2770,0.0012,13.8061,0.0759,16.2314,0.0024,7.5241,0.0244,0.9691,0.0010,-11.4715,1.0204,343.9403,0.0012,344.2770,0.0012,12.2607,0.0633,15.8749,0.0023,7.4673,0.0246,0.9691,0.0010,-11.4715,1.0204,343.9403,0.0012,344.2770,0.0012,10.5879,0.0995,15.6698,0.0040,7.4058,0.0388,0.9691,0.0010,-11.4715,1.0204
1112,1112,1755,195.335253114,-3.27464059,SER,0.35539387511991,344.3525,0.0031,344.3305,0.0029,240.8545,12.4900,16.9891,0.0178,*15.6291*,*0.1874*,0.7955,0.0016,-85.1968,0.2733,344.3525,0.0031,344.3305,0.0029,217.6562,9.1679,16.0282,0.0150,*15.9445*,*0.1419*,0.7955,0.0016,-85.1968,0.2733,344.3525,0.0031,344.3305,0.0029,195.5217,7.4075,15.6986,0.0134,*16.2454*,*0.1346*,0.7955,0.0016,-85.1968,0.2733,344.3525,0.0031,344.3305,0.0029,171.5612,8.1687,15.5289,0.0158,*16.5712*,*0.1716*,0.7955,0.0016,-85.1968,0.2733
