Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
3,3,7086,2.842623280146343,-53.953910753132,SER,1.29447729146699,680.4556,0.0167,708.8590,0.0104,12.9987,0.0366,18.9372,0.0026,0.6455,0.0055,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,12.6179,0.0328,18.6544,0.0029,0.8063,0.0043,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,12.2546,0.0548,18.4659,0.0044,0.9598,0.0083,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,11.8613,0.0866,18.4384,0.0070,1.1259,0.0138,0.3197,0.0007,58.2417,0.0745
3,1,6881,2.834674521202194,-53.95652455274381,SER,1.29447729146699,744.7630,0.0056,672.8753,0.0095,6.0261,0.0303,19.3526,0.0036,1.2663,0.0133,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.2935,0.0223,18.9136,0.0030,1.2493,0.0083,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.5486,0.0355,18.7400,0.0046,1.2331,0.0115,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.8247,0.0579,18.6070,0.0075,1.2155,0.0197,0.4208,0.0016,14.8871,0.1435
4,2,17512,3.317294205529374,-41.59553902475118,SER,1.3069732242099,793.9145,0.0010,468.6414,0.0009,5.5473,0.0026,17.7320,0.0003,1.0995,0.0012,0.7484,0.0003,-55.8266,0.0532,793.9145,0.0010,468.6414,0.0009,5.6020,0.0023,17.1360,0.0005,1.2036,0.0009,0.7484,0.0003,-55.8266,0.0532,793.9145,0.0010,468.6414,0.0009,5.6542,0.0036,16.7646,0.0005,1.3029,0.0015,0.7484,0.0003,-55.8266,0.0532,793.9145,0.0010,468.6414,0.0009,5.7107,0.0056,16.6119,0.0009,1.4105,0.0024,0.7484,0.0003,-55.8266,0.0532
4,1,17326,3.313891910541071,-41.5710804008087,SER,1.3069732242099,829.0741,0.0023,805.3869,0.0032,12.2134,0.0058,17.5156,0.0004,0.6949,0.0007,0.6994,0.0002,-21.6775,0.0441,829.0741,0.0023,805.3869,0.0032,12.5604,0.0068,16.9180,0.0007,0.8614,0.0007,0.6994,0.0002,-21.6775,0.0441,829.0741,0.0023,805.3869,0.0032,12.8915,0.0116,16.6554,0.0008,1.0203,0.0014,0.6994,0.0002,-21.6775,0.0441,829.0741,0.0023,805.3869,0.0032,13.2499,0.0178,16.4692,0.0014,1.1923,0.0022,0.6994,0.0002,-21.6775,0.0441
4,3,18027,3.326564792257373,-41.57320966202985,PSF,1.3069732242099,698.7430,0.0003,776.2058,0.0003,0.6668,0.0014,16.6222,0.0001,0.0990,0.0068,0.7778,0.0009,89.9595,0.1036,698.7430,0.0003,776.2058,0.0003,1.0702,0.0016,15.4313,0.0002,0.6065,0.0044,0.7778,0.0009,89.9595,0.1036,698.7430,0.0003,776.2058,0.0003,1.4552,0.0028,15.0480,0.0006,1.0907,0.0040,0.7778,0.0009,89.9595,0.1036,698.7430,0.0003,776.2058,0.0003,1.8719,0.0043,15.2607,0.0010,1.6149,0.0060,0.7778,0.0009,89.9595,0.1036
4,4,1689,3.352839182931342,-41.57841924348008,SER,1.3069732242099,428.5307,0.0027,704.5942,0.0012,12.9504,0.0059,17.5684,0.0004,0.9272,0.0010,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,11.9121,0.0042,16.9612,0.0005,1.0069,0.0007,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,10.9214,0.0059,16.7127,0.0005,1.0830,0.0012,0.3653,0.0001,85.1644,0.0135,428.5307,0.0027,704.5942,0.0012,9.8489,0.0095,16.5510,0.0009,1.1653,0.0020,0.3653,0.0001,85.1644,0.0135
5,4,959,3.561644529803487,-22.5731813192512,EXP,0.391049820083143,382.0234,0.1317,564.4541,0.1663,36.4273,0.5590,18.5819,0.0138,0.8543,0.0179,0.7650,0.0052,15.1648,1.2726,382.0234,0.1317,564.4541,0.1663,35.2622,0.3038,18.3333,0.0093,0.9208,0.0087,0.7650,0.0052,15.1648,1.2726,382.0234,0.1317,564.4541,0.1663,34.1505,0.4612,18.2544,0.0121,0.9842,0.0151,0.7650,0.0052,15.1648,1.2726,382.0234,0.1317,564.4541,0.1663,32.9471,0.8406,18.2725,0.0343,1.0529,0.0285,0.7650,0.0052,15.1648,1.2726
5,1,5048,3.517442363826179,-22.55279722870329,DUP,0.391049820083143,943.3672,0.0039,843.8194,0.0026,14.5242,0.0796,17.9612,0.0040,2.1413,0.0144,0.3550,0.0004,56.6896,0.0473,943.3672,0.0039,843.8194,0.0026,13.5066,0.0440,17.1633,0.0020,2.5875,0.0078,0.3550,0.0004,56.6896,0.0473,943.3672,0.0039,843.8194,0.0026,12.5357,0.0544,16.7986,0.0025,3.0132,0.0120,0.3550,0.0004,56.6896,0.0473,943.3672,0.0039,843.8194,0.0026,11.4847,0.0990,16.5885,0.0051,3.4741,0.0219,0.3550,0.0004,56.6896,0.0473
5,2,392,3.532034727735171,-22.56296366463138,SER,0.391049820083143,758.1202,0.0017,703.9702,0.0021,5.9615,0.0130,17.4077,0.0015,1.7597,0.0057,0.7262,0.0007,37.3174,0.1095,758.1202,0.0017,703.9702,0.0021,6.3079,0.0071,17.0478,0.0009,1.7214,0.0029,0.7262,0.0007,37.3174,0.1095,758.1202,0.0017,703.9702,0.0021,6.6385,0.0104,16.9072,0.0010,1.6849,0.0038,0.7262,0.0007,37.3174,0.1095,758.1202,0.0017,703.9702,0.0021,6.9963,0.0190,16.7514,0.0025,1.6453,0.0072,0.7262,0.0007,37.3174,0.1095
5,3,510,3.538734996155598,-22.56840235617855,SER,0.391049820083143,671.9392,0.0412,629.2159,0.0692,15.2292,0.1667,19.3510,0.0102,0.6763,0.0147,0.5202,0.0036,28.7613,0.4362,671.9392,0.0412,629.2159,0.0692,16.3985,0.1242,19.1113,0.0078,0.7014,0.0083,0.5202,0.0036,28.7613,0.4362,671.9392,0.0412,629.2159,0.0692,17.5141,0.1887,19.0710,0.0112,0.7254,0.0149,0.5202,0.0036,28.7613,0.4362,671.9392,0.0412,629.2159,0.0692,18.7218,0.3045,18.9221,0.0303,0.7513,0.0268,0.5202,0.0036,28.7613,0.4362
