Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
68,2,2354,73.35924354458093,-36.26736970178203,SER,0.603717416037275,731.7169,0.0027,496.0767,0.0029,2.6045,0.0140,18.8687,0.0026,4.9102,0.0488,0.4407,0.0016,0.9382,0.1161,731.7169,0.0027,496.0767,0.0029,3.4373,0.0100,18.4242,0.0018,4.5231,0.0327,0.4407,0.0016,0.9382,0.1161,731.7169,0.0027,496.0767,0.0029,4.2320,0.0199,18.2929,0.0028,4.1538,0.0326,0.4407,0.0016,0.9382,0.1161,731.7169,0.0027,496.0767,0.0029,5.0922,0.0337,18.0567,0.0042,3.7541,0.0494,0.4407,0.0016,0.9382,0.1161
186,3,3576,314.4895706185349,-24.94810710824377,SER,0.458365645636481,627.8249,0.0027,911.7556,0.0022,6.5892,0.0421,17.6350,0.0041,2.7310,0.0306,0.6486,0.0013,54.5260,0.1466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.8249,0.0027,911.7556,0.0022,6.2917,0.0207,16.4780,0.0018,3.2618,0.0139,0.6486,0.0013,54.5260,0.1466,627.8249,0.0027,911.7556,0.0022,6.1344,0.0343,16.2849,0.0033,3.5424,0.0236,0.6486,0.0013,54.5260,0.1466
186,1,3253,314.472846415685,-24.96240135644899,REX,0.458365645636481,836.5536,0.0051,716.8831,0.0054,25.5409,0.2211,17.2984,0.0059,2.7281,0.0188,0.8959,0.0019,-32.2151,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.5536,0.0051,716.8831,0.0054,18.9165,0.1194,16.4002,0.0039,3.4040,0.0158,0.8959,0.0019,-32.2151,0.6369,836.5536,0.0051,716.8831,0.0054,15.4152,0.1894,16.3528,0.0074,3.7613,0.0241,0.8959,0.0019,-32.2151,0.6369
186,4,3677,314.4941688273316,-24.96287790106267,SER,0.458365645636481,570.5071,0.0035,709.2769,0.0042,5.4471,0.0097,17.8621,0.0011,0.9389,0.0066,0.7610,0.0010,-8.8131,0.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.5071,0.0035,709.2769,0.0042,5.7367,0.0074,16.9866,0.0007,0.9464,0.0035,0.7610,0.0010,-8.8131,0.1751,570.5071,0.0035,709.2769,0.0042,5.8898,0.0112,16.8623,0.0018,0.9503,0.0059,0.7610,0.0010,-8.8131,0.1751
186,2,3426,314.4821964439124,-24.98454274202755,PSF,0.458365645636481,719.2754,0.0230,410.7152,0.0253,*0.0482*,*0.0472*,19.1471,0.3251,6.8072,4.3739,0.3623,0.0228,76.3384,1.6388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.2754,0.0230,410.7152,0.0253,1.1671,0.0972,19.5801,0.0252,*12.3668*,*1.3901*,0.3623,0.0228,76.3384,1.6388,719.2754,0.0230,410.7152,0.0253,1.7585,0.1521,19.6868,0.0352,*15.3053*,*2.5986*,0.3623,0.0228,76.3384,1.6388
187,2,4081,314.6599590727831,-48.54114227794305,SER,144.803938840405,785.1103,0.1170,910.6826,0.0487,34.1526,0.2958,17.1536,0.0092,0.6656,0.0128,0.1760,0.0009,-67.4217,0.0794,785.1103,0.1170,910.6826,0.0487,32.2607,0.1971,16.2920,0.0053,0.7170,0.0080,0.1760,0.0009,-67.4217,0.0794,785.1103,0.1170,910.6826,0.0487,30.4557,0.2191,15.9178,0.0078,0.7660,0.0100,0.1760,0.0009,-67.4217,0.0794,785.1103,0.1170,910.6826,0.0487,28.5017,0.3450,15.6796,0.0108,0.8191,0.0167,0.1760,0.0009,-67.4217,0.0794
187,1,3968,314.6563806592251,-48.5582969873645,SER,144.803938840405,817.7859,0.0355,675.0313,0.0222,20.8171,0.2138,16.8681,0.0093,1.1719,0.0149,0.4218,0.0016,-58.2867,0.1871,817.7859,0.0355,675.0313,0.0222,20.3458,0.1252,16.0019,0.0048,1.2712,0.0089,0.4218,0.0016,-58.2867,0.1871,817.7859,0.0355,675.0313,0.0222,19.8961,0.1674,15.6462,0.0070,1.3660,0.0118,0.4218,0.0016,-58.2867,0.1871,817.7859,0.0355,675.0313,0.0222,19.4094,0.2941,15.4324,0.0124,1.4685,0.0204,0.4218,0.0016,-58.2867,0.1871
191,1,2588,322.2946328156277,-31.02284519271748,SER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2,2918,322.3153191511885,-31.02367979811417,EXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,3,2964,322.3181191668331,-31.02895929460352,EXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
