Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
49,1,564,46.54313341685411,-42.65459394134274,SER,0.57079260192457,500.8825,0.0017,597.2893,0.0014,15.3097,0.0080,16.4197,0.0004,1.1348,0.0010,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,14.7696,0.0047,16.0123,0.0003,1.1677,0.0007,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,14.2542,0.0060,15.8696,0.0003,1.1992,0.0008,0.4915,0.0001,50.1572,0.0146,500.8825,0.0017,597.2893,0.0014,13.6964,0.0105,15.7391,0.0006,1.2332,0.0014,0.4915,0.0001,50.1572,0.0146
49,2,592,46.54421525881629,-42.6674229060875,DEV,0.57079260192457,580.2250,0.0025,581.3285,0.0044,16.5864,0.0179,17.2883,0.0009,1.2151,0.0020,0.4243,0.0002,-29.5384,0.0246,580.2250,0.0025,581.3285,0.0044,17.1037,0.0103,16.9100,0.0006,1.2023,0.0012,0.4243,0.0002,-29.5384,0.0246,580.2250,0.0025,581.3285,0.0044,17.5972,0.0163,16.8306,0.0009,1.1900,0.0016,0.4243,0.0002,-29.5384,0.0246,580.2250,0.0025,581.3285,0.0044,18.1314,0.0289,16.6713,0.0015,1.1767,0.0028,0.4243,0.0002,-29.5384,0.0246
50,4,11773,47.16454868410786,-47.27208819224404,DUP,0.546568494038492,766.9503,0.0013,883.9762,0.0015,3.9886,0.0038,18.0552,0.0008,1.7461,0.0064,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.8286,0.0025,17.4761,0.0006,1.6745,0.0040,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.6759,0.0021,17.2770,0.0008,1.6062,0.0032,0.7670,0.0006,-11.1232,0.1155,766.9503,0.0013,883.9762,0.0015,3.5106,0.0031,17.0647,0.0007,1.5322,0.0050,0.7670,0.0006,-11.1232,0.1155
50,1,3786,47.1417624748954,-47.26010837179578,REX,0.546568494038492,555.0827,0.0024,719.2590,0.0034,21.1657,0.0249,17.4447,0.0011,1.0955,0.0021,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.2590,0.0034,21.0540,0.0147,16.7361,0.0006,1.4781,0.0012,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.2590,0.0034,20.9474,0.0212,16.3924,0.0008,1.8433,0.0019,0.6307,0.0003,-27.6854,0.0451,555.0827,0.0024,719.2590,0.0034,20.8321,0.0372,16.2139,0.0012,2.2385,0.0033,0.6307,0.0003,-27.6854,0.0451
50,3,4025,47.14859663206745,-47.28549164359606,SER,0.546568494038492,723.9383,0.0640,636.8097,0.0846,374.8464,423.0395,20.4238,0.4134,*14.9041*,*3.6509*,0.3754,0.0173,3.1147,1.4295,723.9383,0.0640,636.8097,0.0846,340.2615,278.0466,20.0529,0.3264,*12.6683*,*2.3951*,0.3754,0.0173,3.1147,1.4295,723.9383,0.0640,636.8097,0.0846,307.2627,166.3321,19.4300,0.2396,*10.5350*,*1.4253*,0.3754,0.0173,3.1147,1.4295,723.9383,0.0640,636.8097,0.0846,271.5416,161.3769,18.9552,0.2819,8.2258,1.3849,0.3754,0.0173,3.1147,1.4295
50,2,3960,47.14701411182362,-47.27898817856401,REX,0.546568494038492,704.0067,0.0020,535.1600,0.0029,8.8638,0.0071,17.9462,0.0008,0.7544,0.0019,0.6138,0.0003,11.1475,0.0431,704.0067,0.0020,535.1600,0.0029,8.6037,0.0050,17.3690,0.0006,0.8248,0.0013,0.6138,0.0003,11.1475,0.0431,704.0067,0.0020,535.1600,0.0029,8.3556,0.0053,17.1013,0.0006,0.8919,0.0014,0.6138,0.0003,11.1475,0.0431,704.0067,0.0020,535.1600,0.0029,8.0870,0.0079,16.9593,0.0008,0.9645,0.0022,0.6138,0.0003,11.1475,0.0431
51,1,673,47.52743081502302,-35.00661751239641,SER,0.539473610727695,564.8054,0.0030,490.7216,0.0034,10.3129,0.0116,17.8373,0.0011,0.8383,0.0020,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,10.1070,0.0065,17.2492,0.0006,1.0347,0.0011,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,9.9104,0.0096,16.9524,0.0008,1.2221,0.0018,0.8336,0.0004,-14.3270,0.1408,564.8054,0.0030,490.7216,0.0034,9.6977,0.0172,16.8143,0.0016,1.4249,0.0031,0.8336,0.0004,-14.3270,0.1408
51,3,1777,47.55903036149267,-35.03027873839472,SER,0.539473610727695,744.7097,0.0017,791.2707,0.0016,16.6344,0.0103,16.5328,0.0006,1.0685,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5831,0.0061,15.9053,0.0003,1.4907,0.0007,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.5342,0.0100,15.6439,0.0005,1.8935,0.0011,0.9310,0.0002,64.4449,0.1594,744.7097,0.0017,791.2707,0.0016,16.4813,0.0177,15.4584,0.0008,2.3295,0.0020,0.9310,0.0002,64.4449,0.1594
51,2,1216,47.54303848651573,-35.00839954500856,REX,0.539473610727695,920.3764,0.0058,815.7897,0.0050,3.7358,0.0271,19.7087,0.0044,2.5242,0.0388,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.0957,0.0204,19.5214,0.0032,2.6317,0.0237,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.4391,0.0367,19.3108,0.0050,2.7343,0.0365,0.6912,0.0030,-84.1167,0.4050,920.3764,0.0058,815.7897,0.0050,4.8108,0.0610,19.2808,0.0085,2.8454,0.0633,0.6912,0.0030,-84.1167,0.4050
51,4,1927,47.56346908968972,-35.01856114450278,SER,0.539473610727695,514.8458,0.0039,651.5823,0.0057,9.9494,0.0113,18.4005,0.0011,0.5473,0.0023,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.8403,0.0068,17.8257,0.0007,0.6847,0.0013,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.7361,0.0095,17.5506,0.0009,0.8159,0.0020,0.6308,0.0004,-12.7634,0.0730,514.8458,0.0039,651.5823,0.0057,9.6234,0.0165,17.4103,0.0016,0.9579,0.0035,0.6308,0.0004,-12.7634,0.0730
