Group,Gal,ID,ra,dec,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
11,1,2437,7.791397378063242,-25.49810943981049,0.793984205952446,835.2198,0.0008,754.6284,0.0009,12.2526,0.0080,16.6559,0.0005,1.2669,0.0016,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,13.3155,0.0122,16.0318,0.0006,2.8540,0.0026,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,14.3296,0.0234,15.6575,0.0009,4.3682,0.0050,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,15.4274,0.0365,15.4725,0.0011,6.0074,0.0078,0.7327,0.0003,47.2542,0.0414
11,2,2733,7.797374162347395,-25.49057113235629,0.793984205952446,639.2126,0.0032,684.5926,0.0043,5.7992,0.0166,19.0341,0.0020,1.3785,0.0071,0.5659,0.0011,31.9608,0.1224,639.2126,0.0032,684.5926,0.0043,6.1961,0.0119,18.7227,0.0016,1.3570,0.0043,0.5659,0.0011,31.9608,0.1224,639.2126,0.0032,684.5926,0.0043,6.5748,0.0203,18.5279,0.0027,1.3365,0.0062,0.5659,0.0011,31.9608,0.1224,639.2126,0.0032,684.5926,0.0043,6.9848,0.0338,18.4416,0.0044,1.3143,0.0108,0.5659,0.0011,31.9608,0.1224
11,3,3555,7.813302782643212,-25.49549183147387,0.793984205952446,360.8140,0.0046,654.9898,0.0048,10.6044,0.0285,18.3963,0.0021,1.2823,0.0051,0.9253,0.0012,-34.7373,0.7031,360.8140,0.0046,654.9898,0.0048,10.5037,0.0224,18.0898,0.0018,1.5101,0.0039,0.9253,0.0012,-34.7373,0.7031,360.8140,0.0046,654.9898,0.0048,10.4077,0.0402,17.9069,0.0032,1.7275,0.0074,0.9253,0.0012,-34.7373,0.7031,360.8140,0.0046,654.9898,0.0048,10.3038,0.0661,17.8755,0.0052,1.9628,0.0122,0.9253,0.0012,-34.7373,0.7031
11,4,4577,7.835637111264248,-25.4978180009287,0.793984205952446,909.4852,0.0029,651.1711,0.0049,8.7669,0.0095,18.6247,0.0010,0.5922,0.0029,0.3492,0.0003,-31.1318,0.0333,909.4852,0.0029,651.1711,0.0049,8.7202,0.0062,18.2842,0.0008,0.6370,0.0015,0.3492,0.0003,-31.1318,0.0333,909.4852,0.0029,651.1711,0.0049,8.6756,0.0098,18.0376,0.0013,0.6797,0.0025,0.3492,0.0003,-31.1318,0.0333,909.4852,0.0029,651.1711,0.0049,8.6274,0.0167,17.9733,0.0021,0.7259,0.0046,0.3492,0.0003,-31.1318,0.0333
14,2,1593,9.421045190534482,-9.05643554421165,0.534268261272064,854.2617,0.0046,822.1948,0.0044,13.1023,0.0141,17.1853,0.0010,0.9640,0.0018,0.9456,0.0006,73.2998,0.4664,854.2617,0.0046,822.1948,0.0044,12.7876,0.0096,16.5841,0.0007,1.0310,0.0012,0.9456,0.0006,73.2998,0.4664,854.2617,0.0046,822.1948,0.0044,12.4872,0.0111,16.3156,0.0010,1.0949,0.0015,0.9456,0.0006,73.2998,0.4664,854.2617,0.0046,822.1948,0.0044,12.1622,0.0176,16.1553,0.0011,1.1641,0.0024,0.9456,0.0006,73.2998,0.4664
14,1,1410,9.413276734868823,-9.046817280354563,0.534268261272064,748.7310,0.0059,689.9295,0.0027,19.4430,0.0301,17.6923,0.0013,1.1275,0.0034,0.2265,0.0002,-66.0488,0.0201,748.7310,0.0059,689.9295,0.0027,18.2468,0.0195,17.0012,0.0010,1.4602,0.0023,0.2265,0.0002,-66.0488,0.0201,748.7310,0.0059,689.9295,0.0027,17.1054,0.0251,16.7361,0.0013,1.7776,0.0036,0.2265,0.0002,-66.0488,0.0201,748.7310,0.0059,689.9295,0.0027,15.8699,0.0415,16.4942,0.0017,2.1212,0.0061,0.2265,0.0002,-66.0488,0.0201
14,3,1863,9.43272662799252,-9.065429631438676,0.534268261272064,552.3813,0.0111,653.8098,0.0069,16.4312,0.0523,17.9535,0.0025,1.3086,0.0055,0.5405,0.0009,86.2736,0.1056,552.3813,0.0111,653.8098,0.0069,16.5870,0.0468,17.5434,0.0025,1.5167,0.0048,0.5405,0.0009,86.2736,0.1056,552.3813,0.0111,653.8098,0.0069,16.7357,0.0753,17.4101,0.0039,1.7153,0.0082,0.5405,0.0009,86.2736,0.1056,552.3813,0.0111,653.8098,0.0069,16.8966,0.1177,17.3010,0.0052,1.9302,0.0130,0.5405,0.0009,86.2736,0.1056
14,4,1927,9.435477271748589,-9.059062043858258,0.534268261272064,590.2579,0.0062,566.3903,0.0075,13.4100,0.0273,17.7950,0.0018,1.0977,0.0034,0.7968,0.0010,-27.5958,0.2250,590.2579,0.0062,566.3903,0.0075,13.1060,0.0211,17.3671,0.0017,1.1970,0.0026,0.7968,0.0010,-27.5958,0.2250,590.2579,0.0062,566.3903,0.0075,12.8160,0.0316,17.2510,0.0026,1.2918,0.0042,0.7968,0.0010,-27.5958,0.2250,590.2579,0.0062,566.3903,0.0075,12.5020,0.0502,17.1946,0.0034,1.3944,0.0068,0.7968,0.0010,-27.5958,0.2250
15,1,4432,9.46964856140158,-25.06268643212763,1.16536837455086,580.2120,0.0010,657.4787,0.0009,43.4482,0.0592,14.6754,0.0008,3.9751,0.0035,0.8727,0.0002,59.0895,0.0536,580.2120,0.0010,657.4787,0.0009,41.8109,0.0356,13.8035,0.0005,4.0049,0.0021,0.8727,0.0002,59.0895,0.0536,580.2120,0.0010,657.4787,0.0009,40.2487,0.0332,13.4289,0.0005,4.0333,0.0020,0.8727,0.0002,59.0895,0.0536,580.2120,0.0010,657.4787,0.0009,38.5576,0.0557,13.1713,0.0008,4.0641,0.0033,0.8727,0.0002,59.0895,0.0536
15,4,5507,9.496903749885028,-25.05817536248398,1.16536837455086,496.1778,0.0029,871.0896,0.0033,13.8921,0.0113,16.8619,0.0008,0.9015,0.0015,0.8239,0.0004,-7.7824,0.0952,496.1778,0.0029,871.0896,0.0033,13.7755,0.0064,16.1327,0.0005,1.1440,0.0009,0.8239,0.0004,-7.7824,0.0952,496.1778,0.0029,871.0896,0.0033,13.6642,0.0096,15.8004,0.0006,1.3753,0.0013,0.8239,0.0004,-7.7824,0.0952,496.1778,0.0029,871.0896,0.0033,13.5437,0.0171,15.5817,0.0010,1.6257,0.0023,0.8239,0.0004,-7.7824,0.0952
